SSC_CODE_2016,Age_yr_0_M,Age_yr_0_F,Age_yr_0_P,Age_yr_1_M,Age_yr_1_F,Age_yr_1_P,Age_yr_2_M,Age_yr_2_F,Age_yr_2_P,Age_yr_3_M,Age_yr_3_F,Age_yr_3_P,Age_yr_4_M,Age_yr_4_F,Age_yr_4_P,Age_yr_0_4_M,Age_yr_0_4_F,Age_yr_0_4_P,Age_yr_5_M,Age_yr_5_F,Age_yr_5_P,Age_yr_6_M,Age_yr_6_F,Age_yr_6_P,Age_yr_7_M,Age_yr_7_F,Age_yr_7_P,Age_yr_8_M,Age_yr_8_F,Age_yr_8_P,Age_yr_9_M,Age_yr_9_F,Age_yr_9_P,Age_yr_5_9_M,Age_yr_5_9_F,Age_yr_5_9_P,Age_yr_10_M,Age_yr_10_F,Age_yr_10_P,Age_yr_11_M,Age_yr_11_F,Age_yr_11_P,Age_yr_12_M,Age_yr_12_F,Age_yr_12_P,Age_yr_13_M,Age_yr_13_F,Age_yr_13_P,Age_yr_14_M,Age_yr_14_F,Age_yr_14_P,Age_yr_10_14_M,Age_yr_10_14_F,Age_yr_10_14_P,Age_yr_15_M,Age_yr_15_F,Age_yr_15_P,Age_yr_16_M,Age_yr_16_F,Age_yr_16_P,Age_yr_17_M,Age_yr_17_F,Age_yr_17_P,Age_yr_18_M,Age_yr_18_F,Age_yr_18_P,Age_yr_19_M,Age_yr_19_F,Age_yr_19_P,Age_yr_15_19_M,Age_yr_15_19_F,Age_yr_15_19_P,Age_yr_20_M,Age_yr_20_F,Age_yr_20_P,Age_yr_21_M,Age_yr_21_F,Age_yr_21_P,Age_yr_22_M,Age_yr_22_F,Age_yr_22_P,Age_yr_23_M,Age_yr_23_F,Age_yr_23_P,Age_yr_24_M,Age_yr_24_F,Age_yr_24_P,Age_yr_20_24_M,Age_yr_20_24_F,Age_yr_20_24_P,Age_yr_25_M,Age_yr_25_F,Age_yr_25_P,Age_yr_26_M,Age_yr_26_F,Age_yr_26_P,Age_yr_27_M,Age_yr_27_F,Age_yr_27_P,Age_yr_28_M,Age_yr_28_F,Age_yr_28_P,Age_yr_29_M,Age_yr_29_F,Age_yr_29_P,Age_yr_25_29_M,Age_yr_25_29_F,Age_yr_25_29_P,Age_yr_30_M,Age_yr_30_F,Age_yr_30_P,Age_yr_31_M,Age_yr_31_F,Age_yr_31_P,Age_yr_32_M,Age_yr_32_F,Age_yr_32_P,Age_yr_33_M,Age_yr_33_F,Age_yr_33_P,Age_yr_34_M,Age_yr_34_F,Age_yr_34_P,Age_yr_30_34_M,Age_yr_30_34_F,Age_yr_30_34_P,Age_yr_35_M,Age_yr_35_F,Age_yr_35_P,Age_yr_36_M,Age_yr_36_F,Age_yr_36_P,Age_yr_37_M,Age_yr_37_F,Age_yr_37_P,Age_yr_38_M,Age_yr_38_F,Age_yr_38_P,Age_yr_39_M,Age_yr_39_F,Age_yr_39_P,Age_yr_35_39_M,Age_yr_35_39_F,Age_yr_35_39_P,Age_yr_40_M,Age_yr_40_F,Age_yr_40_P,Age_yr_41_M,Age_yr_41_F,Age_yr_41_P,Age_yr_42_M,Age_yr_42_F,Age_yr_42_P,Age_yr_43_M,Age_yr_43_F,Age_yr_43_P,Age_yr_44_M,Age_yr_44_F,Age_yr_44_P,Age_yr_40_44_M,Age_yr_40_44_F,Age_yr_40_44_P,Age_yr_45_M,Age_yr_45_F,Age_yr_45_P,Age_yr_46_M,Age_yr_46_F,Age_yr_46_P,Age_yr_47_M,Age_yr_47_F,Age_yr_47_P,Age_yr_48_M,Age_yr_48_F,Age_yr_48_P,Age_yr_49_M,Age_yr_49_F,Age_yr_49_P,Age_yr_45_49_M,Age_yr_45_49_F,Age_yr_45_49_P,Age_yr_50_M,Age_yr_50_F,Age_yr_50_P,Age_yr_51_M,Age_yr_51_F,Age_yr_51_P,Age_yr_52_M,Age_yr_52_F,Age_yr_52_P,Age_yr_53_M,Age_yr_53_F,Age_yr_53_P,Age_yr_54_M,Age_yr_54_F,Age_yr_54_P,Age_yr_50_54_M,Age_yr_50_54_F,Age_yr_50_54_P,Age_yr_55_M,Age_yr_55_F
SSC70001,12,4,17,3,8,7,0,7,7,3,7,15,6,7,16,28,34,60,5,4,11,6,0,6,4,4,10,7,5,7,3,3,8,25,20,40,6,6,13,6,3,7,5,3,9,6,11,14,4,7,4,27,22,49,4,8,10,3,4,8,3,3,4,11,0,10,3,0,5,24,16,38,6,3,11,0,0,0,0,3,3,4,9,9,3,3,3,15,19,27,9,5,8,8,4,5,4,3,8,0,4,4,3,6,12,17,21,35,6,4,9,3,5,8,3,9,9,11,5,15,6,3,12,27,23,53,10,9,18,4,5,11,14,4,13,5,8,10,4,0,6,33,30,61,9,9,12,5,3,14,11,3,12,3,8,10,0,3,7,32,23,55,3,8,12,4,3,9,0,8,10,8,13,20,9,5,18,29,40,63,0,0,3,4,5,8,11,6,15,8,6,14,9,13,21,29,31,59,8,8
SSC70002,3,0,3,5,3,4,0,3,6,0,4,4,4,0,4,9,13,18,5,3,4,3,3,10,0,0,7,3,0,4,12,0,12,23,9,30,3,3,9,0,3,3,0,0,3,0,3,3,3,0,4,9,14,22,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,3,9,7,5,6,7,0,3,3,0,0,3,3,0,5,0,0,4,13,15,20,0,0,3,4,3,8,3,3,3,0,0,0,3,7,5,6,13,16,0,3,3,0,3,3,0,0,0,3,3,4,4,3,3,10,11,15,0,0,0,3,3,4,0,0,0,0,0,4,0,0,0,9,10,15,0,3,3,0,3,3,0,0,0,3,0,3,0,0,0,3,6,9,0,0,0,4,4,5,3,7,13,4,3,11,0,0,0,7,16,28,4,3,6,0,3,3,3,0,3,6,0,7,3,9,11,18,21,37,3,0
SSC70003,18,16,36,17,18,32,17,16,35,13,23,35,18,10,27,84,80,162,20,5,23,13,17,28,6,13,21,14,17,35,14,9,17,64,68,126,27,10,35,13,8,23,10,14,19,11,12,28,3,9,15,65,57,129,22,5,28,12,8,18,15,8,20,19,14,34,12,7,18,73,42,117,12,15,29,12,17,30,7,13,22,9,17,29,13,18,30,56,83,134,13,11,25,17,15,33,19,23,47,17,19,35,18,14,34,87,82,174,22,14,37,14,17,29,11,25,37,16,22,36,18,15,40,89,93,180,18,21,42,22,18,37,25,16,40,20,18,41,16,23,41,101,89,193,15,15,29,11,26,34,7,17,28,17,9,28,20,14,35,71,82,153,17,12,35,19,18,35,14,23,38,14,11,25,5,16,24,70,82,153,15,17,32,16,13,23,13,13,23,10,12,24,26,16,40,75,64,140,14,13
SSC70004,3,3,12,8,8,12,8,4,10,3,6,11,4,4,7,28,24,59,12,3,15,5,13,17,4,4,11,3,9,13,3,3,3,26,30,56,5,3,6,3,0,8,7,3,7,6,5,11,12,0,9,21,12,34,8,0,10,9,3,9,3,3,8,3,6,7,3,4,6,25,19,43,3,0,9,3,4,9,10,9,13,6,6,14,0,7,7,21,27,50,4,13,15,15,3,18,5,4,9,3,3,6,3,5,11,34,22,59,0,0,3,7,3,5,3,0,7,4,3,4,5,3,3,16,12,30,0,6,6,3,0,4,0,0,4,3,9,12,0,0,0,5,16,26,3,3,7,3,7,5,3,7,8,0,3,3,3,0,0,12,13,31,3,0,5,0,0,3,4,3,8,3,7,5,3,0,3,14,13,23,0,0,3,3,0,3,0,3,3,3,3,7,7,8,15,15,14,26,3,0
SSC70005,3,0,0,0,0,0,0,5,3,0,0,0,0,0,0,5,6,10,3,0,3,0,0,0,0,0,0,0,0,0,0,3,3,3,3,9,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,3,4,3,6,11,0,0,0,0,0,0,3,3,3,0,7,3,3,0,4,4,11,14,7,3,9,11,5,14,0,0,3,0,4,3,4,8,12,20,19,37,3,0,5,6,0,4,0,3,7,0,7,5,4,3,3,11,13,23,0,6,7,0,3,5,0,0,0,0,0,0,5,0,5,4,13,19,0,3,4,0,3,9,5,6,9,8,0,8,3,6,9,18,16,40,8,3,13,7,0,7,3,7,5,3,4,12,5,3,12,22,18,37,0,3,8,5,0,3,6,3,5,3,3,4,0,3,3,15,10,26,4,0
SSC70006,7,3,4,7,3,10,8,0,10,3,4,10,3,5,5,26,17,42,8,9,15,3,6,10,7,3,18,3,3,4,0,3,6,21,23,43,3,8,9,0,3,3,3,7,12,3,5,8,3,0,10,16,23,41,5,3,10,3,3,8,3,8,8,0,3,4,0,3,8,10,21,33,7,5,10,5,0,7,6,3,9,9,4,16,0,5,3,29,17,44,4,6,10,9,3,9,5,8,12,3,3,7,4,9,10,22,27,45,8,4,9,7,3,5,5,3,13,6,0,4,9,0,5,23,13,40,3,5,7,4,5,4,0,0,0,3,5,5,3,0,3,13,16,26,3,0,3,0,0,0,0,7,3,0,0,3,3,0,3,9,6,18,3,4,6,0,3,4,0,0,0,0,0,5,3,0,0,7,13,24,3,5,8,4,0,3,3,0,3,3,0,3,0,3,3,14,9,24,0,0
SSC70007,8,6,13,15,11,26,7,11,16,8,14,22,11,3,16,52,42,87,19,10,24,3,12,18,14,5,17,9,11,23,14,9,16,55,43,103,8,8,18,7,10,13,8,4,10,3,3,11,7,0,5,28,28,55,0,0,0,5,0,6,0,0,0,3,6,4,0,4,10,8,9,21,6,0,6,11,0,10,0,3,3,4,4,5,7,4,12,25,14,36,4,7,6,6,7,12,9,13,19,8,10,15,12,10,22,37,42,78,9,14,22,10,9,19,4,10,13,13,12,26,9,5,15,48,45,92,13,3,16,17,17,32,18,10,28,8,0,8,4,14,21,58,48,104,16,7,21,9,4,9,15,11,22,12,9,18,3,4,9,51,35,83,8,5,12,10,3,14,5,7,15,3,7,7,12,3,11,40,20,61,10,8,15,7,7,14,8,0,8,6,4,13,7,4,11,38,25,60,6,5
SSC70008,3,0,7,4,3,5,3,3,4,0,5,5,3,0,7,12,12,21,0,4,4,3,0,5,3,7,7,0,0,3,0,3,0,9,11,23,3,0,5,0,0,0,0,3,3,7,0,8,0,0,0,9,7,18,0,0,0,0,0,4,3,3,7,3,3,8,0,0,0,11,9,19,0,0,3,0,3,6,4,0,4,0,6,6,7,3,10,11,14,29,3,0,3,8,0,9,3,3,4,0,0,3,3,4,5,14,6,22,4,0,5,0,0,4,0,0,3,0,0,0,0,3,3,10,6,16,0,0,0,0,0,0,0,4,4,0,3,6,3,0,3,6,7,9,0,0,0,0,10,10,0,3,3,0,0,3,0,0,3,3,14,17,3,0,3,3,4,6,0,3,0,0,9,8,3,0,3,9,19,24,0,3,6,0,0,0,3,4,6,0,0,3,0,4,4,7,17,20,0,0
SSC70009,0,0,3,5,11,13,0,4,4,11,3,14,3,3,10,19,24,48,6,8,14,6,7,15,7,4,6,4,8,12,4,4,7,28,21,49,8,3,13,3,8,12,8,0,7,8,3,4,6,7,10,29,15,42,8,4,14,5,3,4,3,8,7,3,4,6,4,3,4,17,25,39,5,5,11,4,3,13,4,4,13,3,14,17,6,7,7,23,28,54,0,4,7,4,4,6,0,0,5,7,4,9,3,0,3,19,16,29,4,4,6,0,3,4,3,0,0,3,4,9,4,0,3,8,15,21,0,0,0,0,4,3,0,0,0,0,0,0,0,0,3,9,5,10,8,12,17,0,3,3,0,0,3,4,0,8,3,0,7,13,16,32,0,0,0,0,0,3,0,3,3,5,0,6,4,0,4,16,12,20,7,3,5,6,3,7,0,0,0,3,0,5,0,0,3,10,10,23,0,0
SSC70010,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,6,0,0,0,0,0,0,0,0,0,0,3,3,3,0,4,3,3,10,0,0,0,0,0,0,0,0,3,0,0,3,0,0,4,8,4,13,0,0,0,0,0,0,0,3,3,0,0,0,0,5,5,4,8,11,3,0,3,3,0,3,0,0,3,0,0,0,0,0,3,10,8,16,3,0,3,0,0,0,0,0,3,0,0,3,0,0,0,5,3,8,4,3,6,0,0,0,0,0,3,0,0,0,0,0,0,8,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,4,0,0,3,0,0,0,0,0,0,0,0,0,3,3,7,0,0,4,0,0,0,0,0,0,0,0,0,0,4,4,0,4,6,0,0
