SSC_CODE_2016,M_15_19_yr_Marrd_reg_marrge,M_15_19_yr_Married_de_facto,M_15_19_yr_Not_married,M_15_19_yr_Total,M_20_24_yr_Marrd_reg_marrge,M_20_24_yr_Married_de_facto,M_20_24_yr_Not_married,M_20_24_yr_Total,M_25_34_yr_Marrd_reg_marrge,M_25_34_yr_Married_de_facto,M_25_34_yr_Not_married,M_25_34_yr_Total,M_35_44_yr_Marrd_reg_marrge,M_35_44_yr_Married_de_facto,M_35_44_yr_Not_married,M_35_44_yr_Total,M_45_54_yr_Marrd_reg_marrge,M_45_54_yr_Married_de_facto,M_45_54_yr_Not_married,M_45_54_yr_Total,M_55_64_yr_Marrd_reg_marrge,M_55_64_yr_Married_de_facto,M_55_64_yr_Not_married,M_55_64_yr_Total,M_65_74_yr_Marrd_reg_marrge,M_65_74_yr_Married_de_facto,M_65_74_yr_Not_married,M_65_74_yr_Total,M_75_84_yr_Marrd_reg_marrge,M_75_84_yr_Married_de_facto,M_75_84_yr_Not_married,M_75_84_yr_Total,M_85ov_Marrd_reg_marrge,M_85ov_Married_de_facto,M_85ov_Not_married,M_85ov_Total,M_Tot_Marrd_reg_marrge,M_Tot_Married_de_facto,M_Tot_Not_married,M_Tot_Total,F_15_19_yr_Marrd_reg_marrge,F_15_19_yr_Married_de_facto,F_15_19_yr_Not_married,F_15_19_yr_Total,F_20_24_yr_Marrd_reg_marrge,F_20_24_yr_Married_de_facto,F_20_24_yr_Not_married,F_20_24_yr_Total,F_25_34_yr_Marrd_reg_marrge,F_25_34_yr_Married_de_facto,F_25_34_yr_Not_married,F_25_34_yr_Total,F_35_44_yr_Marrd_reg_marrge,F_35_44_yr_Married_de_facto,F_35_44_yr_Not_married,F_35_44_yr_Total,F_45_54_yr_Marrd_reg_marrge,F_45_54_yr_Married_de_facto,F_45_54_yr_Not_married,F_45_54_yr_Total,F_55_64_yr_Marrd_reg_marrge,F_55_64_yr_Married_de_facto,F_55_64_yr_Not_married,F_55_64_yr_Total,F_65_74_yr_Marrd_reg_marrge,F_65_74_yr_Married_de_facto,F_65_74_yr_Not_married,F_65_74_yr_Total,F_75_84_yr_Marrd_reg_marrge,F_75_84_yr_Married_de_facto,F_75_84_yr_Not_married,F_75_84_yr_Total,F_85ov_Marrd_reg_marrge,F_85ov_Married_de_facto,F_85ov_Not_married,F_85ov_Total,F_Tot_Marrd_reg_marrge,F_Tot_Married_de_facto,F_Tot_Not_married,F_Tot_Total,P_15_19_yr_Marrd_reg_marrge,P_15_19_yr_Married_de_facto,P_15_19_yr_Not_married,P_15_19_yr_Total,P_20_24_yr_Marrd_reg_marrge,P_20_24_yr_Married_de_facto,P_20_24_yr_Not_married,P_20_24_yr_Total,P_25_34_yr_Marrd_reg_marrge,P_25_34_yr_Married_de_facto,P_25_34_yr_Not_married,P_25_34_yr_Total,P_35_44_yr_Marrd_reg_marrge,P_35_44_yr_Married_de_facto,P_35_44_yr_Not_married,P_35_44_yr_Total,P_45_54_yr_Marrd_reg_marrge,P_45_54_yr_Married_de_facto,P_45_54_yr_Not_married,P_45_54_yr_Total,P_55_64_yr_Marrd_reg_marrge,P_55_64_yr_Married_de_facto,P_55_64_yr_Not_married,P_55_64_yr_Total,P_65_74_yr_Marrd_reg_marrge,P_65_74_yr_Married_de_facto,P_65_74_yr_Not_married,P_65_74_yr_Total,P_75_84_yr_Marrd_reg_marrge,P_75_84_yr_Married_de_facto,P_75_84_yr_Not_married,P_75_84_yr_Total,P_85ov_Marrd_reg_marrge,P_85ov_Married_de_facto,P_85ov_Not_married,P_85ov_Total,P_Tot_Marrd_reg_marrge,P_Tot_Married_de_facto,P_Tot_Not_married,P_Tot_Total
SSC70001,0,0,20,20,0,5,6,9,11,16,15,38,32,11,12,54,29,15,8,51,23,9,11,41,9,4,5,17,3,0,0,3,0,0,0,0,98,53,77,234,0,0,11,11,0,5,5,12,19,13,10,40,26,14,6,42,27,16,12,56,22,7,5,34,7,0,5,16,0,0,0,3,0,0,0,0,99,63,60,218,0,0,39,39,0,9,16,23,27,25,18,77,55,30,14,97,56,28,23,105,45,18,16,71,16,4,10,28,3,0,3,3,0,0,0,0,198,115,136,450
SSC70002,0,0,3,3,0,0,7,13,0,4,9,12,3,3,8,14,5,0,10,19,7,3,9,17,13,3,18,34,0,0,7,8,0,0,0,0,30,13,68,117,0,0,9,9,0,0,10,8,3,5,4,19,0,0,7,11,13,8,11,32,9,0,7,20,5,3,5,11,0,0,3,7,0,0,3,0,35,23,62,115,0,0,7,7,0,0,21,19,3,12,12,31,3,3,12,23,23,8,17,46,14,0,21,36,17,3,19,43,0,0,9,16,0,0,3,7,67,37,126,230
SSC70003,0,0,64,64,3,4,49,50,44,36,84,155,73,24,52,144,62,27,40,123,44,7,28,83,63,10,22,88,8,0,10,23,3,0,0,5,298,110,329,739,0,0,39,43,6,7,47,60,65,35,52,147,76,35,39,147,57,23,45,128,56,13,32,99,36,6,29,70,8,0,22,28,0,0,3,5,307,110,311,730,0,0,104,110,11,7,91,109,103,68,134,304,149,60,89,295,121,52,76,251,101,21,56,182,95,11,51,158,17,3,29,48,4,0,8,10,606,222,643,1467
SSC70004,0,0,25,25,10,0,9,24,10,10,11,37,11,3,6,16,7,0,6,20,6,0,4,11,3,0,0,4,3,0,0,3,0,0,3,3,49,20,67,134,0,4,16,19,6,3,18,26,9,4,12,25,8,3,16,32,14,0,10,25,7,0,8,12,3,0,4,12,0,0,0,0,0,0,0,0,48,20,95,160,0,4,35,39,18,8,27,51,22,11,30,63,15,8,26,45,24,3,23,43,8,3,12,24,5,0,9,13,3,0,0,0,0,0,3,5,96,33,160,288
SSC70005,0,0,0,0,0,0,0,0,3,0,9,16,3,0,3,12,0,0,10,10,3,0,3,10,0,0,4,4,0,0,0,0,0,0,0,0,12,3,36,49,0,0,0,0,0,0,8,8,8,0,6,16,3,0,3,9,3,0,8,11,0,0,4,8,0,0,0,3,0,0,3,3,0,0,0,0,14,3,32,47,0,0,0,0,0,3,8,5,9,4,19,26,7,0,9,17,3,0,18,19,7,0,10,15,5,0,4,11,0,0,3,3,0,0,0,0,27,8,69,99
SSC70006,0,0,11,10,5,4,17,29,12,13,19,44,8,6,8,22,12,4,7,14,6,4,5,19,0,0,3,3,0,0,0,0,0,0,0,0,40,25,72,139,0,0,14,21,3,3,6,13,13,7,11,38,3,4,7,22,11,3,7,24,7,0,7,12,0,0,3,3,0,0,0,0,0,0,0,0,42,26,64,136,0,0,29,33,6,5,23,36,26,16,34,79,8,15,18,40,18,7,17,39,11,4,15,33,3,0,3,7,0,0,0,0,0,0,0,0,82,53,142,274
SSC70007,0,0,8,8,0,3,4,9,24,16,14,59,49,19,9,76,25,7,10,52,16,3,15,30,7,0,0,3,0,0,0,0,0,0,0,0,126,53,55,236,0,0,4,4,0,3,9,9,34,30,11,71,46,18,5,75,19,9,8,37,15,3,9,29,4,0,0,3,0,0,0,0,0,0,0,0,124,57,43,224,0,3,5,6,0,4,14,22,66,44,21,128,95,35,18,146,48,12,19,80,26,7,18,58,7,0,3,10,0,0,0,3,0,0,0,0,251,111,100,461
SSC70008,0,0,8,11,3,0,3,4,9,4,10,19,3,0,3,9,8,3,10,16,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,19,12,35,67,3,0,11,9,5,0,6,11,0,4,10,11,3,3,12,22,7,3,14,26,0,0,3,7,0,0,3,3,0,0,0,0,0,0,3,3,20,13,62,99,3,0,16,19,3,0,10,18,9,7,18,33,7,3,20,27,10,10,24,42,3,0,9,11,0,0,3,3,0,0,0,0,0,0,3,3,39,19,98,160
SSC70009,0,0,13,14,5,3,17,21,15,4,9,29,13,0,3,17,5,3,11,18,4,0,3,8,5,0,3,6,0,0,0,3,0,0,0,0,47,14,62,123,4,0,13,21,10,3,15,28,10,0,11,27,8,3,6,24,9,0,7,17,7,0,3,8,3,0,3,7,0,0,3,3,0,0,0,0,45,12,66,128,3,0,35,34,15,5,32,49,23,7,19,52,22,6,11,36,16,4,20,35,6,0,9,18,6,0,7,9,0,0,5,5,0,0,0,0,94,23,134,250
SSC70010,0,0,5,5,0,0,0,0,3,3,8,8,3,0,0,8,0,0,0,7,3,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,12,3,12,31,0,0,4,4,0,0,0,4,0,0,0,4,6,0,3,9,3,0,3,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,13,7,15,30,0,0,5,5,0,0,0,4,4,5,6,12,7,0,3,14,7,0,3,12,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,19,5,27,62
