SSC_CODE_2016,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
SSC70001,14,7,23,41,53,94,0,0,0,8,0,6,0,0,0,72,76,150,0,0,0,4,7,11,0,0,0,0,0,4,0,3,4,0,0,0,0,0,0,3,6,8,6,7,6,0,3,0,0,0,0,13,5,20,6,8,19,0,0,0,154,166,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,103,240,0,3,3,0,0,0,134,107,242,58,50,110,367,328,694
SSC70002,3,0,8,17,32,52,0,0,0,0,0,0,0,0,0,27,44,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,10,0,0,0,0,0,0,6,5,14,0,0,0,0,0,0,62,90,151,0,0,0,0,0,0,0,0,0,8,7,21,0,0,0,0,3,3,10,14,22,67,44,110,0,0,0,0,0,0,74,44,115,34,28,64,183,174,353
SSC70003,33,48,85,66,75,142,0,0,0,16,24,32,0,0,0,213,245,453,0,0,0,70,51,114,0,3,3,0,0,3,8,3,11,0,0,0,0,4,8,3,10,10,11,16,25,0,3,3,0,6,7,26,26,48,13,21,30,0,0,0,427,466,899,51,45,90,53,23,76,0,0,7,0,0,0,11,3,9,6,4,9,14,7,17,339,331,668,3,5,8,0,4,4,342,335,679,142,135,279,1067,1061,2127
SSC70004,0,0,0,4,3,3,0,0,0,138,159,293,0,0,0,3,6,8,0,0,0,0,0,0,0,0,0,0,0,0,10,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,3,0,0,0,158,168,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,41,91,0,0,0,0,0,0,53,41,91,40,34,77,247,243,494
SSC70005,9,4,8,3,3,9,0,0,0,0,6,6,0,0,0,28,24,49,0,0,0,0,0,0,0,0,0,0,3,5,3,9,10,0,0,0,0,0,0,3,3,5,0,0,3,0,0,0,0,0,0,8,3,10,0,3,5,0,0,0,45,58,107,4,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,28,65,0,0,0,0,0,0,39,28,65,60,49,111,154,141,300
SSC70006,0,0,0,3,0,8,0,0,0,129,126,254,0,0,0,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,0,0,0,140,134,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,54,119,0,0,0,0,0,0,64,54,119,14,14,27,217,208,420
SSC70007,0,7,7,60,68,125,0,0,0,8,10,14,0,0,0,109,81,193,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,19,8,0,13,0,0,0,0,0,0,13,14,28,19,5,27,0,0,0,232,196,426,7,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,5,168,135,308,0,0,0,0,0,0,168,135,308,79,39,113,496,381,873
SSC70008,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,79,113,184,0,0,0,0,0,0,0,0,0,0,0,0,7,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,118,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,20,38,101,138,239
SSC70009,0,0,0,0,0,0,0,0,0,50,47,96,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,61,63,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,114,232,0,0,0,0,0,0,0,0,0,79,76,150,0,0,0,0,0,0,79,76,150,15,11,23,0,0,0,0,0,0,15,11,23,5,4,13,211,209,418
SSC70010,0,0,0,8,3,11,0,0,0,8,14,22,0,0,0,4,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,3,0,3,0,0,0,0,0,0,28,23,50,0,0,0,0,0,0,0,0,0,4,9,14,0,0,0,0,0,0,4,9,14,13,17,32,0,0,0,0,0,0,13,17,32,10,4,17,57,54,111
