SSC_CODE_2016,M_15_19_yr_Volunteer,M_15_19_yr_N_a_volunteer,M_15_19_yr_Voluntary_work_ns,M_15_19_yr_Tot,M_20_24_yr_Volunteer,M_20_24_yr_N_a_volunteer,M_20_24_yr_Voluntary_work_ns,M_20_24_yr_Tot,M_25_34_yr_Volunteer,M_25_34_yr_N_a_volunteer,M_25_34_yr_Voluntary_work_ns,M_25_34_yr_Tot,M_35_44_yr_Volunteer,M_35_44_yr_N_a_volunteer,M_35_44_yr_Voluntary_work_ns,M_35_44_yr_Tot,M_45_54_yr_Volunteer,M_45_54_yr_N_a_volunteer,M_45_54_yr_Voluntary_work_ns,M_45_54_yr_Tot,M_55_64_yr_Volunteer,M_55_64_yr_N_a_volunteer,M_55_64_yr_Voluntary_work_ns,M_55_64_yr_Tot,M_65_74_yr_Volunteer,M_65_74_yr_N_a_volunteer,M_65_74_yr_Voluntary_work_ns,M_65_74_yr_Tot,M_75_84_yr_Volunteer,M_75_84_yr_N_a_volunteer,M_75_84_yr_Voluntary_work_ns,M_75_84_yr_Tot,M_85ov_Volunteer,M_85ov_N_a_volunteer,M_85_ov_Voluntary_work_ns,M_85ov_Tot,M_Tot_Volunteer,M_Tot_N_a_volunteer,M_Tot_Voluntary_work_ns,M_Tot_Tot,F_15_19_yr_Volunteer,F_15_19_yr_N_a_volunteer,F_15_19_yr_Voluntary_work_ns,F_15_19_yr_Tot,F_20_24_yr_Volunteer,F_20_24_yr_N_a_volunteer,F_20_24_yr_Voluntary_work_ns,F_20_24_yr_Tot,F_25_34_yr_Volunteer,F_25_34_yr_N_a_volunteer,F_25_34_yr_Voluntary_work_ns,F_25_34_yr_Tot,F_35_44_yr_Volunteer,F_35_44_yr_N_a_volunteer,F_35_44_yr_Voluntary_work_ns,F_35_44_yr_Tot,F_45_54_yr_Volunteer,F_45_54_yr_N_a_volunteer,F_45_54_yr_Voluntary_work_ns,F_45_54_yr_Tot,F_55_64_yr_Volunteer,F_55_64_yr_N_a_volunteer,F_55_64_yr_Voluntary_work_ns,F_55_64_yr_Tot,F_65_74_yr_Volunteer,F_65_74_yr_N_a_volunteer,F_65_74_yr_Voluntary_work_ns,F_65_74_yr_Tot,F_75_84_yr_Volunteer,F_75_84_yr_N_a_volunteer,F_75_84_yr_Voluntary_work_ns,F_75_84_yr_Tot,F_85ov_Volunteer,F_85ov_N_a_volunteer,F_85_ov_Voluntary_work_ns,F_85ov_Tot,F_Tot_Volunteer,F_Tot_N_a_volunteer,F_Tot_Voluntary_work_ns,F_Tot_Tot,P_15_19_yr_Volunteer,P_15_19_yr_N_a_volunteer,P_15_19_yr_Voluntary_work_ns,P_15_19_yr_Tot,P_20_24_yr_Volunteer,P_20_24_yr_N_a_volunteer,P_20_24_yr_Voluntary_work_ns,P_20_24_yr_Tot,P_25_34_yr_Volunteer,P_25_34_yr_N_a_volunteer,P_25_34_yr_Voluntary_work_ns,P_25_34_yr_Tot,P_35_44_yr_Volunteer,P_35_44_yr_N_a_volunteer,P_35_44_yr_Voluntary_work_ns,P_35_44_yr_Tot,P_45_54_yr_Volunteer,P_45_54_yr_N_a_volunteer,P_45_54_yr_Voluntary_work_ns,P_45_54_yr_Tot,P_55_64_yr_Volunteer,P_55_64_yr_N_a_volunteer,P_55_64_yr_Voluntary_work_ns,P_55_64_yr_Tot,P_65_74_yr_Volunteer,P_65_74_yr_N_a_volunteer,P_65_74_yr_Voluntary_work_ns,P_65_74_yr_Tot,P_75_84_yr_Volunteer,P_75_84_yr_N_a_volunteer,P_75_84_yr_Voluntary_work_ns,P_75_84_yr_Tot,P_85ov_Volunteer,P_85ov_N_a_volunteer,P_85_ov_Voluntary_work_ns,P_85ov_Tot,P_Tot_Volunteer,P_Tot_N_a_volunteer,P_Tot_Voluntary_work_ns,P_Tot_Tot
SSC70001,3,15,5,24,3,6,0,15,9,32,7,49,8,43,10,67,12,41,8,60,11,37,6,49,3,17,5,22,0,3,0,3,0,0,0,0,46,198,52,291,0,13,3,16,0,8,3,19,4,35,3,45,11,38,6,52,9,44,12,69,10,30,4,48,0,9,3,19,0,0,0,3,0,0,0,0,38,183,41,255,3,29,10,38,4,19,7,27,10,67,10,92,20,80,17,118,20,83,21,127,13,66,17,97,3,30,11,43,0,4,0,6,0,0,0,0,82,378,90,549
SSC70002,0,0,0,3,3,10,0,13,4,12,0,15,5,8,0,15,0,16,8,28,5,16,7,31,4,28,7,37,0,8,3,8,0,0,0,0,26,91,26,145,3,0,3,9,4,7,0,15,3,9,4,18,3,9,5,11,13,25,0,35,3,13,3,20,0,13,3,15,0,4,0,7,0,3,0,3,28,84,20,138,3,3,5,7,5,19,0,20,8,17,6,32,7,14,4,23,11,38,7,65,14,27,9,54,5,42,7,55,0,13,3,13,0,6,0,5,52,178,46,279
SSC70003,8,54,14,73,5,47,3,56,19,133,19,175,22,130,23,175,30,100,13,147,17,69,8,96,19,67,13,100,3,13,5,24,0,5,4,9,130,614,102,853,5,33,3,42,12,64,9,83,38,121,21,180,41,108,26,173,38,102,12,150,25,78,12,112,17,53,12,84,6,18,9,32,0,7,0,5,181,579,102,863,15,85,11,117,15,108,10,134,54,253,42,353,64,236,45,347,63,201,30,296,42,142,20,207,41,120,28,181,12,32,10,54,0,8,4,13,313,1198,201,1709
SSC70004,3,23,3,25,0,20,3,21,5,28,11,45,3,13,4,22,3,18,5,23,0,6,0,11,0,7,0,6,0,3,0,3,0,3,0,3,10,121,27,164,0,7,6,19,3,25,3,27,3,26,7,36,0,33,3,38,3,19,0,25,3,9,0,14,0,7,4,10,0,0,0,0,0,0,0,0,12,133,32,175,3,31,11,43,4,41,3,50,11,55,17,88,0,47,5,52,7,38,8,55,5,23,0,28,0,10,5,15,0,0,0,0,0,3,0,5,27,257,60,343
SSC70005,0,4,4,3,0,3,3,4,6,16,12,29,3,16,12,25,5,16,20,35,3,15,14,28,0,4,0,9,0,0,0,0,0,0,0,0,21,69,57,149,0,0,0,6,0,5,0,11,6,12,14,31,0,14,11,30,10,16,10,26,3,10,4,17,4,5,5,13,0,3,0,4,0,0,0,0,18,65,50,132,0,4,3,11,0,6,3,14,14,34,18,66,3,24,24,58,14,25,23,66,3,22,17,44,4,12,8,23,0,3,0,3,0,0,0,0,36,132,105,277
SSC70006,0,10,0,10,0,24,4,29,6,40,7,46,3,18,0,22,0,12,0,22,0,12,3,19,0,5,0,5,0,0,0,0,0,0,0,0,19,116,16,154,0,17,3,21,0,12,3,17,7,32,6,39,3,20,0,22,5,22,3,29,0,15,0,12,0,3,0,3,0,0,0,0,0,0,0,0,14,108,20,144,0,28,3,33,0,28,5,44,13,65,8,91,6,38,4,41,6,36,10,47,3,22,3,33,0,5,0,5,0,0,0,0,0,0,0,0,31,225,37,294
SSC70007,3,8,3,8,0,14,10,25,20,49,11,83,32,60,13,104,17,50,9,77,4,33,6,49,3,8,0,5,0,0,0,0,0,0,0,0,84,225,57,358,0,4,8,9,3,4,0,14,38,45,6,83,43,32,10,80,13,22,0,45,8,20,0,24,3,5,0,5,0,0,0,0,0,0,0,0,110,137,22,270,4,8,9,21,11,18,10,36,62,93,16,168,74,97,18,188,33,72,11,125,12,60,6,74,4,9,0,18,0,3,0,3,0,0,0,0,194,359,77,629
SSC70008,0,9,3,11,0,4,5,11,0,18,0,18,0,7,0,9,0,20,0,16,0,5,0,5,0,3,0,3,0,0,0,0,0,0,0,0,4,63,7,73,0,7,0,9,3,7,4,14,0,11,0,11,0,18,0,22,3,27,0,29,0,6,0,9,0,3,0,3,0,0,0,0,0,3,0,3,12,91,6,112,3,14,3,19,3,12,14,29,0,36,0,36,4,25,0,27,5,45,0,51,0,10,0,15,0,6,0,6,0,0,0,0,0,3,0,3,13,149,17,178
SSC70009,0,12,3,17,3,22,0,23,16,11,0,29,0,19,5,21,3,14,7,30,0,6,0,8,3,3,0,6,0,0,0,3,0,0,0,0,28,89,11,138,0,22,3,25,6,22,0,28,10,19,0,29,3,23,0,25,13,11,0,16,4,10,0,13,3,0,0,7,0,3,0,3,0,0,0,0,30,100,12,141,0,34,7,39,5,47,0,54,27,28,0,58,3,36,5,45,18,21,7,48,7,12,0,18,4,4,0,9,0,4,0,5,0,0,0,0,61,191,21,276
SSC70010,0,8,0,8,0,3,0,4,0,9,6,16,0,9,0,9,0,3,0,7,0,4,3,11,0,0,0,0,0,0,0,0,0,0,0,0,4,38,7,46,0,4,0,4,0,3,4,8,0,8,0,7,0,3,0,9,5,5,0,10,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,30,4,39,0,13,0,13,0,8,3,11,0,15,4,27,0,15,0,10,6,7,0,11,0,6,3,10,0,0,0,0,0,0,0,0,0,0,0,0,11,70,15,88
SSC70011,0,46,16,61,0,29,8,42,0,44,17,59,0,47,13,57,0,35,9,43,0,13,13,25,0,8,0,12,0,0,0,0,0,0,0,0,4,219,69,290,0,45,24,71,0,33,6,41,0,57,22,78,0,49,8,65,3,40,13,56,0,16,12,31,0,4,0,6,0,0,5,6,0,0,0,0,10,253,85,350,0,92,37,131,0,65,13,81,0,99,31,141,4,95,21,118,3,74,24,98,3,33,24,54,0,12,0,15,0,0,7,4,0,0,0,0,12,474,156,645
SSC70012,0,3,0,3,0,5,0,5,0,15,3,21,0,3,0,3,0,3,0,3,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4,34,9,42,0,3,0,3,0,3,0,3,5,12,3,18,3,3,0,5,0,3,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,5,29,3,35,0,6,0,6,0,6,0,6,5,26,4,38,5,6,0,10,0,8,0,9,0,7,0,4,0,3,0,3,0,0,0,0,0,0,0,0,8,64,9,82
