SSC_CODE_2016,M_15_19y_DUDW_LT_5_h,M_15_19y_DUDW_5_14_h,M_15_19y_DUDW_15_29_h,M_15_19y_DUDW_30_h_mo,M_15_19y_DNUDW,M_15_19y_UDW_NS,M_15_19y_Total,M_20_24y_DUDW_LT_5_h,M_20_24y_DUDW_5_14_h,M_20_24y_DUDW_15_29_h,M_20_24y_DUDW_30_h_mo,M_20_24y_DNUDW,M_20_24y_UDW_NS,M_20_24y_Total,M_25_34y_DUDW_LT_5_h,M_25_34y_DUDW_5_14_h,M_25_34y_DUDW_15_29_h,M_25_34y_DUDW_30_h_mo,M_25_34y_DNUDW,M_25_34y_UDW_NS,M_25_34y_Total,M_35_44y_DUDW_LT_5_h,M_35_44y_DUDW_5_14_h,M_35_44y_DUDW_15_29_h,M_35_44y_DUDW_30_h_mo,M_35_44y_DNUDW,M_35_44y_UDW_NS,M_35_44y_Total,M_45_54y_DUDW_LT_5_h,M_45_54y_DUDW_5_14_h,M_45_54y_DUDW_15_29_h,M_45_54y_DUDW_30_h_mo,M_45_54y_DNUDW,M_45_54y_UDW_NS,M_45_54y_Total,M_55_64y_DUDW_LT_5_h,M_55_64y_DUDW_5_14_h,M_55_64y_DUDW_15_29_h,M_55_64y_DUDW_30_h_mo,M_55_64y_DNUDW,M_55_64y_UDW_NS,M_55_64y_Total,M_65_74y_DUDW_LT_5_h,M_65_74y_DUDW_5_14_h,M_65_74y_DUDW_15_29_h,M_65_74y_DUDW_30_h_mo,M_65_74y_DNUDW,M_65_74y_UDW_NS,M_65_74y_Total,M_75_84y_DUDW_LT_5_h,M_75_84y_DUDW_5_14_h,M_75_84y_DUDW_15_29_h,M_75_84y_DUDW_30_h_mo,M_75_84y_DNUDW,M_75_84y_UDW_NS,M_75_84y_Total,M_85y_ov_DUDW_LT_5_h,M_85y_ov_DUDW_5_14_h,M_85y_ov_DUDW_15_29_h,M_85y_ov_DUDW_30_h_mo,M_85y_ov_DNUDW,M_85y_ov_UDW_NS,M_85y_ov_Total,M_Tot_DUDW_LT_5_h,M_Tot_DUDW_5_14_h,M_Tot_DUDW_15_29_h,M_Tot_DUDW_30_h_mo,M_Tot_DNUDW,M_Tot_UDW_NS,M_Tot_Total,F_15_19y_DUDW_LT_5_h,F_15_19y_DUDW_5_14_h,F_15_19y_DUDW_15_29_h,F_15_19y_DUDW_30_h_mo,F_15_19y_DNUDW,F_15_19y_UDW_NS,F_15_19y_Total,F_20_24y_DUDW_LT_5_h,F_20_24y_DUDW_5_14_h,F_20_24y_DUDW_15_29_h,F_20_24y_DUDW_30_h_mo,F_20_24y_DNUDW,F_20_24y_UDW_NS,F_20_24y_Total,F_25_34y_DUDW_LT_5_h,F_25_34y_DUDW_5_14_h,F_25_34y_DUDW_15_29_h,F_25_34y_DUDW_30_h_mo,F_25_34y_DNUDW,F_25_34y_UDW_NS,F_25_34y_Total,F_35_44y_DUDW_LT_5_h,F_35_44y_DUDW_5_14_h,F_35_44y_DUDW_15_29_h,F_35_44y_DUDW_30_h_mo,F_35_44y_DNUDW,F_35_44y_UDW_NS,F_35_44y_Total,F_45_54y_DUDW_LT_5_h,F_45_54y_DUDW_5_14_h,F_45_54y_DUDW_15_29_h,F_45_54y_DUDW_30_h_mo,F_45_54y_DNUDW,F_45_54y_UDW_NS,F_45_54y_Total,F_55_64y_DUDW_LT_5_h,F_55_64y_DUDW_5_14_h,F_55_64y_DUDW_15_29_h,F_55_64y_DUDW_30_h_mo,F_55_64y_DNUDW,F_55_64y_UDW_NS,F_55_64y_Total,F_65_74y_DUDW_LT_5_h,F_65_74y_DUDW_5_14_h,F_65_74y_DUDW_15_29_h,F_65_74y_DUDW_30_h_mo,F_65_74y_DNUDW,F_65_74y_UDW_NS,F_65_74y_Total,F_75_84y_DUDW_LT_5_h,F_75_84y_DUDW_5_14_h,F_75_84y_DUDW_15_29_h,F_75_84y_DUDW_30_h_mo,F_75_84y_DNUDW,F_75_84y_UDW_NS,F_75_84y_Total,F_85y_ov_DUDW_LT_5_h,F_85y_ov_DUDW_5_14_h,F_85y_ov_DUDW_15_29_h,F_85y_ov_DUDW_30_h_mo,F_85y_ov_DNUDW,F_85y_ov_UDW_NS,F_85y_ov_Total,F_Tot_DUDW_LT_5_h,F_Tot_DUDW_5_14_h,F_Tot_DUDW_15_29_h,F_Tot_DUDW_30_h_mo,F_Tot_DNUDW,F_Tot_UDW_NS,F_Tot_Total,P_15_19y_DUDW_LT_5_h,P_15_19y_DUDW_5_14_h,P_15_19y_DUDW_15_29_h,P_15_19y_DUDW_30_h_mo,P_15_19y_DNUDW,P_15_19y_UDW_NS,P_15_19y_Total,P_20_24y_DUDW_LT_5_h,P_20_24y_DUDW_5_14_h,P_20_24y_DUDW_15_29_h,P_20_24y_DUDW_30_h_mo,P_20_24y_DNUDW,P_20_24y_UDW_NS,P_20_24y_Total,P_25_34y_DUDW_LT_5_h,P_25_34y_DUDW_5_14_h,P_25_34y_DUDW_15_29_h,P_25_34y_DUDW_30_h_mo,P_25_34y_DNUDW,P_25_34y_UDW_NS,P_25_34y_Total,P_35_44y_DUDW_LT_5_h,P_35_44y_DUDW_5_14_h,P_35_44y_DUDW_15_29_h,P_35_44y_DUDW_30_h_mo,P_35_44y_DNUDW,P_35_44y_UDW_NS,P_35_44y_Total,P_45_54y_DUDW_LT_5_h,P_45_54y_DUDW_5_14_h,P_45_54y_DUDW_15_29_h,P_45_54y_DUDW_30_h_mo,P_45_54y_DNUDW,P_45_54y_UDW_NS,P_45_54y_Total,P_55_64y_DUDW_LT_5_h,P_55_64y_DUDW_5_14_h,P_55_64y_DUDW_15_29_h,P_55_64y_DUDW_30_h_mo,P_55_64y_DNUDW,P_55_64y_UDW_NS,P_55_64y_Total,P_65_74y_DUDW_LT_5_h,P_65_74y_DUDW_5_14_h,P_65_74y_DUDW_15_29_h,P_65_74y_DUDW_30_h_mo,P_65_74y_DNUDW,P_65_74y_UDW_NS,P_65_74y_Total,P_75_84y_DUDW_LT_5_h,P_75_84y_DUDW_5_14_h,P_75_84y_DUDW_15_29_h,P_75_84y_DUDW_30_h_mo,P_75_84y_DNUDW,P_75_84y_UDW_NS,P_75_84y_Total,P_85y_ov_DUDW_LT_5_h,P_85y_ov_DUDW_5_14_h,P_85y_ov_DUDW_15_29_h,P_85y_ov_DUDW_30_h_mo
SSC70001,9,0,0,0,13,3,24,6,0,0,0,3,0,15,13,10,3,0,15,7,49,16,17,5,0,11,10,67,10,16,6,0,13,11,60,11,14,3,6,9,9,49,0,8,0,3,3,9,22,0,0,0,0,0,0,3,0,0,0,0,0,0,0,64,72,20,13,65,56,291,0,4,0,0,4,3,16,0,10,0,0,3,3,19,12,16,10,5,4,3,45,4,18,4,13,8,6,52,6,27,15,7,3,14,69,3,7,8,11,6,5,48,0,3,0,4,0,5,19,0,0,0,0,0,0,3,0,0,0,0,0,0,0,26,79,34,41,28,38,255,9,10,0,0,21,7,38,10,8,0,0,3,5,27,22,21,11,5,16,16,92,18,37,12,15,17,19,118,15,43,24,6,20,22,127,13,25,9,18,15,16,97,6,10,0,5,4,9,43,0,3,0,0,3,0,6,0,0,0,0
SSC70002,0,0,0,0,0,0,3,3,0,0,0,3,0,13,7,4,5,0,3,3,15,3,3,0,0,3,0,15,3,7,0,0,7,12,28,7,6,0,0,5,9,31,10,4,3,3,6,7,37,0,0,0,0,3,3,8,0,0,0,0,0,0,0,34,23,16,7,31,35,145,3,0,0,0,0,3,9,4,3,0,0,0,0,15,0,6,0,0,0,3,18,0,3,3,3,0,5,11,0,19,5,5,3,5,35,0,6,3,4,3,3,20,0,0,4,3,6,3,15,0,4,0,0,3,0,7,0,0,0,0,3,0,3,13,39,21,16,19,23,138,3,0,0,0,0,5,7,11,3,4,0,9,0,20,5,7,8,0,7,8,32,7,5,0,3,3,4,23,6,23,7,5,9,12,65,11,9,0,3,14,9,54,15,8,7,3,16,8,55,0,7,0,0,6,3,13,0,3,0,0
SSC70003,29,10,0,0,25,14,73,14,13,0,0,20,3,56,42,47,7,9,50,19,175,50,47,11,9,33,22,175,39,49,8,7,25,16,147,16,31,11,7,24,8,96,13,24,9,8,28,14,100,4,0,4,0,10,3,24,0,0,0,0,0,4,9,205,228,50,42,222,104,853,18,11,0,0,14,3,42,22,12,7,4,24,9,83,31,44,14,26,42,23,180,27,48,23,18,24,23,173,21,54,24,13,23,10,150,11,38,20,15,18,13,112,8,25,8,14,18,7,84,3,3,0,4,9,9,32,0,0,0,0,3,0,5,150,237,105,95,179,98,863,50,16,3,0,40,11,117,41,29,9,3,43,10,134,73,91,23,31,92,43,353,79,98,35,27,60,45,347,58,105,35,21,51,26,296,25,73,22,25,43,23,207,20,46,25,20,45,22,181,9,3,6,4,20,10,54,0,0,3,0
SSC70004,11,0,0,0,12,3,25,15,3,0,0,3,0,21,18,7,3,0,13,5,45,3,3,0,0,12,0,22,3,0,0,0,10,4,23,7,3,0,0,8,0,11,0,0,0,0,4,4,6,0,0,0,0,0,0,3,0,0,0,0,3,0,3,51,23,0,0,62,21,164,7,0,0,0,5,3,19,14,9,3,0,10,0,27,10,11,0,3,17,7,36,7,7,0,3,12,3,38,8,3,0,0,12,3,25,3,10,0,0,0,0,14,3,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,38,8,10,65,18,175,12,0,0,0,19,9,43,20,10,3,0,11,0,50,26,22,3,3,21,13,88,16,6,0,3,23,3,52,15,3,0,5,24,8,55,6,10,0,0,9,0,28,0,0,0,0,8,3,15,0,0,0,0,0,0,0,0,0,0,0
SSC70005,0,0,0,0,0,4,3,3,0,0,0,0,3,4,10,8,0,0,6,12,29,4,8,0,0,4,12,25,11,0,0,0,6,18,35,3,3,0,0,14,14,28,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,16,3,3,37,60,149,0,0,0,0,0,0,6,3,0,0,0,3,0,11,9,6,3,3,3,14,31,3,7,3,3,3,10,30,6,7,3,0,4,9,26,3,3,3,0,4,4,17,3,0,0,0,3,4,13,0,0,0,0,0,4,4,0,0,0,0,0,0,0,21,19,7,9,21,52,132,0,3,0,0,0,3,11,5,0,0,0,3,3,14,11,12,3,4,12,18,66,8,9,3,4,7,25,58,15,9,3,0,12,28,66,3,4,3,0,17,17,44,3,4,0,0,7,11,23,0,0,0,0,0,4,3,0,0,0,0
SSC70006,8,0,0,0,3,0,10,16,0,0,0,12,3,29,21,4,0,0,15,3,46,8,3,0,0,4,0,22,8,0,0,0,10,0,22,4,3,0,3,8,0,19,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,9,0,3,57,6,154,5,3,0,0,8,0,21,8,0,0,0,4,3,17,16,13,0,3,13,3,39,8,8,0,0,3,0,22,11,7,3,0,5,0,29,5,0,0,0,5,0,12,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,31,4,3,35,8,144,11,6,0,0,10,5,33,18,0,4,0,13,4,44,37,15,0,3,28,4,91,22,10,3,0,9,0,41,23,8,3,0,11,0,47,10,3,0,0,18,0,33,0,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0
SSC70007,3,0,0,0,3,3,8,6,3,0,0,0,10,25,26,27,8,0,7,11,83,29,42,4,0,12,19,104,21,21,3,5,12,12,77,17,14,4,3,12,4,49,3,3,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,104,20,14,54,59,358,0,0,0,0,3,8,9,6,3,0,0,0,0,14,16,34,7,8,12,6,83,6,33,13,16,3,11,80,4,16,11,3,3,4,45,3,11,6,0,3,0,24,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,107,39,34,21,27,270,3,0,3,0,9,9,21,12,9,0,0,0,17,36,47,59,16,15,18,15,168,36,73,17,18,14,27,188,24,43,13,12,18,18,125,21,25,5,4,16,4,74,3,4,0,0,3,0,18,0,0,0,0,0,0,3,0,0,0,0
SSC70008,3,0,0,0,0,3,11,4,0,0,0,0,5,11,11,3,0,0,5,0,18,3,0,3,0,3,0,9,9,5,0,0,5,0,16,5,0,0,0,0,0,5,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,7,4,0,17,10,73,4,3,0,0,0,0,9,3,3,0,0,0,4,14,5,3,4,3,0,0,11,7,3,6,3,0,0,22,6,10,5,3,3,0,29,3,3,0,0,0,0,9,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,37,23,18,15,9,6,112,12,4,0,0,3,3,19,9,3,0,0,0,14,29,17,5,4,3,5,0,36,11,4,7,3,3,0,27,16,12,9,3,7,0,51,4,3,0,0,0,0,15,3,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0
SSC70009,3,9,0,0,0,0,17,5,20,0,0,3,0,23,0,19,0,0,3,0,29,0,8,3,0,6,5,21,3,10,3,0,0,7,30,0,3,0,0,0,0,8,0,6,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,21,79,11,0,14,11,138,0,13,5,0,0,3,25,3,18,3,0,0,0,28,5,10,13,0,0,0,29,0,10,13,0,0,0,25,0,9,7,0,0,0,16,4,0,3,0,0,0,13,0,3,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,13,66,43,4,3,12,141,3,27,3,0,0,5,39,5,36,10,0,3,0,54,4,28,16,0,3,0,58,0,22,15,0,6,5,45,8,19,9,0,0,7,48,3,8,3,0,0,0,18,0,11,0,0,0,0,9,0,3,0,0,0,0,5,0,0,0,0
SSC70010,0,0,3,0,3,0,8,0,0,0,0,3,0,4,0,3,3,0,4,6,16,3,0,3,0,3,0,9,3,0,0,0,3,0,7,0,0,0,0,8,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,9,0,18,5,46,0,0,0,0,0,0,4,0,3,0,0,0,4,8,3,4,0,0,0,0,7,0,0,6,0,0,0,9,0,4,3,0,0,0,10,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,12,0,4,4,39,0,4,4,0,5,0,13,0,3,0,0,3,3,11,3,8,7,0,4,4,27,3,0,9,0,4,0,10,5,4,4,0,3,0,11,0,3,0,0,8,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
