SSC_CODE_2016,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
SSC70001,0,19,5,24,0,10,0,15,3,37,11,49,7,46,12,67,3,46,8,60,0,39,9,49,0,15,5,22,0,3,0,3,0,0,0,0,20,219,50,291,0,16,3,16,0,12,3,19,5,29,8,45,5,39,5,52,10,48,11,69,5,31,5,48,3,8,3,19,0,0,0,3,0,0,0,0,28,188,44,255,0,30,10,38,0,25,5,27,9,59,18,92,11,87,21,118,9,96,15,127,6,76,13,97,3,26,13,43,0,4,0,6,0,0,0,0,51,405,95,549
SSC70002,0,0,0,3,0,8,0,13,0,16,0,15,0,14,0,15,0,19,9,28,0,23,5,31,6,22,7,37,0,3,3,8,0,0,0,0,8,108,29,145,0,3,3,9,0,11,0,15,0,8,3,18,0,12,5,11,3,28,0,35,4,12,3,20,3,12,3,15,0,3,3,7,0,3,3,3,19,92,23,138,0,5,5,7,3,18,0,20,4,21,4,32,0,23,3,23,9,47,12,65,5,38,10,54,5,39,7,55,0,9,6,13,0,3,3,5,29,202,53,279
SSC70003,7,59,9,73,8,47,3,56,8,148,20,175,16,135,24,175,16,115,16,147,7,76,8,96,5,83,15,100,3,16,6,24,3,3,4,9,68,675,109,853,3,35,3,42,3,66,9,83,8,143,21,180,21,129,22,173,33,104,14,150,18,82,13,112,5,67,10,84,3,20,12,32,0,3,0,5,99,655,105,863,8,93,16,117,12,109,10,134,16,295,44,353,34,267,49,347,46,217,29,296,24,159,27,207,9,143,29,181,7,32,15,54,0,6,4,13,171,1329,214,1709
SSC70004,0,22,8,25,6,13,0,21,3,32,5,45,4,16,0,22,0,17,7,23,0,13,0,11,0,3,5,6,0,3,0,3,0,3,0,3,18,116,30,164,3,7,3,19,11,22,0,27,3,26,7,36,5,26,3,38,5,18,0,25,3,11,0,14,4,6,0,10,0,0,0,0,0,0,0,0,34,123,15,175,4,29,6,43,16,35,0,50,11,58,13,88,4,43,3,52,5,38,9,55,4,25,0,28,3,5,3,15,0,0,0,0,0,5,0,5,52,240,45,343
SSC70005,0,4,4,3,0,3,3,4,0,20,12,29,0,16,12,25,0,13,21,35,0,16,14,28,0,4,0,9,0,0,0,0,0,0,0,0,10,82,60,149,0,0,0,6,0,5,0,11,3,15,14,31,0,11,11,30,3,14,9,26,0,6,4,17,0,6,5,13,0,3,0,4,0,0,0,0,6,76,48,132,0,4,3,11,0,6,3,14,7,42,18,66,0,31,24,58,3,33,28,66,0,25,17,44,0,15,8,23,0,3,0,3,0,0,0,0,16,153,109,277
SSC70006,3,7,0,10,3,23,0,29,11,34,10,46,3,15,3,22,0,14,0,22,3,13,0,19,0,5,0,5,0,0,0,0,0,0,0,0,22,108,16,154,0,13,3,21,4,9,3,17,4,29,5,39,5,14,3,22,0,21,4,29,3,9,0,12,0,3,0,3,0,0,0,0,0,0,0,0,18,107,19,144,3,26,3,33,8,29,4,44,13,62,15,91,6,32,8,41,3,33,8,47,7,26,0,33,0,7,0,5,0,0,0,0,0,0,0,0,43,213,36,294
SSC70007,0,8,3,8,0,12,10,25,0,73,11,83,0,86,13,104,0,68,12,77,3,39,4,49,0,8,0,5,0,0,0,0,0,0,0,0,12,290,56,358,0,3,8,9,0,14,0,14,3,81,3,83,6,73,11,80,0,40,0,45,4,26,0,24,0,7,0,5,0,0,0,0,0,0,0,0,10,234,27,270,0,12,9,21,0,28,10,36,7,150,17,168,11,160,21,188,3,106,15,125,6,65,4,74,0,13,3,18,0,3,0,3,0,0,0,0,27,527,82,629
SSC70008,7,0,3,11,0,6,10,11,3,14,0,18,0,9,0,9,3,15,0,16,0,5,0,5,0,0,0,3,0,0,0,0,0,0,0,0,10,44,12,73,3,8,3,9,3,6,4,14,0,16,0,11,4,16,0,22,11,17,0,29,0,7,3,9,0,3,0,3,0,0,0,0,0,3,0,3,22,74,11,112,6,6,3,19,3,12,12,29,7,31,0,36,8,23,0,27,13,33,4,51,0,10,3,15,0,5,0,6,0,0,0,0,0,3,0,3,35,121,27,178
SSC70009,0,17,3,17,7,19,0,23,4,22,0,29,0,13,5,21,6,13,5,30,0,3,0,8,3,4,0,6,0,0,0,3,0,0,0,0,30,94,14,138,3,14,3,25,3,22,0,28,3,19,0,29,3,15,0,25,4,13,0,16,4,5,0,13,0,3,0,7,0,0,0,3,0,0,0,0,27,101,12,141,6,29,3,39,12,44,0,54,12,44,0,58,5,31,5,45,14,24,5,48,7,10,0,18,4,6,0,9,5,3,0,5,0,0,0,0,58,193,23,276
SSC70010,0,8,0,8,0,3,0,4,0,16,6,16,3,3,0,9,0,7,0,7,0,8,3,11,0,0,0,0,0,0,0,0,0,0,0,0,3,38,5,46,0,4,0,4,0,3,4,8,0,6,3,7,4,4,0,9,0,7,0,10,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,29,5,39,0,13,0,13,0,7,3,11,0,20,4,27,7,11,0,10,0,12,0,11,0,6,3,10,0,0,0,0,0,0,0,0,0,0,0,0,7,64,13,88
