SSC_CODE_2016,M_Hbn_in_RM_0_14,M_Hbn_in_RM_15_24,M_Hbn_in_RM_25_34,M_Hbn_in_RM_35_44,M_Hbn_in_RM_45_54,M_Hbn_in_RM_55_64,M_Hbn_in_RM_65_74,M_Hbn_in_RM_75_84,M_Hbn_in_RM_85ov,M_Hbn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Wife_in_RM_0_14,F_Wife_in_RM_15_24,F_Wife_in_RM_25_34,F_Wife_in_RM_35_44,F_Wife_in_RM_45_54,F_Wife_in_RM_55_64,F_Wife_in_RM_65_74,F_Wife_in_RM_75_84,F_Wife_in_RM_85ov,F_Wife_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
SSC70001,..,0,11,33,29,26,9,3,0,100,..,5,16,14,15,8,4,0,0,51,..,0,0,0,0,0,0,0,0,0,63,..,..,..,..,..,..,..,..,63,..,10,..,..,..,..,..,..,..,10,..,13,3,3,0,0,0,0,0,24,..,4,0,0,0,0,3,0,0,11,..,0,0,0,0,0,0,0,0,4,..,0,3,0,0,0,0,0,0,3,..,0,3,0,3,9,3,0,0,20,0,0,0,0,0,7,0,0,0,7,69,37,38,56,47,40,17,3,0,308,..,0,19,28,31,22,7,0,0,98,..,5,13,13,15,7,0,0,0,55,..,0,3,6,4,3,0,0,0,14,64,..,..,..,..,..,..,..,..,64,..,10,..,..,..,..,..,..,..,10,..,9,3,0,0,0,0,0,0,10,..,0,0,0,0,0,0,0,0,8,..,0,0,0,0,0,0,0,0,3
SSC70002,..,0,0,3,5,7,13,0,0,30,..,0,4,3,0,3,3,0,0,13,..,0,0,0,0,0,0,0,0,3,34,..,..,..,..,..,..,..,..,34,..,3,..,..,..,..,..,..,..,3,..,10,3,0,0,0,0,0,0,12,..,0,0,0,0,0,0,0,0,8,..,0,0,0,0,0,0,0,0,0,..,0,3,0,0,8,6,0,0,16,..,0,0,3,3,3,7,4,0,26,0,0,0,0,0,0,0,0,0,3,34,16,16,14,19,20,34,8,0,151,..,0,3,0,13,9,5,0,0,35,..,0,5,0,8,0,3,0,0,23,..,3,0,3,5,0,0,0,0,13,30,..,..,..,..,..,..,..,..,30,..,5,..,..,..,..,..,..,..,5,..,3,0,0,0,0,0,0,0,3,..,6,3,3,0,3,3,0,0,13,..,0,0,0,0,0,0,0,0,0
SSC70003,..,3,44,73,58,44,61,8,3,297,..,4,36,24,25,7,10,0,0,102,..,3,0,0,12,0,0,0,0,13,191,..,..,..,..,..,..,..,..,191,..,40,..,..,..,..,..,..,..,40,..,37,18,11,7,0,0,0,0,68,..,5,14,3,3,7,3,3,0,33,..,9,10,16,3,4,3,0,0,41,..,9,27,11,9,5,3,3,0,73,..,3,8,7,7,11,8,3,0,58,3,3,4,3,9,4,3,0,0,30,191,120,157,148,134,82,88,23,5,954,..,6,65,76,62,55,36,11,0,310,..,4,35,35,22,11,6,0,0,111,..,0,3,23,21,11,5,7,0,77,173,..,..,..,..,..,..,..,..,173,..,33,..,..,..,..,..,..,..,33,..,35,15,8,3,0,0,0,0,57,..,9,3,0,3,7,7,4,0,31,..,11,11,4,0,0,0,0,0,31
SSC70004,..,10,10,11,7,6,3,3,0,49,..,0,10,3,0,0,0,0,0,20,..,0,4,0,0,0,0,0,0,3,74,..,..,..,..,..,..,..,..,74,..,3,..,..,..,..,..,..,..,3,..,16,7,0,0,0,0,0,0,18,..,18,6,0,0,0,0,0,0,25,..,0,0,0,0,0,0,0,0,0,..,0,0,3,0,5,0,0,0,9,..,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,77,46,36,16,22,11,4,3,3,217,..,12,9,8,14,7,3,0,0,48,..,9,4,3,0,0,0,0,0,20,..,5,8,7,3,0,3,0,0,25,61,..,..,..,..,..,..,..,..,61,..,0,..,..,..,..,..,..,..,0,..,10,3,0,0,0,0,0,0,15,..,8,7,10,4,3,7,0,0,41,..,0,0,0,0,0,0,0,0,0
SSC70005,..,0,3,3,0,3,0,0,0,12,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,5,..,..,..,..,..,..,..,..,5,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,8,0,0,0,0,0,0,8,..,0,7,3,8,3,4,0,0,26,0,0,3,0,0,3,0,0,0,6,5,0,21,12,10,13,4,0,0,57,..,0,8,3,3,0,0,0,0,14,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,3,..,..,..,..,..,..,..,..,3,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SSC70006,..,5,15,10,12,10,0,0,0,46,..,4,7,4,3,0,0,0,0,22,..,0,0,0,0,3,0,0,0,8,63,..,..,..,..,..,..,..,..,63,..,0,..,..,..,..,..,..,..,0,..,19,14,3,0,0,0,0,0,42,..,10,3,0,0,0,0,0,0,12,..,0,0,0,0,0,3,0,0,4,..,0,0,3,3,0,0,0,0,7,..,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,64,38,42,22,18,19,5,0,0,209,..,3,16,3,13,7,0,0,0,50,..,3,6,4,0,0,0,0,0,20,..,0,3,5,11,5,0,0,0,25,55,..,..,..,..,..,..,..,..,55,..,3,..,..,..,..,..,..,..,3,..,14,6,0,0,0,0,0,0,14,..,8,0,0,0,4,3,0,0,16,..,0,0,0,0,0,0,0,0,3
SSC70007,..,0,24,49,25,16,7,0,0,126,..,3,16,19,7,3,0,0,0,53,..,0,0,0,0,3,0,0,0,3,115,..,..,..,..,..,..,..,..,115,..,0,..,..,..,..,..,..,..,0,..,6,3,0,0,0,0,0,0,10,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,4,0,0,0,0,7,..,0,11,4,11,7,0,0,0,37,9,0,7,8,9,0,0,0,0,30,123,14,62,83,57,35,3,0,0,380,..,0,36,46,19,15,4,0,0,128,..,3,29,18,9,3,0,0,0,58,..,0,0,5,0,0,0,0,0,7,95,..,..,..,..,..,..,..,..,95,..,0,..,..,..,..,..,..,..,0,..,3,0,0,0,0,0,0,0,5,..,0,0,0,0,0,3,0,0,7,..,3,0,0,0,0,0,0,0,3
SSC70008,..,4,9,3,10,0,0,0,0,20,..,0,4,0,3,0,0,0,0,8,..,0,0,0,0,3,0,0,0,4,30,..,..,..,..,..,..,..,..,30,..,3,..,..,..,..,..,..,..,3,..,3,3,0,0,0,0,0,0,11,..,3,0,0,0,0,0,0,0,10,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,30,11,18,9,16,5,0,0,0,91,..,8,0,3,7,0,0,0,0,24,..,0,4,3,4,0,0,0,0,9,..,0,3,6,4,3,0,0,0,17,26,..,..,..,..,..,..,..,..,26,..,0,..,..,..,..,..,..,..,0,..,8,3,3,0,0,0,0,0,16,..,3,0,0,5,3,5,0,0,19,..,0,0,0,0,0,0,0,0,0
SSC70009,..,8,15,10,5,4,5,0,0,52,..,0,5,0,3,0,0,0,0,9,..,0,0,0,0,0,0,0,0,3,68,..,..,..,..,..,..,..,..,68,..,4,..,..,..,..,..,..,..,4,..,13,6,0,4,0,0,0,0,25,..,12,0,0,0,0,3,0,0,19,..,3,0,0,0,0,0,0,0,6,..,0,0,3,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,5,75,40,29,19,18,8,6,3,0,199,..,11,16,8,9,7,3,0,0,51,..,0,0,3,0,0,0,0,0,6,..,4,3,6,4,0,0,0,0,15,64,..,..,..,..,..,..,..,..,64,..,4,..,..,..,..,..,..,..,4,..,11,0,3,0,0,0,0,0,14,..,14,3,0,4,0,0,3,0,30,..,0,0,0,0,0,0,0,0,0
SSC70010,..,0,3,3,0,3,0,0,0,12,..,0,3,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,8,..,..,..,..,..,..,..,..,8,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,4,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,3,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,3,8,8,8,9,7,4,0,0,0,41,..,0,0,6,3,0,0,0,0,13,..,0,0,0,0,0,0,0,0,7,..,0,0,0,3,0,0,0,0,5,11,..,..,..,..,..,..,..,..,11,..,0,..,..,..,..,..,..,..,0,..,4,0,0,0,0,0,0,0,7,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0
