SSC_CODE_2016,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
SSC70001,74,7,3,3,0,0,0,84
SSC70002,26,0,0,0,0,0,3,28
SSC70003,217,16,9,7,0,0,3,248
SSC70004,37,3,0,6,0,0,5,51
SSC70005,7,0,0,0,0,0,0,7
SSC70006,33,4,4,8,0,0,0,52
SSC70007,106,11,3,3,0,0,0,118
SSC70008,10,0,0,4,0,0,0,15
SSC70009,41,0,0,6,0,0,0,49
SSC70010,6,0,0,0,0,0,0,11
SSC70011,78,10,0,8,0,0,8,100
SSC70012,8,0,0,0,0,0,0,14
SSC70013,43,0,0,4,0,0,0,50
SSC70014,261,25,13,8,0,0,0,306
SSC70015,290,23,14,7,0,0,7,340
SSC70016,0,0,0,0,0,0,0,0
SSC70017,18,0,0,0,0,0,0,19
SSC70018,0,0,0,0,0,0,0,0
SSC70019,15,0,0,0,0,0,0,18
SSC70020,24,0,0,0,0,0,0,29
SSC70021,6,0,0,3,0,0,0,11
SSC70022,328,27,23,3,0,0,0,386
SSC70023,37,3,0,3,0,0,4,46
SSC70024,11,0,3,3,0,0,0,17
SSC70025,183,15,8,3,0,0,0,206
SSC70026,84,5,3,3,0,0,0,99
SSC70027,306,21,25,7,0,0,6,365
SSC70028,5,0,0,0,0,0,0,12
SSC70029,33,3,4,0,0,0,3,42
SSC70030,78,8,11,3,0,0,0,101
SSC70031,47,0,3,10,0,0,6,65
SSC70032,0,0,0,0,0,0,0,0
SSC70033,7,0,0,3,0,0,3,17
SSC70034,4,0,0,0,0,0,0,8
SSC70035,0,0,0,0,0,0,0,0
SSC70036,9,0,0,0,0,0,0,10
SSC70037,44,3,4,5,3,5,3,71
SSC70038,3,0,0,0,0,0,0,3
SSC70039,300,19,12,3,0,3,7,347
SSC70040,109,9,3,0,0,0,3,126
SSC70041,3,0,0,0,0,0,0,3
SSC70042,0,0,0,0,0,0,0,0
SSC70043,30,3,3,5,0,0,4,45
SSC70044,3,0,0,0,0,0,0,3
SSC70045,13,4,0,0,0,0,0,18
SSC70046,3,0,4,0,0,0,0,6
SSC70047,0,0,0,0,0,0,0,0
SSC70048,0,0,0,0,0,0,0,4
SSC70049,0,0,0,0,0,0,0,0
SSC70050,13,0,0,5,0,0,0,18
SSC70051,10,0,0,0,0,0,0,13
SSC70052,0,0,0,0,0,0,0,0
SSC70053,0,0,0,0,0,0,0,0
SSC70054,3,0,0,0,0,0,0,3
SSC70055,0,0,0,0,0,0,0,0
SSC70056,9,0,0,0,0,0,0,13
SSC70057,0,0,0,0,0,0,0,0
SSC70058,0,0,0,0,0,0,0,0
SSC70059,246,16,7,3,0,0,0,275
SSC70060,0,0,0,0,0,0,0,0
SSC70061,37,7,4,4,0,0,0,44
SSC70062,28,0,3,0,0,0,0,34
SSC70063,0,0,0,0,0,0,0,0
SSC70064,5,0,0,0,0,0,0,10
SSC70065,113,10,7,3,3,0,0,140
SSC70066,0,0,0,0,0,0,0,0
SSC70067,0,0,0,0,0,0,0,0
SSC70068,3,0,0,0,0,0,0,3
SSC70069,18,4,0,3,0,0,3,30
SSC70070,0,0,0,0,0,0,0,0
SSC70071,9,0,0,0,0,0,0,9
SSC70072,0,0,0,0,0,0,0,0
SSC70073,299,30,6,4,0,0,0,335
SSC70074,58,3,7,0,0,0,0,68
SSC70075,0,0,0,0,0,0,0,0
SSC70076,11,3,0,0,0,0,0,14
SSC70077,3,0,0,0,0,0,0,3
SSC70078,141,10,11,0,0,0,0,163
SSC70079,13,0,0,0,0,0,0,13
SSC70080,273,45,22,3,0,0,0,344
SSC70081,3,0,0,0,0,0,0,4
SSC70082,3,0,0,0,0,0,0,3
SSC70083,4,0,0,0,0,0,0,4
SSC70084,437,44,31,3,0,0,0,512
SSC70085,0,0,0,0,0,0,0,0
SSC70086,55,0,3,14,0,0,0,83
SSC70087,0,0,0,0,0,0,0,0
SSC70088,240,24,12,0,0,0,3,285
SSC70089,9,0,0,0,0,0,0,7
SSC70090,8,0,0,0,0,0,0,8
SSC70091,22,0,3,3,0,0,3,34
SSC70092,0,0,0,0,0,0,0,0
SSC70093,3,0,0,0,0,0,0,3
SSC70094,13,3,0,3,0,0,0,29
SSC70095,13,0,0,0,0,0,0,13
SSC70096,3,0,0,0,0,0,0,9
