SSC_CODE_2016,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
SSC70001,0,0,3,0,0,0,0,4,4,0,0,0,4,3,4,4,4,3,3,3,8,4,6,13,12,3,17,9,4,13,15,4,19,9,0,7,16,3,22,18,0,18,22,0,25,6,0,10,23,0,23,20,0,19,3,0,3,175,36,213
SSC70002,0,3,0,0,0,0,0,3,3,0,3,3,7,12,17,4,4,4,8,0,7,8,0,10,5,3,9,12,0,13,3,0,3,3,0,5,7,5,14,5,0,6,3,0,3,0,0,3,0,0,3,8,3,10,0,6,3,74,51,121
SSC70003,6,7,13,3,0,3,0,0,6,3,12,21,5,7,15,4,5,17,28,13,38,22,8,29,24,8,31,35,12,48,28,14,42,22,11,31,70,18,87,44,3,50,35,0,35,29,3,30,67,3,70,71,13,83,7,8,15,508,152,656
SSC70004,0,0,0,3,0,0,0,3,9,0,0,0,3,3,5,4,0,4,0,0,3,4,3,6,11,0,11,4,3,7,6,0,7,3,0,0,4,0,7,0,0,0,3,0,3,0,0,0,0,0,0,14,0,14,0,0,0,61,17,81
SSC70005,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,4,4,0,3,3,0,8,6,0,6,3,3,3,4,0,5,9,3,3,10,4,0,4,0,0,0,3,0,3,0,0,3,0,0,0,0,0,0,14,51,68
SSC70006,0,0,0,0,0,0,4,0,3,0,0,0,10,0,10,5,3,7,7,0,7,5,0,5,10,0,10,5,3,12,3,0,4,4,0,4,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0,12,0,14,7,0,7,67,14,82
SSC70007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,9,10,0,8,8,3,5,3,10,11,13,23,14,32,16,0,23,35,0,38,19,8,28,62,0,62,19,0,19,3,3,4,193,60,248
SSC70008,0,0,0,4,0,6,3,6,6,0,3,5,0,3,3,4,0,4,10,0,10,4,0,4,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,39,8,49
SSC70009,0,0,0,0,0,0,3,0,3,0,0,0,5,0,5,0,0,0,7,0,7,5,0,5,0,0,0,3,3,8,5,0,5,0,0,8,4,0,7,0,0,4,0,0,0,0,0,0,0,0,0,11,0,11,0,0,0,48,8,61
SSC70010,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,3,0,3,0,0,0,3,0,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,13,7,28
SSC70011,0,0,0,0,0,0,3,7,4,0,0,0,3,4,7,3,0,3,6,0,6,11,0,11,8,0,8,5,0,5,4,0,4,0,4,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,10,0,10,91,3,94,150,7,161
SSC70012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,11,13,0,13
SSC70013,0,0,0,0,0,0,3,0,6,0,0,0,11,0,13,4,0,5,4,3,12,11,0,11,11,0,14,10,0,11,3,0,3,5,0,5,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,96,9,103
SSC70014,0,3,5,0,0,0,4,3,6,4,3,10,9,12,17,13,8,22,9,13,23,21,4,24,16,21,37,34,15,52,30,8,41,41,9,51,92,22,112,71,6,72,52,0,55,54,7,59,83,3,82,66,3,74,4,4,7,591,143,741
SSC70015,0,3,4,0,3,3,4,9,16,3,11,14,5,11,17,12,15,23,8,8,23,12,19,30,30,22,49,26,17,49,35,24,61,40,20,64,111,23,131,87,7,94,52,4,53,41,7,57,93,5,105,78,11,83,0,9,17,650,239,885
SSC70016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70017,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,0,0,0,31,0,30
SSC70018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70019,0,0,0,0,0,0,3,3,8,0,3,3,11,0,12,0,0,3,4,0,6,3,0,6,5,0,5,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,3,5,8,41,18,55
SSC70020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,3,3,3,8,4,0,4,3,0,4,10,6,8,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,31,14,48
