SSC_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
SSC70001,42,0,0,3,0,44,118,0,0,12,0,126,3,0,0,0,0,3,0,0,0,0,0,0,20,0,0,4,0,26,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,3,28,0,0,5,0,37,0,0,0,0,0,0,0,0,0,0,0,3,186,0,0,22,0,213
SSC70002,31,3,0,13,0,46,16,0,0,0,0,20,0,0,0,0,0,6,6,0,0,0,0,9,18,3,0,0,0,19,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,36,7,0,0,0,45,0,0,0,0,0,0,3,0,0,6,4,10,93,11,0,20,4,121
SSC70003,152,3,3,0,0,155,247,4,8,0,0,259,54,8,21,0,0,83,39,0,4,0,0,47,47,7,21,4,0,77,0,0,0,0,0,0,5,0,4,0,0,11,3,0,0,0,0,4,154,13,52,3,0,220,3,0,0,0,0,3,19,0,0,0,3,22,568,17,65,4,6,656
SSC70004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,53,0,0,0,0,0,0,12,0,0,0,0,12,7,0,0,0,0,7,3,0,0,0,0,3,72,0,0,0,0,78,0,0,0,0,0,0,5,0,0,0,0,5,80,0,0,0,0,81
SSC70005,0,0,0,0,0,0,0,0,3,0,0,10,0,9,23,0,7,36,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,20,0,9,48,0,0,0,0,0,0,0,0,0,0,12,17,3,11,29,3,19,68
SSC70006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,48,0,0,0,0,0,0,14,0,0,0,0,14,12,0,0,0,0,12,0,0,0,0,0,0,77,0,0,0,0,76,0,0,0,0,0,0,6,0,0,0,0,6,83,0,0,0,0,82
SSC70007,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,10,0,0,0,0,0,0,4,0,0,0,0,4,178,10,19,0,0,211,10,0,3,0,0,14,202,13,24,0,0,240,3,0,0,0,0,3,5,0,0,0,0,10,210,14,22,0,0,248
SSC70008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,43,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,49
SSC70009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5,3,0,0,0,0,3,47,0,0,0,0,51,3,0,0,0,0,4,3,0,0,3,0,7,55,0,0,7,0,61
SSC70010,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,8,0,0,0,0,8,19,0,0,0,0,19,3,0,0,0,0,3,0,0,0,0,0,0,25,0,0,4,0,28
SSC70011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,16,0,0,0,136,0,0,0,0,0,0,7,0,0,0,0,9,9,0,0,0,0,9,0,0,0,0,0,0,142,20,0,0,0,156,0,0,0,0,0,0,3,0,0,0,0,3,138,22,0,0,0,161
SSC70012,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13
SSC70013,3,0,0,3,0,11,3,0,0,0,0,6,0,0,0,0,0,0,50,15,0,0,0,69,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,5,3,0,0,0,11,60,14,0,0,0,79,5,0,0,0,0,4,3,0,0,3,0,3,80,19,0,7,0,103
SSC70014,178,0,0,0,0,180,331,8,0,0,0,338,83,3,3,0,0,82,56,0,0,0,0,56,48,3,3,0,0,57,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,193,5,6,0,0,201,0,0,0,0,0,0,16,0,0,0,0,16,719,9,9,0,0,741
SSC70015,131,16,0,21,0,164,263,49,5,0,0,325,99,81,3,0,0,181,33,20,0,0,0,49,44,24,0,0,0,73,4,0,0,0,0,4,41,17,0,10,0,62,6,0,0,0,0,6,234,135,3,6,0,381,3,4,0,0,0,5,13,6,0,0,0,15,641,211,3,33,0,885
SSC70016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,29,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,30
SSC70018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70019,0,0,0,6,0,10,0,0,0,0,0,3,0,0,0,0,0,0,19,0,0,0,0,17,0,0,0,0,0,0,12,0,0,0,0,12,0,0,0,7,0,7,0,0,0,0,0,0,33,0,0,7,0,40,0,0,0,0,0,3,5,0,0,0,0,5,39,3,0,17,0,55
SSC70020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,10,7,0,0,0,0,8,41,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,3,0,48
SSC70021,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,20,3,0,0,0,0,3,8,0,0,0,0,8,3,0,0,0,0,3,0,0,0,0,0,0,34,0,0,0,0,34,4,0,0,0,0,4,0,0,0,0,0,0,39,0,0,0,0,42
SSC70022,51,15,22,0,0,92,348,38,119,0,0,510,114,47,128,0,0,286,0,17,21,0,0,33,68,10,47,0,0,125,0,0,0,0,0,0,3,0,3,0,0,8,0,0,3,0,0,3,182,76,203,0,0,462,0,3,0,0,0,6,20,3,12,0,0,35,603,131,361,0,0,1095
