SSC_CODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
SSC70001,156,0,0,13,0,172,26,0,0,7,0,37,0,0,0,0,0,0,186,0,0,22,0,213
SSC70002,64,8,0,8,3,73,26,4,0,8,0,32,4,0,0,6,4,16,93,11,0,20,4,121
SSC70003,487,12,51,3,0,557,66,7,7,0,0,78,18,0,0,0,3,22,568,17,65,4,6,656
SSC70004,33,0,0,0,0,33,40,0,0,0,0,42,5,0,0,0,0,5,80,0,0,0,0,81
SSC70005,3,5,24,0,9,44,0,4,3,0,0,12,0,0,3,0,10,14,3,11,29,3,19,68
SSC70006,20,0,0,0,0,27,51,0,0,0,0,51,3,0,0,0,0,3,83,0,0,0,0,82
SSC70007,193,6,13,0,0,217,16,3,10,0,0,30,3,0,0,0,0,6,210,14,22,0,0,248
SSC70008,30,0,0,0,0,33,11,0,0,0,0,16,0,0,0,0,0,0,48,0,0,0,0,49
SSC70009,31,0,0,0,0,35,24,0,0,0,0,23,3,0,0,3,0,7,55,0,0,7,0,61
SSC70010,10,0,0,0,0,10,17,0,0,0,0,17,0,0,0,0,0,0,25,0,0,4,0,28
SSC70011,52,3,0,0,0,52,83,17,0,0,0,98,6,0,0,0,0,6,138,22,0,0,0,161
SSC70012,3,0,0,0,0,3,10,0,0,0,0,10,0,0,0,0,0,0,13,0,0,0,0,13
SSC70013,13,0,0,3,0,12,67,14,0,0,0,83,3,0,0,3,0,9,80,19,0,7,0,103
SSC70014,641,8,7,0,0,652,58,3,0,0,0,65,19,0,0,0,0,19,719,9,9,0,0,741
SSC70015,572,172,3,15,0,765,58,35,3,14,0,108,10,7,0,0,0,21,641,211,3,33,0,885
SSC70016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70017,3,0,0,0,0,3,26,0,0,0,0,26,0,0,0,0,0,0,33,0,0,0,0,30
SSC70018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70019,9,0,0,14,0,25,25,0,0,3,0,28,9,0,0,0,0,9,39,3,0,17,0,55
SSC70020,19,0,0,3,0,23,26,0,0,0,0,26,0,0,0,0,0,3,39,0,0,3,0,48
SSC70021,7,0,0,0,0,11,28,0,0,0,0,28,0,0,0,0,0,0,39,0,0,0,0,42
SSC70022,535,113,287,0,0,934,46,20,62,0,0,130,23,5,14,0,0,37,603,131,361,0,0,1095
SSC70023,35,0,0,0,0,41,33,0,0,0,0,33,3,0,0,0,0,7,73,0,0,0,0,71
SSC70024,88,0,3,3,6,104,45,3,10,4,4,63,3,0,4,3,0,8,142,7,15,7,7,177
SSC70025,207,65,229,8,3,510,7,11,7,0,0,25,4,9,8,0,0,14,217,83,242,12,3,554
SSC70026,236,0,0,10,4,251,31,0,0,0,0,26,5,0,0,0,0,11,271,0,0,13,4,287
SSC70027,496,70,84,0,0,650,37,18,23,0,0,74,17,3,3,0,0,26,554,92,106,0,0,748
SSC70028,3,0,0,0,0,3,25,5,0,0,0,27,3,0,0,0,0,3,30,5,0,0,0,38
SSC70029,15,71,3,24,9,124,9,24,0,3,0,34,4,3,0,3,4,14,29,100,4,26,12,173
