SSC_CODE_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
SSC70001,37,2200,914,355,2144,1.2,2024,2.8
SSC70002,47,1300,527,200,1174,1,1017,2.4
SSC70003,36,2058,831,380,2038,0.9,1937,2.9
SSC70004,24,0,254,64,530,1.5,1062,4.5
SSC70005,43,1385,795,300,2125,1,1375,1.4
SSC70006,25,0,253,64,553,1.4,1031,4.8
SSC70007,33,0,1729,80,3446,1,3207,2.8
SSC70008,28,0,180,50,450,1.4,575,4.4
SSC70009,22,0,235,25,475,1.7,1410,5.2
SSC70010,28,0,388,13,1312,1,1124,2.7
SSC70011,25,0,333,60,793,1.7,974,4.9
SSC70012,26,0,660,60,1312,1.4,1312,3.4
SSC70013,33,174,295,60,819,1.4,974,3.8
SSC70014,34,2167,1022,485,2359,0.9,2214,2.9
SSC70015,34,2167,1097,380,2423,0.9,2173,2.7
SSC70016,0,0,0,0,0,0,0,0
SSC70017,29,0,237,50,492,1.7,1531,5.2
SSC70018,36,0,900,0,0,0,0,0
SSC70019,35,0,258,67,490,1.2,550,3.3
SSC70020,26,0,404,25,1107,1.3,1781,4
SSC70021,27,0,368,50,833,1.2,833,3.4
SSC70022,31,1888,1057,420,2248,0.9,2029,2.6
SSC70023,26,0,248,90,550,1.9,890,4
SSC70024,40,1395,606,148,1375,0.9,1125,2.3
SSC70025,32,2817,1379,600,3267,0.8,3071,2.8
SSC70026,41,2400,1001,330,2307,0.9,2059,2.8
SSC70027,27,2817,1089,410,2451,0.9,2282,3.1
SSC70028,30,0,261,70,745,1.4,850,3.8
SSC70029,32,2317,669,320,1553,1.1,1317,2.2
SSC70030,35,2167,1068,400,2430,1.1,2169,2.9
SSC70031,24,0,237,120,509,2.1,1070,5.2
SSC70032,22,0,0,0,0,0,0,1
SSC70033,27,0,202,70,454,2,537,5.1
SSC70034,34,0,843,0,1906,1.2,1781,2.3
SSC70035,0,0,0,0,0,0,0,0
SSC70036,32,2458,687,0,1624,0.6,1458,2.7
SSC70037,26,0,424,33,1050,1.6,1289,3.5
SSC70038,27,0,253,20,462,0.8,537,3.1
SSC70039,35,1950,987,400,2267,0.9,1938,2.7
SSC70040,31,1999,917,400,2469,0.9,2202,2.6
SSC70041,24,0,963,0,2125,0.9,1958,3.1
SSC70042,0,0,0,0,0,0,0,0
SSC70043,28,0,243,120,687,1.7,1166,4.9
SSC70044,44,0,374,0,725,0,724,2
SSC70045,21,0,247,30,487,1.2,824,3
SSC70046,54,740,377,0,1375,1,668,1.7
SSC70047,0,0,0,0,0,0,0,0
