SSC_CODE_2016,Age_yr_55_P,Age_yr_56_M,Age_yr_56_F,Age_yr_56_P,Age_yr_57_M,Age_yr_57_F,Age_yr_57_P,Age_yr_58_M,Age_yr_58_F,Age_yr_58_P,Age_yr_59_M,Age_yr_59_F,Age_yr_59_P,Age_yr_55_59_M,Age_yr_55_59_F,Age_yr_55_59_P,Age_yr_60_M,Age_yr_60_F,Age_yr_60_P,Age_yr_61_M,Age_yr_61_F,Age_yr_61_P,Age_yr_62_M,Age_yr_62_F,Age_yr_62_P,Age_yr_63_M,Age_yr_63_F,Age_yr_63_P,Age_yr_64_M,Age_yr_64_F,Age_yr_64_P,Age_yr_60_64_M,Age_yr_60_64_F,Age_yr_60_64_P,Age_yr_65_M,Age_yr_65_F,Age_yr_65_P,Age_yr_66_M,Age_yr_66_F,Age_yr_66_P,Age_yr_67_M,Age_yr_67_F,Age_yr_67_P,Age_yr_68_M,Age_yr_68_F,Age_yr_68_P,Age_yr_69_M,Age_yr_69_F,Age_yr_69_P,Age_yr_65_69_M,Age_yr_65_69_F,Age_yr_65_69_P,Age_yr_70_M,Age_yr_70_F,Age_yr_70_P,Age_yr_71_M,Age_yr_71_F,Age_yr_71_P,Age_yr_72_M,Age_yr_72_F,Age_yr_72_P,Age_yr_73_M,Age_yr_73_F,Age_yr_73_P,Age_yr_74_M,Age_yr_74_F,Age_yr_74_P,Age_yr_70_74_M,Age_yr_70_74_F,Age_yr_70_74_P,Age_yr_75_M,Age_yr_75_F,Age_yr_75_P,Age_yr_76_M,Age_yr_76_F,Age_yr_76_P,Age_yr_77_M,Age_yr_77_F,Age_yr_77_P,Age_yr_78_M,Age_yr_78_F,Age_yr_78_P,Age_yr_79_M,Age_yr_79_F,Age_yr_79_P,Age_yr_75_79_M,Age_yr_75_79_F,Age_yr_75_79_P,Age_yr_80_84_M,Age_yr_80_84_F,Age_yr_80_84_P,Age_yr_85_89_M,Age_yr_85_89_F,Age_yr_85_89_P,Age_yr_90_94_M,Age_yr_90_94_F,Age_yr_90_94_P,Age_yr_95_99_M,Age_yr_95_99_F,Age_yr_95_99_P,Age_yr_100_yr_over_M,Age_yr_100_yr_over_F,Age_yr_100_yr_over_P,Tot_M,Tot_F,Tot_P
SSC70001,20,3,3,6,6,4,11,6,3,9,3,10,13,30,28,59,5,4,6,7,8,12,5,3,11,3,3,4,3,0,4,21,21,38,0,3,7,0,4,3,4,0,4,8,4,9,3,0,3,21,9,25,0,3,4,5,0,3,0,5,5,0,0,0,0,0,0,5,6,12,0,0,0,3,0,3,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367,328,694
SSC70002,4,0,3,3,4,4,3,0,3,3,7,0,12,16,7,26,5,4,10,0,6,8,0,0,3,4,0,4,0,0,0,17,12,29,6,4,7,4,0,4,3,0,3,3,4,8,3,5,6,16,8,32,3,0,8,7,0,7,3,0,3,0,3,3,3,0,3,16,4,25,6,0,3,0,3,3,3,0,3,3,0,3,0,0,0,5,3,12,3,4,4,0,3,3,0,3,3,0,0,0,0,0,0,183,174,353
SSC70003,20,7,11,21,14,13,26,12,5,15,9,13,24,58,49,105,3,10,16,3,15,21,4,10,14,10,11,25,15,14,28,41,61,106,12,9,21,11,13,22,14,10,22,13,5,17,10,9,23,63,53,109,11,9,21,7,9,13,11,3,14,10,10,16,3,6,11,44,31,75,3,4,11,6,10,13,4,7,3,3,3,10,6,3,9,18,24,37,4,11,14,4,3,10,0,4,3,0,0,0,0,0,0,1067,1061,2127
SSC70004,3,0,0,0,0,0,0,3,0,3,0,0,0,4,3,15,4,0,3,0,3,3,0,0,0,3,0,4,0,0,0,3,7,16,0,3,3,0,3,3,3,0,3,0,0,0,0,6,6,3,13,12,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,4,0,0,3,0,0,0,0,0,0,247,243,494
SSC70005,4,3,0,3,3,4,10,0,0,0,0,0,3,15,7,24,3,0,3,8,3,10,0,0,0,0,0,0,4,3,11,15,8,19,0,3,3,0,3,3,3,0,3,0,0,0,0,0,0,3,5,10,0,0,0,0,0,5,0,3,3,0,0,0,0,0,3,5,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,154,141,300
SSC70006,3,0,3,3,3,0,3,3,0,5,0,0,4,10,4,17,0,4,7,0,0,0,3,3,7,0,0,3,0,0,0,5,10,16,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,208,420
SSC70007,11,7,5,14,4,3,9,3,0,4,10,3,12,30,13,48,0,0,3,7,3,9,6,3,8,4,3,5,0,3,3,15,8,22,0,3,3,4,0,6,3,0,3,0,3,3,0,0,0,5,5,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,496,381,873
SSC70008,0,0,0,0,3,3,4,0,0,0,0,0,0,3,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,101,138,239
SSC70009,0,0,0,0,0,0,0,3,0,3,0,0,0,4,3,7,3,3,3,0,0,0,0,0,0,0,0,0,0,3,3,0,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,211,209,418
SSC70010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,54,111
