SSC_CODE_2016,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_Married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_Married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_Married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_Married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_Married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_Married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_Married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_Married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_Married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_Married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_Married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_Married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_Married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_Married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_Married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_Married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_Married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_Married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_Married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_Married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_Married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_Married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_Married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_Married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_Married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_Married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_Married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_Married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_Married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_Married,P_Tot_Tot
SSC70001,0,0,0,0,24,24,0,0,0,0,15,15,13,0,0,0,34,49,37,0,3,0,26,67,31,0,5,0,19,60,33,3,8,0,8,49,11,0,5,3,3,22,3,0,0,0,0,3,0,0,0,0,0,0,121,8,30,3,129,291,0,0,0,0,16,16,0,0,0,0,18,19,17,0,0,0,22,45,29,3,3,0,20,52,34,4,14,0,12,69,26,7,8,4,0,48,11,0,0,3,0,19,0,0,0,4,0,3,0,0,0,0,0,0,124,11,31,11,88,255,0,0,0,0,38,38,0,0,0,0,27,27,35,0,0,0,53,92,65,3,6,0,49,118,67,4,22,0,30,127,54,8,21,3,13,97,16,0,6,3,4,43,3,0,0,4,0,6,0,0,0,0,0,0,246,13,60,15,215,549
SSC70002,0,0,0,0,3,3,0,0,0,0,7,13,4,0,0,0,12,15,3,0,0,0,5,15,11,5,7,0,3,28,14,3,3,5,6,31,13,3,11,0,3,37,3,0,7,4,0,8,0,0,0,0,0,0,50,8,27,11,48,145,0,0,0,0,9,9,0,0,0,0,9,15,3,4,0,0,13,18,3,0,0,0,7,11,21,3,0,0,10,35,8,3,3,0,3,20,5,0,0,5,5,15,0,0,0,3,0,7,0,0,3,3,0,3,46,14,14,10,59,138,0,0,0,0,7,7,0,0,0,0,24,20,8,4,0,0,29,32,9,3,3,0,15,23,33,8,9,0,12,65,28,3,7,5,15,54,21,3,13,6,7,55,3,0,6,3,0,13,0,0,3,3,0,5,99,20,42,17,108,279
SSC70003,0,0,0,0,73,73,6,3,0,0,43,56,60,3,0,0,112,175,101,5,7,0,64,175,75,9,15,0,52,147,58,3,17,0,15,96,71,3,16,6,7,100,20,3,0,4,0,24,5,0,0,0,0,9,386,27,59,7,367,853,0,0,0,0,42,42,17,0,0,0,67,83,80,0,3,0,93,180,83,9,12,0,64,173,71,6,13,10,42,150,61,3,26,8,13,112,45,0,14,13,4,84,10,0,3,17,0,32,0,0,0,3,0,5,377,26,70,55,331,863,0,0,0,0,117,117,18,3,0,0,110,134,137,8,5,0,203,353,182,16,22,0,129,347,142,14,32,10,98,296,119,5,46,8,31,207,113,5,35,18,7,181,29,4,3,19,0,54,7,0,0,4,0,13,755,53,134,67,700,1709
SSC70004,4,0,0,0,26,25,14,0,0,0,9,21,24,4,0,0,17,45,10,0,3,0,7,22,15,0,3,0,5,23,6,0,0,0,3,11,4,0,0,0,0,6,3,0,0,0,0,3,0,0,0,0,3,3,82,8,6,0,69,164,7,0,0,0,13,19,10,0,0,0,19,27,20,9,0,0,15,36,18,3,0,0,12,38,16,3,0,4,4,25,9,0,0,3,3,14,3,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,79,16,11,9,64,175,11,0,0,0,31,43,23,0,0,0,28,50,42,8,0,0,27,88,30,6,3,0,14,52,32,0,5,4,13,55,9,0,0,3,3,28,8,0,0,3,0,15,3,0,0,0,0,0,0,0,0,0,3,5,164,25,17,9,132,343
SSC70005,0,0,0,0,3,3,0,0,0,0,4,4,4,3,0,0,21,29,9,5,0,0,8,25,10,3,0,0,25,35,6,7,8,3,11,28,3,0,3,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,39,13,11,3,81,149,0,0,0,0,6,6,0,0,0,0,6,11,5,10,0,0,12,31,11,0,0,0,16,30,7,3,9,0,11,26,10,3,3,4,0,17,3,0,0,3,4,13,0,0,0,0,3,4,0,0,0,0,0,0,41,20,7,9,59,132,0,0,0,0,11,11,0,0,0,0,12,14,11,11,0,0,41,66,18,8,0,0,24,58,16,9,10,0,30,66,18,11,5,4,11,44,11,0,3,3,5,23,0,0,0,0,3,3,0,0,0,0,0,0,73,35,21,11,140,277
SSC70006,0,0,0,0,10,10,7,0,0,0,20,29,16,0,0,0,31,46,6,0,3,0,10,22,10,0,0,0,8,22,6,3,0,0,6,19,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,54,4,3,8,83,154,0,0,0,0,13,21,5,0,0,0,7,17,15,3,0,0,20,39,7,0,0,0,14,22,11,0,0,0,11,29,7,0,0,0,8,12,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,53,0,7,3,72,144,0,0,0,0,26,33,12,0,0,0,28,44,38,3,0,0,48,91,16,0,4,3,26,41,27,0,3,0,18,47,11,3,0,3,9,33,3,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,109,3,6,8,163,294
SSC70007,0,0,0,0,8,8,3,0,0,0,27,25,34,3,0,0,49,83,66,3,3,0,27,104,47,4,9,0,19,77,25,4,7,0,5,49,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,187,13,20,0,135,358,0,0,0,0,11,9,0,0,0,0,15,14,44,3,0,0,43,83,56,5,0,0,22,80,26,0,3,0,9,45,17,4,5,0,3,24,4,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,145,16,11,5,96,270,0,0,0,0,19,21,3,0,0,0,39,36,74,5,3,0,87,168,123,11,3,0,54,188,81,4,14,0,28,125,39,11,17,0,9,74,11,0,0,3,0,18,0,0,0,0,0,3,0,0,0,0,0,0,332,27,35,5,234,629
SSC70008,0,0,0,0,8,11,6,0,0,0,9,11,12,0,0,0,10,18,3,0,0,0,0,9,7,0,3,0,6,16,3,0,0,0,0,5,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,33,5,3,0,36,73,4,0,0,0,6,9,9,3,0,0,11,14,7,0,0,0,6,11,11,3,0,0,5,22,9,4,0,0,20,29,0,0,0,0,3,9,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,41,8,3,5,51,112,5,0,0,0,14,19,10,3,0,0,19,29,12,0,0,0,16,36,15,9,0,0,11,27,21,4,3,0,22,51,4,0,0,3,3,15,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,3,0,3,72,12,3,9,89,178
SSC70009,0,0,0,0,15,17,7,3,0,0,9,23,18,0,0,0,9,29,19,0,3,0,0,21,21,3,3,4,0,30,4,0,0,0,0,8,5,0,0,3,0,6,0,0,0,0,0,3,0,0,0,0,0,0,73,11,7,8,40,138,3,3,0,0,19,25,12,3,0,0,18,28,16,3,0,0,12,29,11,3,0,4,3,25,8,3,0,0,3,16,8,4,0,0,0,13,3,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,65,16,0,5,50,141,8,3,0,0,37,39,24,5,0,0,24,54,34,4,0,0,20,58,29,7,3,4,5,45,28,4,3,3,3,48,10,4,0,0,0,18,6,0,0,3,0,9,0,0,0,5,0,5,0,0,0,0,0,0,136,29,9,18,92,276
SSC70010,0,0,0,0,8,8,0,0,0,0,4,4,5,0,0,0,15,16,7,0,0,0,3,9,0,0,0,0,0,7,3,0,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,4,0,29,46,0,0,0,0,4,4,3,0,0,0,8,8,0,0,0,0,4,7,7,0,0,0,0,9,4,0,0,0,0,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,3,18,39,0,0,0,0,13,13,3,0,0,0,11,11,7,0,0,0,18,27,11,0,0,0,4,10,7,0,0,0,0,11,5,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,7,3,43,88
SSC70011,7,0,0,0,50,61,21,0,0,0,22,42,43,0,0,0,20,59,41,0,4,0,15,57,27,0,0,0,9,43,14,0,0,5,5,25,4,0,0,5,0,12,0,0,0,0,0,0,0,0,0,0,0,0,154,0,4,10,115,290,15,0,0,0,55,71,21,0,0,0,14,41,44,0,3,3,32,78,43,3,0,3,17,65,24,0,4,11,11,56,8,0,5,6,10,31,3,0,0,6,0,6,0,0,0,3,0,6,0,0,0,0,0,0,162,7,16,31,137,350,20,0,0,0,108,131,44,0,0,0,36,81,81,3,3,5,44,141,81,3,5,3,31,118,53,0,7,10,26,98,22,0,5,10,15,54,7,0,0,11,0,15,0,0,0,7,0,4,0,0,0,0,0,0,314,4,18,49,256,645
SSC70012,0,0,0,0,3,3,0,0,0,0,5,5,8,0,0,3,6,21,3,0,3,0,0,3,4,3,0,0,0,3,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3,0,3,11,42,0,0,0,0,0,3,0,0,0,0,0,3,7,0,0,0,4,18,0,0,0,0,3,5,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,3,16,35,3,0,0,0,3,6,0,0,0,0,4,6,20,0,0,3,14,38,3,0,3,0,3,10,10,3,0,0,0,9,3,0,0,3,0,4,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,37,3,0,7,30,82
SSC70013,3,0,0,0,14,16,3,0,0,0,4,14,22,0,0,0,8,34,26,0,0,0,6,38,19,0,0,0,5,29,5,3,3,0,0,13,12,0,3,0,3,18,5,0,0,0,3,3,0,0,0,0,0,0,96,4,7,3,51,162,4,0,0,0,8,20,8,0,0,0,6,14,20,0,0,0,17,37,25,0,0,0,7,40,23,0,3,3,7,33,7,0,0,5,7,25,8,0,0,5,3,10,3,0,0,3,0,9,0,0,0,3,0,3,103,5,8,18,54,197,6,0,0,0,23,30,14,0,0,0,11,27,48,0,0,0,25,69,56,3,0,0,13,76,43,0,3,3,12,64,14,3,3,5,10,40,12,0,3,7,3,30,7,0,0,3,4,12,0,0,0,5,0,3,203,8,11,25,103,354
SSC70014,0,0,0,0,69,69,0,0,0,0,73,76,49,3,3,0,107,164,97,0,14,0,54,164,81,14,19,0,41,159,92,9,19,8,27,145,66,0,13,5,5,85,13,0,0,6,0,24,4,0,0,0,0,3,405,26,70,19,377,896,0,0,0,0,71,71,3,0,0,0,74,76,74,4,0,0,84,167,102,6,15,0,57,184,89,7,25,6,34,161,81,10,23,7,19,144,38,0,12,12,5,68,14,0,0,13,0,22,0,0,0,0,0,0,405,30,78,45,350,902,0,0,0,0,142,142,3,0,0,0,143,147,127,7,4,0,194,336,201,10,27,0,109,350,172,19,43,11,84,325,173,19,41,15,43,290,95,3,28,18,11,155,28,0,0,21,0,45,4,0,0,4,0,4,803,58,147,66,728,1799
SSC70015,0,0,0,0,95,91,4,0,0,0,71,79,64,4,3,3,113,185,125,3,11,0,44,184,127,9,18,0,33,196,114,3,23,5,31,171,38,0,16,3,5,54,18,0,6,0,0,24,0,0,0,3,0,3,492,19,68,16,395,991,0,0,0,0,64,69,4,0,0,0,63,68,103,6,3,0,105,223,136,12,14,0,50,214,129,13,27,12,31,211,96,7,24,6,15,164,28,0,12,18,6,65,8,5,3,4,0,18,0,0,0,6,0,7,511,46,95,47,343,1041,0,0,0,0,159,163,5,0,0,0,137,141,172,13,9,3,224,407,254,21,29,0,102,404,259,19,45,9,69,409,213,11,50,12,46,329,65,0,26,16,11,118,24,5,9,9,3,49,0,0,0,7,0,11,999,65,165,65,743,2028
SSC70016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
