SSC_CODE_2016,M_Y12e_15_19,M_Y12e_20_24,M_Y12e_25_34,M_Y12e_35_44,M_Y12e_45_54,M_Y12e_55_64,M_Y12e_65_74,M_Y12e_75_84,M_Y12e_85ov,M_Y12e_Tot,M_Y11e_15_19,M_Y11e_20_24,M_Y11e_25_34,M_Y11e_35_44,M_Y11e_45_54,M_Y11e_55_64,M_Y11e_65_74,M_Y11e_75_84,M_Y11e_85ov,M_Y11e_Tot,M_Y10e_15_19,M_Y10e_20_24,M_Y10e_25_34,M_Y10e_35_44,M_Y10e_45_54,M_Y10e_55_64,M_Y10e_65_74,M_Y10e_75_84,M_Y10e_85ov,M_Y10e_Tot,M_Y9e_15_19,M_Y9e_20_24,M_Y9e_25_34,M_Y9e_35_44,M_Y9e_45_54,M_Y9e_55_64,M_Y9e_65_74,M_Y9e_75_84,M_Y9e_85ov,M_Y9e_Tot,M_Y8b_15_19,M_Y8b_20_24,M_Y8b_25_34,M_Y8b_35_44,M_Y8b_45_54,M_Y8b_55_64,M_Y8b_65_74,M_Y8b_75_84,M_Y8b_85ov,M_Y8b_Tot,M_DNGTS_15_19,M_DNGTS_20_24,M_DNGTS_25_34,M_DNGTS_35_44,M_DNGTS_45_54,M_DNGTS_55_64,M_DNGTS_65_74,M_DNGTS_75_84,M_DNGTS_85_ov,M_DNGTS_Tot,M_Hghst_yr_schl_ns_15_19,M_Hghst_yr_schl_ns_20_24,M_Hghst_yr_schl_ns_25_34,M_Hghst_yr_schl_ns_35_44,M_Hghst_yr_schl_ns_45_54,M_Hghst_yr_schl_ns_55_64,M_Hghst_yr_schl_ns_65_74,M_Hghst_yr_schl_ns_75_84,M_Hghst_yr_schl_ns_85_ovr,M_Hghst_yr_schl_ns_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Y12e_15_19,F_Y12e_20_24,F_Y12e_25_34,F_Y12e_35_44,F_Y12e_45_54,F_Y12e_55_64,F_Y12e_65_74,F_Y12e_75_84,F_Y12e_85ov,F_Y12e_Tot,F_Y11e_15_19,F_Y11e_20_24,F_Y11e_25_34,F_Y11e_35_44,F_Y11e_45_54,F_Y11e_55_64,F_Y11e_65_74,F_Y11e_75_84,F_Y11e_85ov,F_Y11e_Tot,F_Y10e_15_19,F_Y10e_20_24,F_Y10e_25_34,F_Y10e_35_44,F_Y10e_45_54,F_Y10e_55_64,F_Y10e_65_74,F_Y10e_75_84,F_Y10e_85ov,F_Y10e_Tot,F_Y9e_15_19,F_Y9e_20_24,F_Y9e_25_34,F_Y9e_35_44,F_Y9e_45_54,F_Y9e_55_64,F_Y9e_65_74,F_Y9e_75_84,F_Y9e_85ov,F_Y9e_Tot,F_Y8b_15_19,F_Y8b_20_24,F_Y8b_25_34,F_Y8b_35_44,F_Y8b_45_54,F_Y8b_55_64,F_Y8b_65_74,F_Y8b_75_84,F_Y8b_85ov,F_Y8b_Tot,F_DNGTS_15_19,F_DNGTS_20_24,F_DNGTS_25_34,F_DNGTS_35_44,F_DNGTS_45_54,F_DNGTS_55_64,F_DNGTS_65_74,F_DNGTS_75_84,F_DNGTS_85_ov,F_DNGTS_Tot,F_Hghst_yr_schl_ns_15_19,F_Hghst_yr_schl_ns_20_24,F_Hghst_yr_schl_ns_25_34,F_Hghst_yr_schl_ns_35_44,F_Hghst_yr_schl_ns_45_54,F_Hghst_yr_schl_ns_55_64,F_Hghst_yr_schl_ns_65_74,F_Hghst_yr_schl_ns_75_84,F_Hghst_yr_schl_ns_85_ovr,F_Hghst_yr_schl_ns_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Y12e_15_19,P_Y12e_20_24,P_Y12e_25_34,P_Y12e_35_44,P_Y12e_45_54,P_Y12e_55_64,P_Y12e_65_74,P_Y12e_75_84,P_Y12e_85ov,P_Y12e_Tot,P_Y11e_15_19,P_Y11e_20_24,P_Y11e_25_34,P_Y11e_35_44,P_Y11e_45_54,P_Y11e_55_64,P_Y11e_65_74,P_Y11e_75_84,P_Y11e_85ov,P_Y11e_Tot,P_Y10e_15_19,P_Y10e_20_24,P_Y10e_25_34,P_Y10e_35_44,P_Y10e_45_54,P_Y10e_55_64,P_Y10e_65_74,P_Y10e_75_84,P_Y10e_85ov,P_Y10e_Tot,P_Y9e_15_19,P_Y9e_20_24,P_Y9e_25_34,P_Y9e_35_44,P_Y9e_45_54,P_Y9e_55_64,P_Y9e_65_74,P_Y9e_75_84,P_Y9e_85ov,P_Y9e_Tot
SSC70001,3,10,13,24,19,10,3,0,0,78,7,0,4,6,3,7,0,0,0,26,0,0,20,21,25,20,12,3,0,98,0,0,8,0,3,4,0,0,0,12,0,0,0,3,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,7,11,8,7,5,0,0,48,9,15,49,67,60,49,22,3,0,280,3,7,27,29,22,11,3,0,0,104,7,0,8,13,6,3,0,0,0,33,0,4,8,5,22,20,9,0,0,65,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,3,6,10,7,3,0,0,36,9,19,45,52,69,48,19,3,0,253,5,15,37,54,38,24,5,3,0,185,7,0,11,18,9,12,0,0,0,60,0,6,24,23,53,36,18,4,0,165,0,0,3,3,4,6,0,0,0,14
SSC70002,0,4,4,4,7,6,3,0,0,41,0,0,6,0,4,3,4,0,0,11,0,6,5,3,3,5,11,0,0,29,0,0,3,0,3,3,4,0,0,11,0,0,0,0,0,7,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,3,4,8,5,10,6,0,29,0,13,15,15,28,31,37,8,0,141,0,4,4,7,14,4,0,0,0,35,0,3,3,0,6,3,0,0,0,18,0,0,5,3,13,7,3,0,0,34,0,0,0,3,0,4,4,0,0,12,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,3,5,0,3,24,3,15,18,11,35,20,15,7,3,136,0,8,8,12,15,14,10,4,0,74,0,3,8,0,8,7,3,0,0,30,0,10,8,10,17,13,15,0,0,66,0,0,3,3,3,7,9,3,0,23
SSC70003,8,29,121,94,70,35,43,8,0,410,4,9,17,17,18,16,16,0,0,95,8,8,12,29,27,23,15,0,3,123,3,0,4,8,3,10,6,3,0,40,0,0,0,0,9,5,14,3,0,38,0,0,0,0,0,5,0,0,0,13,4,0,16,23,14,12,10,3,4,91,33,52,175,174,147,96,100,24,9,808,10,51,132,110,75,55,28,11,3,462,3,11,7,14,21,7,10,3,0,79,6,8,10,16,32,28,18,8,0,112,3,0,7,5,3,4,3,0,4,30,0,0,3,7,6,4,11,7,0,40,0,0,0,0,3,3,0,0,0,7,0,9,20,26,13,8,9,7,0,99,23,76,176,173,150,112,84,35,5,830,22,76,246,201,146,86,74,13,5,868,5,19,24,36,36,29,21,4,0,176,12,18,21,43,53,44,28,11,3,237,4,0,15,20,10,13,11,4,4,76
SSC70004,0,3,5,0,3,3,0,0,0,16,3,0,4,4,0,0,0,0,0,9,5,0,3,0,10,0,0,0,0,24,5,6,0,3,4,0,0,0,0,25,10,8,18,6,8,3,4,0,0,54,0,0,0,0,0,0,0,0,3,3,4,3,15,3,9,0,0,0,0,36,27,21,45,22,23,11,6,3,3,164,0,3,7,4,3,3,0,0,0,20,0,7,3,3,0,0,0,0,0,16,0,4,6,4,6,0,0,0,0,22,0,7,3,6,5,0,0,0,0,19,4,4,15,16,12,8,8,0,0,63,0,0,0,0,0,0,0,0,0,0,4,3,8,3,5,3,0,0,0,29,14,27,36,38,25,14,10,0,0,172,0,6,14,3,5,6,0,0,0,35,3,6,10,6,0,0,0,0,0,31,9,5,10,7,15,0,0,0,0,43,3,14,4,7,6,3,0,0,0,40
SSC70005,0,3,14,10,7,11,3,0,0,47,0,0,0,0,7,0,0,0,0,7,0,0,3,11,4,5,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,0,0,0,7,0,0,0,0,0,0,0,0,0,3,3,0,10,12,15,12,0,0,0,50,5,4,29,25,35,28,9,0,0,146,0,8,14,5,8,5,0,3,0,50,0,0,3,0,4,0,0,0,0,10,0,0,0,0,9,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,4,3,0,0,10,0,0,0,0,0,0,0,0,0,4,0,0,8,11,9,9,5,0,0,50,3,11,31,30,26,17,13,4,0,132,3,8,32,12,15,18,4,3,0,97,0,0,5,3,12,3,0,0,0,16,0,0,3,7,11,5,0,0,0,28,0,0,0,0,0,0,0,0,0,5
SSC70006,0,0,8,0,4,0,0,0,0,13,0,3,0,0,0,0,0,0,0,5,3,0,11,0,4,0,0,0,0,18,0,3,12,4,0,0,0,0,0,18,6,12,15,6,7,14,0,0,0,64,0,3,3,0,6,3,3,0,0,16,0,0,4,0,3,0,0,0,0,14,12,29,46,22,22,19,5,0,0,152,7,0,5,3,3,0,0,0,0,18,0,0,3,0,0,0,0,0,0,6,3,6,5,7,3,0,0,0,0,21,0,4,6,5,3,0,0,0,0,20,7,3,10,8,15,5,0,0,0,52,0,0,0,0,4,0,3,0,0,9,0,3,7,4,3,0,0,0,0,17,17,17,39,22,29,12,3,0,0,140,7,0,11,4,6,0,0,0,0,29,3,5,5,0,0,0,0,0,0,11,9,6,16,4,8,4,0,0,0,42,0,10,16,5,3,0,0,0,0,36
SSC70007,4,5,53,61,32,20,8,0,0,182,4,0,3,14,11,8,0,0,0,38,0,3,6,14,24,12,0,0,0,60,0,0,3,3,5,3,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,11,12,14,12,3,0,0,0,64,10,25,83,104,77,49,5,0,0,358,3,12,69,59,23,14,3,0,0,169,0,3,7,6,9,3,0,0,0,27,0,0,3,9,9,11,0,0,0,32,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,7,8,0,0,0,0,0,26,8,14,83,80,45,24,5,0,0,266,8,19,120,118,49,26,9,3,0,357,4,3,13,20,15,13,0,0,0,66,0,3,13,24,32,22,0,0,0,98,0,0,3,3,5,3,0,0,0,18
SSC70008,0,0,0,0,0,0,0,0,0,4,0,3,0,0,4,0,0,0,0,5,0,0,8,3,3,0,0,0,0,12,0,0,6,3,3,0,0,0,0,13,0,4,7,3,3,3,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,10,3,11,18,9,16,5,3,0,0,66,0,3,0,3,3,0,0,0,0,5,0,0,5,3,5,3,0,0,0,20,3,0,5,4,6,0,0,0,0,26,3,0,0,5,3,0,0,0,0,11,0,3,3,3,8,4,3,0,0,23,0,0,0,0,0,0,0,0,3,5,0,4,0,4,3,3,0,0,0,15,7,14,11,22,29,9,3,0,3,105,0,3,0,3,3,0,0,0,0,13,0,3,3,3,12,3,0,0,0,31,3,0,12,10,10,0,0,0,0,39,3,3,8,7,9,0,0,0,0,27
SSC70009,0,0,13,0,3,0,0,0,0,15,0,0,3,0,3,0,0,0,0,10,4,13,5,7,3,3,0,0,0,41,0,9,3,0,0,0,0,0,0,15,3,9,7,8,0,0,4,0,0,30,0,0,0,0,5,0,7,4,0,18,0,0,0,5,5,0,0,0,0,17,12,23,29,21,30,8,6,3,0,132,0,3,9,4,4,4,0,0,0,24,0,3,3,7,0,0,0,0,0,14,12,12,4,9,4,0,0,0,0,38,4,3,0,0,3,0,0,0,0,12,0,7,10,3,7,4,0,0,0,28,0,0,0,0,5,6,4,3,0,14,0,0,0,0,0,3,0,0,0,8,18,28,29,25,16,13,7,3,0,134,0,8,19,7,8,4,0,0,0,33,0,7,5,7,5,0,0,0,0,16,15,20,11,17,7,3,0,0,0,74,3,7,3,0,5,0,0,0,0,18
SSC70010,0,3,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,7,0,0,6,0,0,3,0,0,0,5,8,4,16,9,7,11,0,0,0,46,0,0,6,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,6,0,0,0,0,5,0,0,0,0,6,0,4,0,0,0,0,0,0,0,3,4,8,7,9,10,3,0,0,0,39,0,3,10,6,0,0,0,0,0,17,0,0,0,0,3,0,0,0,0,4,0,0,3,0,4,0,0,0,0,9,0,0,0,3,0,0,0,0,0,3
