SSC_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SSC70001,0,0,0,3,4,6,3,0,0,18,0,0,0,0,0,0,0,0,0,3,4,5,11,16,21,17,11,0,0,77,21,27,92,118,127,97,43,6,0,526
SSC70002,0,0,0,0,0,3,7,4,0,21,0,0,0,0,0,0,0,0,0,0,0,0,3,6,14,11,14,5,3,55,3,20,32,23,65,54,55,13,5,279
SSC70003,0,0,10,7,13,13,28,7,3,77,0,0,0,0,3,8,3,0,0,17,11,9,37,46,31,21,26,9,4,188,56,133,348,348,296,207,181,57,13,1640
SSC70004,17,12,30,24,18,9,10,3,0,114,0,0,0,0,0,0,4,0,3,3,10,12,19,8,15,3,5,0,0,67,36,50,88,52,55,28,15,0,5,333
SSC70005,0,0,0,4,4,6,3,0,0,20,0,0,3,0,0,0,0,0,0,3,4,3,21,21,26,20,8,0,0,104,4,14,66,58,66,44,23,3,0,274
SSC70006,8,21,24,16,18,20,0,0,0,115,0,3,4,0,6,3,4,0,0,23,0,4,12,3,7,0,0,0,0,33,28,44,91,41,47,33,5,0,0,289
SSC70007,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9,11,22,20,18,3,3,0,0,90,18,36,168,188,125,74,18,3,0,623
SSC70008,0,5,10,3,11,5,3,0,0,43,0,0,0,0,0,0,0,0,3,5,0,14,0,5,3,3,0,0,0,20,9,29,36,27,51,15,6,0,3,176
SSC70009,8,11,11,8,11,0,3,0,0,53,0,0,0,4,7,3,4,4,0,30,0,0,3,7,5,3,0,0,0,20,33,54,58,45,48,18,9,5,0,267
SSC70010,10,0,0,7,3,4,0,0,0,26,0,0,4,0,3,0,0,0,0,12,0,3,4,0,0,3,0,0,0,11,13,11,27,10,11,10,0,0,0,88
