SSC_CODE_2016,M_Neg_Nil_income_15_19_yrs,M_Neg_Nil_income_20_24_yrs,M_Neg_Nil_income_25_34_yrs,M_Neg_Nil_income_35_44_yrs,M_Neg_Nil_income_45_54_yrs,M_Neg_Nil_income_55_64_yrs,M_Neg_Nil_income_65_74_yrs,M_Neg_Nil_income_75_84_yrs,M_Negtve_Nil_incme_85_yrs_ovr,M_Neg_Nil_income_Tot,M_1_149_15_19_yrs,M_1_149_20_24_yrs,M_1_149_25_34_yrs,M_1_149_35_44_yrs,M_1_149_45_54_yrs,M_1_149_55_64_yrs,M_1_149_65_74_yrs,M_1_149_75_84_yrs,M_1_149_85ov,M_1_149_Tot,M_150_299_15_19_yrs,M_150_299_20_24_yrs,M_150_299_25_34_yrs,M_150_299_35_44_yrs,M_150_299_45_54_yrs,M_150_299_55_64_yrs,M_150_299_65_74_yrs,M_150_299_75_84_yrs,M_150_299_85ov,M_150_299_Tot,M_300_399_15_19_yrs,M_300_399_20_24_yrs,M_300_399_25_34_yrs,M_300_399_35_44_yrs,M_300_399_45_54_yrs,M_300_399_55_64_yrs,M_300_399_65_74_yrs,M_300_399_75_84_yrs,M_300_399_85ov,M_300_399_Tot,M_400_499_15_19_yrs,M_400_499_20_24_yrs,M_400_499_25_34_yrs,M_400_499_35_44_yrs,M_400_499_45_54_yrs,M_400_499_55_64_yrs,M_400_499_65_74_yrs,M_400_499_75_84_yrs,M_400_499_85ov,M_400_499_Tot,M_500_649_15_19_yrs,M_500_649_20_24_yrs,M_500_649_25_34_yrs,M_500_649_35_44_yrs,M_500_649_45_54_yrs,M_500_649_55_64_yrs,M_500_649_65_74_yrs,M_500_649_75_84_yrs,M_500_649_85ov,M_500_649_Tot,M_650_799_15_19_yrs,M_650_799_20_24_yrs,M_650_799_25_34_yrs,M_650_799_35_44_yrs,M_650_799_45_54_yrs,M_650_799_55_64_yrs,M_650_799_65_74_yrs,M_650_799_75_84_yrs,M_650_799_85ov,M_650_799_Tot,M_800_999_15_19_yrs,M_800_999_20_24_yrs,M_800_999_25_34_yrs,M_800_999_35_44_yrs,M_800_999_45_54_yrs,M_800_999_55_64_yrs,M_800_999_65_74_yrs,M_800_999_75_84_yrs,M_800_999_85ov,M_800_999_Tot,M_1000_1249_15_19_yrs,M_1000_1249_20_24_yrs,M_1000_1249_25_34_yrs,M_1000_1249_35_44_yrs,M_1000_1249_45_54_yrs,M_1000_1249_55_64_yrs,M_1000_1249_65_74_yrs,M_1000_1249_75_84_yrs,M_1000_1249_85ov,M_1000_1249_Tot,M_1250_1499_15_19_yrs,M_1250_1499_20_24_yrs,M_1250_1499_25_34_yrs,M_1250_1499_35_44_yrs,M_1250_1499_45_54_yrs,M_1250_1499_55_64_yrs,M_1250_1499_65_74_yrs,M_1250_1499_75_84_yrs,M_1250_1499_85ov,M_1250_1499_Tot,M_1500_1749_15_19_yrs,M_1500_1749_20_24_yrs,M_1500_1749_25_34_yrs,M_1500_1749_35_44_yrs,M_1500_1749_45_54_yrs,M_1500_1749_55_64_yrs,M_1500_1749_65_74_yrs,M_1500_1749_75_84_yrs,M_1500_1749_85ov,M_1500_1749_Tot,M_1750_1999_15_19_yrs,M_1750_1999_20_24_yrs,M_1750_1999_25_34_yrs,M_1750_1999_35_44_yrs,M_1750_1999_45_54_yrs,M_1750_1999_55_64_yrs,M_1750_1999_65_74_yrs,M_1750_1999_75_84_yrs,M_1750_1999_85ov,M_1750_1999_Tot,M_2000_2999_15_19_yrs,M_2000_2999_20_24_yrs,M_2000_2999_25_34_yrs,M_2000_2999_35_44_yrs,M_2000_2999_45_54_yrs,M_2000_2999_55_64_yrs,M_2000_2999_65_74_yrs,M_2000_2999_75_84_yrs,M_2000_2999_85ov,M_2000_2999_Tot,M_3000_more_15_19_yrs,M_3000_more_20_24_yrs,M_3000_more_25_34_yrs,M_3000_more_35_44_yrs,M_3000_more_45_54_yrs,M_3000_more_55_64_yrs,M_3000_more_65_74_yrs,M_3000_more_75_84_yrs,M_3000_more_85ov,M_3000_more_Tot,M_PI_NS_15_19_yrs,M_PI_NS_ns_20_24_yrs,M_PI_NS_ns_25_34_yrs,M_PI_NS_ns_35_44_yrs,M_PI_NS_ns_45_54_yrs,M_PI_NS_ns_55_64_yrs,M_PI_NS_ns_65_74_yrs,M_PI_NS_ns_75_84_yrs,M_PI_NS_ns_85_yrs_ovr,M_PI_NS_ns_Tot,M_Tot_15_19_yrs,M_Tot_20_24_yrs,M_Tot_25_34_yrs,M_Tot_35_44_yrs,M_Tot_45_54_yrs,M_Tot_55_64_yrs,M_Tot_65_74_yrs,M_Tot_75_84_yrs,M_Tot_85ov,M_Tot_Tot,F_Neg_Nil_income_15_19_yrs,F_Neg_Nil_income_20_24_yrs,F_Neg_Nil_income_25_34_yrs,F_Neg_Nil_income_35_44_yrs,F_Neg_Nil_income_45_54_yrs,F_Neg_Nil_income_55_64_yrs,F_Neg_Nil_income_65_74_yrs,F_Neg_Nil_income_75_84_yrs,F_Neg_Nil_incme_85_yrs_ovr,F_Neg_Nil_income_Tot,F_1_149_15_19_yrs,F_1_149_20_24_yrs,F_1_149_25_34_yrs,F_1_149_35_44_yrs,F_1_149_45_54_yrs,F_1_149_55_64_yrs,F_1_149_65_74_yrs,F_1_149_75_84_yrs,F_1_149_85ov,F_1_149_Tot,F_150_299_15_19_yrs,F_150_299_20_24_yrs,F_150_299_25_34_yrs,F_150_299_35_44_yrs,F_150_299_45_54_yrs,F_150_299_55_64_yrs,F_150_299_65_74_yrs,F_150_299_75_84_yrs,F_150_299_85ov,F_150_299_Tot,F_300_399_15_19_yrs,F_300_399_20_24_yrs,F_300_399_25_34_yrs,F_300_399_35_44_yrs,F_300_399_45_54_yrs,F_300_399_55_64_yrs,F_300_399_65_74_yrs,F_300_399_75_84_yrs,F_300_399_85ov,F_300_399_Tot
SSC70001,13,0,0,0,3,7,0,0,0,18,3,0,0,0,0,0,0,0,0,4,3,0,0,0,0,3,0,0,0,10,0,0,0,3,3,0,5,0,0,15,3,0,0,0,0,3,3,0,0,15,0,0,0,3,3,0,0,0,0,11,0,3,0,3,3,3,3,3,0,14,0,5,4,3,4,8,0,0,0,21,0,3,4,7,7,0,0,0,0,19,0,0,8,7,7,7,0,0,0,26,0,0,8,0,5,4,3,0,0,22,0,0,7,10,6,0,3,0,0,24,0,0,3,7,8,5,0,0,0,26,0,0,3,4,4,4,0,0,0,15,0,0,6,12,8,10,8,0,0,49,24,15,49,67,60,49,22,3,0,291,8,0,9,9,4,7,0,0,0,35,0,0,0,0,3,3,0,0,0,11,0,0,3,0,3,0,0,0,0,10,0,0,0,3,3,3,0,0,0,16
SSC70002,3,0,3,0,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,3,0,6,3,5,0,0,15,0,0,0,0,0,3,8,0,0,15,0,0,0,0,0,3,4,3,0,7,0,0,0,0,0,0,0,0,0,10,0,0,0,0,3,0,4,0,0,7,0,3,0,0,0,3,0,0,0,10,0,0,0,0,0,3,3,0,0,11,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,5,0,0,0,0,3,0,0,0,0,3,0,0,4,3,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,5,0,0,0,4,7,8,5,3,0,30,3,13,15,15,28,31,37,8,0,145,3,0,0,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,3,0,0,0,13,0,0,0,0,3,4,5,0,0,15
SSC70003,27,11,4,3,3,8,6,3,0,60,10,0,3,3,0,0,3,0,0,25,8,3,3,3,3,0,7,0,0,25,4,5,9,9,4,11,24,5,3,71,3,3,15,4,6,8,7,0,0,45,3,3,6,6,3,5,3,3,0,38,0,3,12,14,9,5,4,0,0,44,0,7,12,21,9,7,6,4,0,71,0,5,18,17,16,11,9,0,0,82,0,0,10,11,13,9,12,0,0,61,0,3,20,9,12,4,3,0,0,55,0,0,10,18,18,5,0,0,0,59,0,0,15,19,11,13,3,0,0,69,0,0,6,5,9,4,4,0,0,32,14,5,18,25,20,11,13,3,4,108,73,56,175,175,147,96,100,24,9,853,8,3,18,22,11,7,5,0,0,74,11,4,4,4,3,3,0,0,0,35,7,11,8,7,4,6,3,6,0,47,5,11,9,10,7,8,18,7,0,78
SSC70004,10,0,0,0,0,0,0,0,0,10,7,9,15,6,5,3,0,0,0,39,7,8,14,4,3,4,0,0,3,40,0,0,6,0,0,0,3,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,4,0,0,0,0,4,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,9,0,5,0,0,0,0,35,25,21,45,22,23,11,6,3,3,164,0,0,0,3,0,0,0,0,0,0,3,9,6,3,5,0,0,0,0,28,3,13,15,6,8,0,0,0,0,48,4,3,6,17,5,4,4,0,0,39
SSC70005,0,0,5,0,4,0,0,0,0,10,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,5,0,3,3,0,0,0,11,0,0,3,0,3,0,0,0,0,5,0,0,3,6,0,0,0,0,0,11,0,0,8,0,3,3,3,0,0,13,0,0,0,0,3,0,0,0,0,4,0,0,0,3,3,0,0,0,0,8,0,0,0,3,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,3,4,3,12,11,16,14,0,0,0,55,3,4,29,25,35,28,9,0,0,149,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,5
SSC70006,7,0,3,0,0,0,0,0,0,8,3,5,3,0,0,4,0,0,0,21,0,12,22,9,5,11,3,0,0,55,0,3,0,0,3,3,0,0,0,13,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,3,0,3,0,0,0,0,4,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,7,3,3,4,0,0,0,27,10,29,46,22,22,19,5,0,0,154,7,0,0,0,0,0,0,0,0,8,0,0,3,3,3,0,0,0,0,16,6,6,11,12,10,8,0,0,0,50,0,3,10,0,3,0,0,0,0,18
SSC70007,4,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,4,0,0,0,0,5,4,0,0,0,3,0,0,0,0,10,0,0,6,3,8,3,0,0,0,19,0,0,5,7,3,4,0,0,0,17,0,4,4,3,9,3,0,0,0,15,0,0,4,3,11,4,0,0,0,26,0,0,28,42,28,20,7,0,0,115,0,0,19,27,12,7,0,0,0,66,3,10,11,18,15,4,4,0,0,60,8,25,83,104,77,49,5,0,0,358,3,0,11,6,0,4,0,0,0,23,0,0,6,4,0,0,0,0,0,5,0,0,0,6,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,6
SSC70008,0,0,0,0,0,0,0,0,0,8,6,3,10,3,9,0,0,0,0,29,0,3,8,0,3,3,0,0,0,18,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,0,0,0,0,0,0,11,11,11,18,9,16,5,3,0,0,73,0,0,0,0,0,0,0,0,0,0,6,4,10,10,6,3,0,0,0,38,3,8,6,8,5,3,3,0,0,33,0,0,0,3,5,0,0,0,0,14
SSC70009,0,0,0,0,0,0,0,0,0,4,0,3,10,0,3,0,0,0,0,15,9,18,15,9,10,3,6,3,0,83,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,5,7,0,0,0,0,18,17,23,29,21,30,8,6,3,0,138,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,14,18,20,19,13,8,4,3,0,95,0,3,0,0,0,0,0,0,0,5
SSC70010,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,10,8,4,16,9,7,11,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,3,0,0,0,0,14,0,0,0,3,0,0,0,0,0,11
