SSC_CODE_2016,M_0_4_yrs_Need_for_assistance,M_0_4_No_need_for_assistance,M_0_4_Need_for_assistance_ns,M_0_4_yrs_Tot,M_5_14_Need_for_assistance,M_5_14_No_need_for_assistance,M_5_14_Need_for_assistance_ns,M_5_14_yrs_Tot,M_15_19_Need_for_assistance,M_15_19_No_need_for_assistnce,M_15_19_Need_for_assistnce_ns,M_15_19_yrs_Tot,M_20_24_Need_for_assistance,M_20_24_No_need_for_assistnce,M_20_24_Need_for_assistnce_ns,M_20_24_yrs_Tot,M_25_34_Need_for_assistance,M_25_34_No_need_for_assistnce,M_25_34_Need_for_assistnce_ns,M_25_34_yrs_Tot,M_35_44_Need_for_assistance,M_35_44_No_need_for_assistnce,M_35_44_Need_for_assistnce_ns,M_35_44_yrs_Tot,M_45_54_Need_for_assistance,M_45_54_No_need_for_assistnce,M_45_54_Need_for_assistnce_ns,M_45_54_yrs_Tot,M_55_64_Need_for_assistance,M_55_64_No_need_for_assistnce,M_55_64_Need_for_assistnce_ns,M_55_64_yrs_Tot,M_65_74_Need_for_assistance,M_65_74_No_need_for_assistnce,M_65_74_Need_for_assistnce_ns,M_65_74_yrs_Tot,M_75_84_Need_for_assistance,M_75_84_No_need_for_assistnce,M_75_84_Need_for_assistnce_ns,M_75_84_yrs_Tot,M_85_over_Need_for_assistance,M_85_ov_No_need_for_assistnce,M_85_ov_Need_for_assistnce_ns,M_85_yrs_over_Tot,M_Tot_Need_for_assistance,M_Tot_No_need_for_assistance,M_Tot_Need_for_assistance_ns,M_Tot_Tot,F_0_4_yrs_Need_for_assistance,F_0_4_No_need_for_assistance,F_0_4_Need_for_assistance_ns,F_0_4_yrs_Tot,F_5_14_Need_for_assistance,F_5_14_No_need_for_assistance,F_5_14_Need_for_assistance_ns,F_5_14_yrs_Tot,F_15_19_Need_for_assistance,F_15_19_No_need_for_assistnce,F_15_19_Need_for_assistnce_ns,F_15_19_yrs_Tot,F_20_24_Need_for_assistance,F_20_24_No_need_for_assistnce,F_20_24_Need_for_assistnce_ns,F_20_24_yrs_Tot,F_25_34_Need_for_assistance,F_25_34_No_need_for_assistnce,F_25_34_Need_for_assistnce_ns,F_25_34_yrs_Tot,F_35_44_Need_for_assistance,F_35_44_No_need_for_assistnce,F_35_44_Need_for_assistnce_ns,F_35_44_yrs_Tot,F_45_54_Need_for_assistance,F_45_54_No_need_for_assistnce,F_45_54_Need_for_assistnce_ns,F_45_54_yrs_Tot,F_55_64_Need_for_assistance,F_55_64_No_need_for_assistnce,F_55_64_Need_for_assistnce_ns,F_55_64_yrs_Tot,F_65_74_Need_for_assistance,F_65_74_No_need_for_assistnce,F_65_74_Need_for_assistnce_ns,F_65_74_yrs_Tot,F_75_84_Need_for_assistance,F_75_84_No_need_for_assistnce,F_75_84_Need_for_assistnce_ns,F_75_84_yrs_Tot,F_85_over_Need_for_assistance,F_85_ov_No_need_for_assistnce,F_85_ov_Need_for_assistnce_ns,F_85_yrs_over_Tot,F_Tot_Need_for_assistance,F_Tot_No_need_for_assistance,F_Tot_Need_for_assistance_ns,F_Tot_Tot,P_0_4_yrs_Need_for_assistance,P_0_4_No_need_for_assistance,P_0_4_Need_for_assistance_ns,P_0_4_yrs_Tot,P_5_14_Need_for_assistance,P_5_14_No_need_for_assistance,P_5_14_Need_for_assistance_ns,P_5_14_yrs_Tot,P_15_19_Need_for_assistance,P_15_19_No_need_for_assistnce,P_15_19_Need_for_assistnce_ns,P_15_19_yrs_Tot,P_20_24_Need_for_assistance,P_20_24_No_need_for_assistnce,P_20_24_Need_for_assistnce_ns,P_20_24_yrs_Tot,P_25_34_Need_for_assistance,P_25_34_No_need_for_assistnce,P_25_34_Need_for_assistnce_ns,P_25_34_yrs_Tot,P_35_44_Need_for_assistance,P_35_44_No_need_for_assistnce,P_35_44_Need_for_assistnce_ns,P_35_44_yrs_Tot,P_45_54_Need_for_assistance,P_45_54_No_need_for_assistnce,P_45_54_Need_for_assistnce_ns,P_45_54_yrs_Tot,P_55_64_Need_for_assistance,P_55_64_No_need_for_assistnce,P_55_64_Need_for_assistnce_ns,P_55_64_yrs_Tot,P_65_74_Need_for_assistance,P_65_74_No_need_for_assistnce,P_65_74_Need_for_assistnce_ns,P_65_74_yrs_Tot,P_75_84_Need_for_assistance,P_75_84_No_need_for_assistnce,P_75_84_Need_for_assistnce_ns,P_75_84_yrs_Tot,P_85_over_Need_for_assistance,P_85_ov_No_need_for_assistnce,P_85_ov_Need_for_assistnce_ns,P_85_yrs_over_Tot,P_Tot_Need_for_assistance,P_Tot_No_need_for_assistance,P_Tot_Need_for_assistance_ns,P_Tot_Tot
SSC70001,0,22,4,28,4,36,7,48,0,20,0,24,0,9,0,15,4,36,7,49,0,58,13,67,3,48,8,60,3,42,11,49,0,21,4,22,0,3,0,3,0,0,0,0,17,296,55,367,0,29,6,34,0,38,3,42,0,16,0,16,0,12,3,19,0,35,3,45,0,43,3,52,3,54,12,69,3,33,8,48,0,14,3,19,0,3,0,3,0,0,0,0,7,276,42,328,0,48,6,60,6,74,12,91,0,41,4,38,0,23,5,27,4,71,9,92,3,97,17,118,3,104,18,127,10,74,15,97,4,33,6,43,0,3,0,6,0,0,0,0,26,572,95,694
SSC70002,0,10,3,9,0,22,4,31,0,3,0,3,0,13,0,13,0,12,3,15,0,9,5,15,0,16,8,28,0,25,7,31,4,27,8,37,0,3,3,8,0,0,0,0,6,144,32,183,0,5,3,13,0,17,4,27,0,9,0,9,0,15,0,15,0,17,4,18,0,9,4,11,0,32,3,35,0,17,7,20,0,11,3,15,0,4,0,7,3,0,0,3,9,132,24,174,0,13,5,18,0,47,13,55,0,7,0,7,0,20,0,20,0,29,3,32,0,17,8,23,3,47,10,65,3,43,9,54,7,40,10,55,3,13,3,13,8,0,0,5,16,276,60,353
SSC70003,0,70,11,84,3,106,17,127,4,59,5,73,3,48,3,56,3,160,17,175,0,149,20,175,0,127,15,147,5,76,12,96,7,84,10,100,8,12,0,24,0,0,4,9,40,909,123,1067,0,66,11,80,4,107,18,125,0,42,0,42,0,68,7,83,0,156,23,180,3,147,18,173,10,125,11,150,3,96,12,112,8,67,7,84,8,17,4,32,4,0,0,5,41,905,121,1061,0,141,22,162,8,217,33,253,4,109,5,117,3,118,15,134,4,310,34,353,4,302,40,347,13,254,32,296,7,176,20,207,13,149,21,181,17,31,7,54,10,3,4,13,82,1811,238,2127
SSC70004,0,19,9,28,0,42,8,49,0,25,0,25,0,19,3,21,0,39,7,45,0,14,4,22,0,17,6,23,0,13,0,11,0,7,3,6,0,3,0,3,3,0,0,3,3,203,41,247,0,19,9,24,0,33,8,41,0,16,0,19,0,24,3,27,0,30,5,36,0,34,0,38,3,21,3,25,0,10,3,14,3,6,3,10,0,0,0,0,0,0,0,0,9,204,30,243,0,35,17,59,0,82,12,93,0,44,0,43,0,49,5,50,0,67,17,88,0,53,5,52,3,46,9,55,3,23,3,28,3,9,4,15,0,3,0,0,3,0,0,5,13,406,69,494
SSC70005,0,3,0,5,0,3,0,4,0,0,3,3,0,3,0,4,0,22,12,29,0,15,8,25,3,21,16,35,3,20,12,28,0,7,0,9,0,0,0,0,0,0,0,0,3,94,50,154,0,3,0,6,0,6,0,6,0,0,0,6,0,5,0,11,0,22,10,31,0,17,9,30,0,22,10,26,0,10,4,17,4,5,6,13,0,3,0,4,0,0,0,0,8,93,43,141,0,4,0,10,0,7,3,12,0,3,4,11,0,10,3,14,0,43,20,66,0,33,19,58,5,42,20,66,0,24,16,44,4,10,5,23,0,3,0,3,0,0,0,0,14,189,100,300
SSC70006,0,21,3,26,0,32,9,42,0,14,3,10,0,26,0,29,0,41,10,46,0,22,0,22,3,16,3,22,3,12,0,19,0,3,0,5,0,0,0,0,0,0,0,0,12,181,22,217,0,16,0,17,0,40,4,45,0,14,0,21,0,9,3,17,0,32,7,39,0,22,0,22,0,27,3,29,0,15,0,12,0,3,0,3,0,0,0,0,0,0,0,0,3,187,22,208,0,35,4,42,3,77,10,89,0,26,4,33,0,34,3,44,0,75,11,91,0,41,0,41,3,40,3,47,3,26,0,33,0,6,0,5,0,0,0,0,0,0,0,0,10,366,38,420
SSC70007,0,44,4,52,0,80,4,82,0,8,3,8,0,13,15,25,0,73,11,83,0,94,11,104,0,67,15,77,0,39,4,49,0,8,0,5,0,0,0,0,0,0,0,0,0,428,66,496,0,36,0,42,0,63,8,69,0,3,8,9,0,14,0,14,0,78,5,83,0,78,5,80,0,36,4,45,0,24,0,24,0,7,0,5,0,0,0,0,0,0,0,0,6,343,34,381,0,84,8,87,0,138,17,154,0,14,9,21,0,23,15,36,0,150,18,168,0,170,22,188,0,107,19,125,0,70,4,74,0,13,0,18,0,0,0,3,0,0,0,0,4,768,101,873
SSC70008,0,8,0,12,0,19,3,16,0,11,0,11,0,4,5,11,0,19,0,18,0,9,0,9,3,14,0,16,0,4,0,5,0,0,0,3,0,0,0,0,0,0,0,0,3,85,8,101,0,11,0,12,0,17,0,14,0,9,0,9,0,11,4,14,0,16,0,11,0,22,0,22,0,26,0,29,0,9,0,9,3,3,0,3,0,0,0,0,0,0,0,3,6,121,12,138,0,20,0,21,0,35,0,37,0,19,0,19,0,18,14,29,3,32,0,36,0,27,0,27,3,44,0,51,0,9,0,15,3,3,0,6,0,0,0,0,0,0,0,3,9,206,21,239
SSC70009,0,19,0,19,0,54,0,54,0,17,0,17,0,23,0,23,0,29,0,29,0,19,3,21,0,20,3,30,0,8,0,8,0,6,0,6,0,3,0,3,0,0,0,0,0,204,9,211,0,24,0,24,0,42,0,42,0,24,3,25,0,29,0,28,0,28,0,29,0,25,0,25,0,20,0,16,0,8,0,13,0,3,0,7,3,0,0,3,0,0,0,0,3,196,5,209,0,48,0,48,0,96,0,96,0,41,3,39,0,56,0,54,0,52,0,58,0,42,3,45,0,37,3,48,0,18,0,18,0,8,0,9,3,3,0,5,0,0,0,0,3,402,9,418
SSC70010,0,0,0,0,0,4,0,9,0,8,0,8,0,3,0,4,0,16,6,16,0,9,0,9,0,7,0,7,0,4,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,49,11,57,0,4,0,4,0,6,0,6,0,4,0,4,0,3,4,8,0,8,0,7,0,9,0,9,0,10,0,10,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,45,3,54,0,6,0,6,0,12,0,11,0,13,0,13,0,7,3,11,0,21,4,27,0,10,0,10,0,11,0,11,0,6,3,10,0,0,0,0,0,0,0,0,0,0,0,0,3,91,12,111
