SSC_CODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
SSC70001,0,0,0,88,150,62,54,96,96,549
SSC70002,3,0,5,51,67,35,21,58,58,279
SSC70003,3,4,13,348,464,159,133,398,205,1709
SSC70004,5,0,5,103,61,9,8,122,41,343
SSC70005,0,0,0,50,38,12,7,57,113,277
SSC70006,0,0,0,126,39,12,10,97,16,294
SSC70007,0,0,0,149,210,60,50,75,87,629
SSC70008,3,0,3,68,33,22,15,26,20,178
SSC70009,0,0,0,34,148,57,4,16,18,276
SSC70010,0,0,0,6,23,21,0,24,15,88
SSC70011,0,0,0,128,147,119,91,38,125,645
SSC70012,0,0,0,24,10,12,19,10,6,82
SSC70013,3,0,3,116,103,41,4,60,30,354
SSC70014,0,0,4,414,521,229,147,319,158,1799
SSC70015,3,3,11,486,575,253,150,346,214,2028
SSC70016,0,0,0,0,0,0,0,0,0,0
SSC70017,0,0,0,23,61,30,0,17,30,161
SSC70018,0,0,0,3,0,3,0,0,13,19
SSC70019,0,0,0,51,58,4,3,71,16,215
SSC70020,0,0,0,20,27,41,22,27,15,146
SSC70021,0,0,0,41,27,6,8,29,80,187
SSC70022,0,0,4,603,697,248,150,482,188,2371
SSC70023,0,0,0,151,45,0,5,33,12,250
SSC70024,0,0,8,60,101,34,32,83,88,401
SSC70025,3,0,4,408,439,109,80,214,131,1381
SSC70026,0,0,4,147,209,102,63,87,70,675
SSC70027,0,0,3,367,504,165,160,367,130,1696
SSC70028,0,0,0,22,49,20,3,41,0,131
SSC70029,0,0,3,112,132,34,22,204,115,618
SSC70030,0,0,3,117,180,88,51,99,97,630
SSC70031,0,0,0,157,115,18,16,57,12,361
SSC70032,0,0,0,0,0,0,0,0,3,3
SSC70033,0,0,3,78,7,0,0,37,9,131
SSC70034,0,0,0,11,6,0,3,33,22,75
SSC70035,0,0,0,0,0,0,0,0,0,0
SSC70036,0,0,0,7,7,4,0,12,3,28
SSC70037,0,0,0,164,179,90,13,115,54,621
SSC70038,0,0,0,6,9,7,8,3,35,66
SSC70039,11,3,20,517,717,257,167,492,353,2504
SSC70040,3,0,3,253,265,101,75,228,161,1086
SSC70041,0,0,0,16,14,0,4,7,5,46
SSC70042,0,0,0,0,0,0,0,0,0,0
SSC70043,0,0,0,75,80,5,0,16,13,195
SSC70044,0,0,0,0,4,0,5,3,15,30
SSC70045,0,0,0,52,27,12,10,20,88,212
SSC70046,0,0,0,17,13,10,7,24,11,85
SSC70047,0,0,0,0,0,0,0,0,0,0
SSC70048,0,0,0,11,3,13,3,12,3,40
SSC70049,0,0,0,0,0,0,0,0,0,0
SSC70050,0,0,0,57,18,13,0,19,21,127
SSC70051,0,0,0,71,49,14,4,98,78,318
SSC70052,0,0,0,0,0,0,0,0,0,4
SSC70053,0,0,0,0,0,0,0,0,0,0
SSC70054,0,0,0,0,3,3,0,0,13,16
SSC70055,0,0,0,0,0,0,0,0,0,0
SSC70056,0,0,0,77,50,11,4,48,32,219
SSC70057,0,0,0,3,0,0,0,0,4,10
SSC70058,0,0,0,7,0,0,3,6,4,20
SSC70059,12,3,28,563,628,212,137,631,392,2565
SSC70060,0,0,0,0,0,0,0,0,3,4
SSC70061,3,0,3,70,99,36,23,42,54,324
SSC70062,0,0,0,111,102,30,20,97,96,455
SSC70063,0,0,0,3,4,3,0,10,5,22
SSC70064,0,0,0,10,15,11,3,7,5,58
SSC70065,0,0,7,228,230,98,57,133,160,908
SSC70066,0,0,0,0,0,0,0,7,11,12
SSC70067,0,0,0,0,4,0,0,10,4,15
SSC70068,0,0,0,10,6,0,0,19,3,37
SSC70069,0,0,0,27,40,3,14,40,9,141
SSC70070,0,0,0,0,0,0,0,0,0,0
SSC70071,0,0,0,17,18,15,10,24,16,97
SSC70072,0,0,0,0,0,0,3,7,0,9
SSC70073,4,0,19,1528,1339,287,195,1524,1054,5929
SSC70074,0,0,0,93,155,69,55,87,86,537
SSC70075,0,0,0,0,0,0,0,0,3,5
SSC70076,0,0,0,61,19,14,3,32,15,145
SSC70077,0,0,0,14,3,0,0,5,8,36
SSC70078,3,3,10,286,349,132,66,224,148,1212
SSC70079,0,0,0,34,25,5,12,48,73,204
SSC70080,0,0,0,515,599,201,146,446,297,2206
SSC70081,0,0,0,21,50,22,38,31,14,185
SSC70082,0,0,0,8,8,15,8,20,15,84
SSC70083,0,0,0,8,15,7,10,15,15,64
SSC70084,6,0,4,692,812,269,237,425,216,2652
SSC70085,0,0,0,4,3,0,0,0,0,11
SSC70086,0,0,0,172,157,82,53,145,76,690
SSC70087,0,0,0,0,3,0,0,7,0,11
SSC70088,5,4,17,542,749,229,136,453,267,2379
SSC70089,0,0,0,49,44,5,4,77,12,197
SSC70090,0,0,0,14,34,15,6,14,76,159
SSC70091,0,0,0,37,130,18,8,18,12,222
SSC70092,0,0,0,0,0,0,0,0,0,0
