SSC_CODE_2016,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total
SSC70001,0,0,0,0,23,5,24,0,0,0,0,13,0,15,18,0,0,15,22,7,49,24,3,0,25,24,10,67,11,0,0,14,39,8,60,3,5,0,5,35,9,49,0,4,0,4,17,5,22,0,0,0,0,3,0,3,0,0,0,0,0,0,0,55,13,0,69,172,49,291,0,3,0,3,10,3,16,4,0,0,4,5,3,19,18,0,0,23,12,3,45,29,0,0,30,15,7,52,17,8,0,20,34,11,69,0,9,0,6,31,4,48,0,0,0,0,10,3,19,0,0,0,0,0,0,3,0,0,0,0,0,0,0,70,18,0,87,131,37,255,0,3,0,3,31,10,38,3,0,0,3,21,7,27,37,0,4,38,36,10,92,49,3,0,60,39,17,118,26,8,0,36,76,15,127,4,11,0,15,68,11,97,0,4,0,4,28,11,43,0,0,0,0,4,0,6,0,0,0,0
SSC70002,0,0,0,0,0,0,3,0,0,0,3,7,0,13,6,4,0,7,5,0,15,6,0,0,6,4,0,15,0,3,0,8,12,9,28,0,0,0,0,21,5,31,0,4,0,4,30,7,37,0,0,0,0,9,3,8,0,0,0,0,0,0,0,15,9,0,26,95,29,145,0,0,0,0,3,3,9,4,0,0,3,9,0,15,11,0,0,11,5,4,18,6,3,0,9,7,5,11,9,5,0,13,24,0,35,0,4,0,4,16,3,20,0,0,0,0,13,3,15,0,0,0,0,3,0,7,0,0,0,0,3,0,3,21,12,0,32,80,20,138,0,0,0,0,5,5,7,3,0,0,5,13,0,20,15,4,0,19,12,6,32,13,3,0,11,10,4,23,8,6,0,16,40,12,65,0,7,0,7,38,10,54,0,3,0,3,41,7,55,0,0,0,0,11,3,13,0,0,0,0
SSC70003,0,3,0,3,58,9,73,4,0,0,4,51,3,56,27,3,0,30,120,19,175,62,4,0,73,80,23,175,39,10,0,52,83,13,147,3,11,0,10,69,13,96,0,6,0,13,80,14,100,0,0,0,0,14,7,24,0,0,0,0,5,4,9,137,46,4,188,561,107,853,0,10,0,10,30,3,42,6,4,0,11,61,7,83,51,6,3,62,94,21,180,84,7,5,98,58,19,173,35,8,0,39,97,10,150,0,23,0,25,78,15,112,0,9,0,9,61,9,84,0,7,0,7,22,9,32,0,0,0,0,5,0,5,178,70,8,259,507,100,863,0,16,0,16,87,16,117,8,4,0,13,109,11,134,81,8,3,87,221,41,353,151,12,4,164,134,43,347,76,17,0,88,177,28,296,3,33,0,35,151,27,207,0,21,0,20,136,24,181,0,7,0,7,40,12,54,0,0,0,0
SSC70004,6,3,3,7,11,3,25,6,3,0,14,10,0,21,11,3,8,16,22,11,45,3,0,3,3,11,4,22,0,3,0,7,17,6,23,0,3,0,3,5,3,11,0,0,0,0,7,0,6,0,3,0,3,0,0,3,0,0,0,0,3,0,3,22,18,15,55,86,23,164,3,0,3,8,8,3,19,9,3,3,16,11,3,27,10,0,3,18,16,7,36,6,5,4,19,12,3,38,0,8,0,9,17,0,25,0,6,0,9,7,0,14,0,3,3,5,3,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,28,16,74,71,31,175,7,3,5,12,17,13,43,17,5,6,31,24,3,50,23,3,8,34,34,17,88,9,7,8,21,24,5,52,3,9,0,11,36,4,55,0,9,0,13,11,4,28,0,0,3,6,5,5,15,0,3,0,3,0,0,0,0,0,0,0
SSC70005,0,0,0,0,4,4,3,0,0,0,0,3,3,4,4,0,0,3,18,12,29,3,0,0,3,16,12,25,0,3,0,3,16,20,35,0,0,0,0,16,14,28,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,11,79,57,149,0,0,0,0,0,0,6,0,0,0,0,8,0,11,9,0,0,9,9,14,31,3,3,0,8,7,11,30,0,3,0,3,18,10,26,0,0,0,0,7,4,17,0,0,0,0,6,6,13,0,0,0,0,3,0,4,0,0,0,0,0,0,0,11,6,0,17,68,50,132,0,0,0,0,4,3,11,0,0,0,3,6,3,14,8,3,0,15,30,18,66,3,3,0,6,21,24,58,0,3,0,3,33,23,66,0,0,0,0,30,17,44,0,0,0,0,13,7,23,0,0,0,0,3,0,3,0,0,0,0
SSC70006,0,5,0,7,4,4,10,6,5,0,8,13,4,29,13,6,4,26,20,5,46,4,3,0,7,15,0,22,0,3,0,6,7,0,22,3,4,3,6,7,0,19,0,3,0,3,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,21,10,62,80,15,154,0,0,0,0,17,3,21,7,0,0,6,3,0,17,17,0,4,22,12,5,39,3,5,0,11,15,0,22,0,9,3,10,14,0,29,3,0,0,3,7,0,12,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,20,12,61,65,16,144,0,5,0,8,17,4,33,12,4,0,16,20,6,44,30,8,4,46,37,7,91,6,6,3,18,23,0,41,3,11,7,22,18,6,47,3,6,4,15,15,0,33,0,6,0,6,3,0,5,0,0,0,0,0,0,0,0,0,0,0
SSC70007,0,0,0,0,10,4,8,0,0,0,0,14,11,25,33,0,0,37,40,13,83,49,0,3,55,37,13,104,12,0,0,17,54,12,77,4,0,0,9,40,4,49,0,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,7,3,117,191,60,358,0,0,0,0,3,8,9,3,0,0,6,11,0,14,36,4,0,48,38,6,83,61,0,0,63,13,11,80,11,4,0,11,30,0,45,0,3,0,3,26,0,24,0,3,0,3,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,16,0,124,118,26,270,0,0,0,0,9,8,21,0,0,0,4,17,11,36,71,7,0,80,73,17,168,111,0,4,116,50,21,188,21,3,0,27,81,15,125,5,3,0,11,59,4,74,0,3,0,3,13,3,18,0,0,0,0,3,0,3,0,0,0,0
SSC70008,0,3,0,3,0,3,11,0,0,0,4,0,5,11,9,9,0,13,3,0,18,0,3,0,3,3,0,9,0,0,0,3,14,0,16,0,3,0,3,3,0,5,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,19,0,35,34,7,73,0,3,0,3,6,0,9,3,6,0,7,3,4,14,3,3,3,12,5,0,11,7,0,4,10,5,0,22,3,7,0,15,18,0,29,0,3,0,3,5,0,9,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23,23,12,54,43,6,112,0,6,0,13,6,3,19,4,3,0,11,3,14,29,14,9,3,24,10,0,36,9,0,5,16,12,0,27,3,8,0,18,33,0,51,0,7,0,7,5,0,15,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0
SSC70009,0,4,8,12,3,3,17,0,6,13,27,0,0,23,13,4,14,29,0,0,29,0,3,13,12,3,5,21,3,4,13,17,3,7,30,0,3,0,5,0,0,8,0,4,0,6,0,0,6,0,0,0,3,0,0,3,0,0,0,0,0,0,0,15,33,61,110,16,12,138,0,9,10,17,0,3,25,5,6,17,26,3,3,28,9,3,14,22,3,0,29,3,3,16,20,3,0,25,3,3,11,16,0,0,16,0,3,7,4,5,0,13,0,0,3,7,0,0,7,0,0,0,3,0,0,3,0,0,0,0,0,0,0,20,28,73,116,11,6,141,0,11,17,32,4,3,39,5,15,31,46,3,3,54,21,6,24,48,4,0,58,4,5,29,34,4,5,45,4,12,16,39,3,7,48,0,4,6,11,7,0,18,0,6,5,9,0,0,9,0,5,3,5,0,0,5,0,0,0,0
SSC70010,0,0,0,0,3,0,8,0,0,0,0,3,0,4,4,0,0,4,12,6,16,3,0,0,5,0,0,9,0,0,0,0,3,0,7,0,0,0,0,3,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,7,28,9,46,0,0,0,0,4,0,4,0,0,0,0,3,4,8,0,0,0,0,3,0,7,3,0,0,3,4,0,9,0,3,0,3,6,0,10,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,13,25,4,39,0,0,0,0,8,0,13,0,0,0,0,8,3,11,5,0,0,5,12,4,27,5,0,0,10,5,0,10,0,3,0,4,9,0,11,0,0,0,0,7,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
