SSC_CODE_2016,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
SSC70001,0,0,0,125,30,4,155,305,84,549
SSC70002,6,0,5,36,21,3,57,176,49,279
SSC70003,10,4,13,320,110,14,439,1065,202,1709
SSC70004,3,0,5,55,45,29,128,159,55,343
SSC70005,0,0,0,19,9,0,30,146,106,277
SSC70006,0,0,0,60,42,23,121,142,25,294
SSC70007,0,0,0,208,21,9,240,309,79,629
SSC70008,0,0,3,38,43,11,89,79,17,178
SSC70009,0,0,0,36,63,132,228,23,18,276
SSC70010,0,0,0,12,5,0,22,51,12,88
SSC70011,0,0,0,122,105,15,242,258,141,645
SSC70012,0,0,0,20,17,7,37,35,5,82
SSC70013,3,0,3,93,55,7,157,168,30,354
SSC70014,4,0,4,433,141,16,594,1045,156,1799
SSC70015,12,3,11,494,113,34,640,1172,220,2028
SSC70016,0,0,0,0,0,0,0,0,0,0
SSC70017,0,0,0,20,51,15,94,37,29,161
SSC70018,0,0,0,0,0,0,0,9,14,19
SSC70019,0,0,0,12,14,16,40,153,16,215
SSC70020,0,0,0,39,24,23,88,49,11,146
SSC70021,0,0,0,18,18,8,40,70,84,187
SSC70022,4,0,4,642,149,21,813,1373,178,2371
SSC70023,0,0,0,63,59,9,123,111,17,250
SSC70024,3,0,8,60,24,3,90,223,85,401
SSC70025,9,0,4,254,69,9,330,917,133,1381
SSC70026,4,0,4,131,32,7,171,443,63,675
SSC70027,3,0,3,580,107,22,711,861,131,1696
SSC70028,0,0,0,14,35,8,54,73,0,131
SSC70029,3,0,3,72,31,3,101,407,108,618
SSC70030,0,0,3,126,47,4,170,368,89,630
SSC70031,0,0,0,100,84,22,205,148,6,361
SSC70032,0,0,0,0,0,0,0,0,3,3
SSC70033,3,0,3,14,12,0,30,96,10,131
SSC70034,0,0,0,7,3,0,11,41,27,75
SSC70035,0,0,0,0,0,0,0,0,0,0
SSC70036,0,0,0,9,0,0,12,14,6,28
