SSC_CODE_2016,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_H_or_W_in_RM_0_14,P_H_or_W_in_RM_15_24,P_H_or_W_in_RM_25_34,P_H_or_W_in_RM_35_44,P_H_or_W_in_RM_45_54,P_H_or_W_in_RM_55_64,P_H_or_W_in_RM_65_74,P_H_or_W_in_RM_75_84,P_H_or_W_in_RM_85ov,P_H_or_W_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SSC70001,..,0,3,0,0,0,0,0,0,5,..,0,0,0,3,4,3,0,0,12,0,0,0,0,0,3,0,0,0,7,64,26,40,42,58,39,17,0,0,286,..,0,27,58,59,44,16,3,0,204,..,9,25,23,27,17,4,0,0,115,..,0,3,6,4,3,0,0,0,18,131,..,..,..,..,..,..,..,..,131,..,22,..,..,..,..,..,..,..,22,..,20,4,7,0,0,0,0,0,38,..,8,0,0,0,3,8,0,0,16,..,0,3,0,0,0,0,0,0,11,..,0,3,0,0,0,0,0,0,13,..,0,3,0,7,10,6,0,0,30,0,0,0,0,0,5,3,0,0,15,130,63,77,97,110,78,35,4,0,590
SSC70002,..,0,0,0,0,5,0,3,0,9,..,0,0,3,0,3,0,3,0,15,0,0,0,0,3,0,0,0,0,7,30,19,19,15,31,20,14,7,3,151,..,0,3,3,23,14,17,0,0,67,..,0,12,3,8,0,3,0,0,37,..,3,0,5,5,0,0,0,0,20,71,..,..,..,..,..,..,..,..,71,..,4,..,..,..,..,..,..,..,4,..,11,3,0,0,0,0,0,0,18,..,6,3,3,0,0,3,3,4,16,..,0,0,0,0,0,0,0,0,0,..,0,3,0,3,9,6,3,0,25,..,0,0,3,5,5,7,3,3,43,0,0,0,0,3,0,0,0,0,7,71,32,34,23,52,39,42,16,6,306
SSC70003,..,3,10,5,3,0,4,0,0,24,..,0,0,7,3,14,20,5,3,56,6,9,4,0,9,3,0,0,0,33,182,115,155,148,135,96,71,28,5,936,..,11,103,149,123,101,101,19,4,607,..,6,68,60,50,17,11,0,0,218,..,4,3,27,33,8,5,7,0,93,362,..,..,..,..,..,..,..,..,362,..,74,..,..,..,..,..,..,..,74,..,66,31,16,13,0,0,0,0,127,..,21,14,3,5,11,6,8,0,66,..,15,27,13,3,8,3,0,0,72,..,16,40,17,14,9,8,3,0,99,..,4,12,16,12,21,26,7,3,111,10,16,10,4,11,3,3,0,0,61,375,230,312,303,265,186,164,48,10,1892
SSC70004,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,3,0,0,0,7,5,0,3,3,0,0,0,0,0,8,64,46,35,34,25,14,12,0,0,229,..,17,22,15,24,8,5,3,0,96,..,9,11,8,3,3,0,0,0,33,..,5,8,7,6,0,3,0,0,34,136,..,..,..,..,..,..,..,..,136,..,5,..,..,..,..,..,..,..,5,..,23,6,4,0,0,0,0,0,39,..,24,12,7,7,4,7,0,0,66,..,0,0,0,0,0,0,0,0,0,..,0,0,3,0,5,0,0,0,9,..,0,3,0,4,5,0,0,0,14,4,0,10,3,0,0,0,0,0,14,142,91,72,47,46,28,13,0,5,444
SSC70005,..,3,3,0,0,0,0,3,0,14,..,3,3,3,8,4,0,0,0,19,0,3,4,0,0,3,0,0,0,11,7,7,15,10,10,9,3,3,0,60,..,0,9,7,3,7,5,0,0,27,..,3,4,0,0,0,0,0,0,8,..,0,0,0,0,0,0,0,0,0,13,..,..,..,..,..,..,..,..,13,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,3,11,0,0,0,0,3,0,16,..,3,8,8,16,10,4,0,0,48,0,3,6,0,0,3,0,0,0,16,9,12,32,19,21,17,11,3,0,124
SSC70006,..,0,0,0,0,0,0,0,0,0,..,0,4,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,3,56,30,38,25,22,12,3,0,0,193,..,13,29,15,24,19,3,0,0,93,..,10,16,10,5,0,0,0,0,41,..,0,7,3,8,9,0,0,0,28,119,..,..,..,..,..,..,..,..,119,..,3,..,..,..,..,..,..,..,3,..,32,21,4,0,0,0,0,0,59,..,15,3,0,4,3,3,0,0,25,..,0,0,4,0,0,3,0,0,7,..,0,5,3,3,0,0,0,0,12,..,0,4,0,0,3,0,0,0,9,3,0,3,0,0,0,0,0,0,8,122,69,80,45,46,33,5,0,0,403
SSC70007,..,0,0,0,0,0,0,0,0,3,..,0,5,3,4,4,0,0,0,21,6,0,6,0,3,0,0,0,0,19,97,11,82,75,36,24,5,0,0,340,..,0,65,95,48,26,7,0,0,253,..,4,43,35,12,7,0,0,0,108,..,0,0,5,3,3,0,0,0,8,209,..,..,..,..,..,..,..,..,209,..,0,..,..,..,..,..,..,..,0,..,13,4,0,0,0,0,0,0,17,..,0,3,0,0,0,3,0,0,11,..,3,0,0,0,0,0,0,0,3,..,3,0,3,7,4,0,0,0,11,..,0,14,10,13,18,0,0,0,52,10,3,8,8,12,3,0,0,0,45,222,30,143,151,92,59,9,3,0,714
SSC70008,..,0,0,0,0,0,0,0,0,0,..,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,26,24,11,22,28,7,3,0,3,127,..,7,9,7,17,3,0,0,0,46,..,0,7,3,10,0,0,0,0,20,..,0,5,8,4,4,0,0,0,25,54,..,..,..,..,..,..,..,..,54,..,5,..,..,..,..,..,..,..,5,..,14,11,4,0,0,0,0,0,27,..,7,0,0,6,3,3,0,0,30,..,0,0,0,0,0,0,0,0,5,..,0,0,0,0,0,0,0,0,0,..,0,0,0,7,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,54,38,36,27,43,11,3,0,3,217
SSC70009,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,5,0,0,0,7,4,6,0,0,0,0,0,0,0,16,68,51,28,25,16,8,7,3,0,204,..,24,28,26,16,6,6,0,0,103,..,0,5,6,4,0,0,0,0,16,..,4,6,6,3,0,0,0,0,20,130,..,..,..,..,..,..,..,..,130,..,9,..,..,..,..,..,..,..,9,..,26,6,3,3,0,0,0,0,40,..,23,6,0,7,0,4,4,0,46,..,3,0,0,0,0,0,0,0,4,..,0,0,3,0,0,0,0,0,7,..,0,0,0,0,7,0,0,0,6,6,7,0,3,0,0,0,0,0,20,137,93,53,40,40,18,9,5,0,401
SSC70010,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,14,8,4,9,10,3,0,0,0,42,..,0,4,7,7,5,0,0,0,19,..,0,5,0,0,0,0,0,0,5,..,0,0,0,3,0,0,0,0,5,22,..,..,..,..,..,..,..,..,22,..,0,..,..,..,..,..,..,..,0,..,3,0,0,0,0,0,0,0,7,..,3,4,0,0,0,0,0,0,11,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,3,3,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,4,21,14,12,10,11,10,0,0,0,85
