SSC_CODE_2016,P_15_19_Num_chld_evr_brn_Nne,P_15_19_Num_chld_evr_brn_1,P_15_19_Num_chld_evr_brn_2,P_15_19_Num_chld_evr_brn_3,P_15_19_Num_chld_evr_brn_4,P_15_19_Num_chld_evr_brn_5,P_15_19_Num_chd_evr_brn_6_mr,P_15_19_Num_chld_evr_brn_ns,P_15_19_yrs_Total,P_20_24_Num_chld_evr_brn_Nne,P_20_24_Num_chld_evr_brn_1,P_20_24_Num_chld_evr_brn_2,P_20_24_Num_chld_evr_brn_3,P_20_24_Num_chld_evr_brn_4,P_20_24_Num_chld_evr_brn_5,P_20_24_Num_chd_evr_brn_6_mr,P_20_24_Num_chld_evr_brn_ns,P_20_24_yrs_Total,P_25_29_Num_chld_evr_brn_Nne,P_25_29_Num_chld_evr_brn_1,P_25_29_Num_chld_evr_brn_2,P_25_29_Num_chld_evr_brn_3,P_25_29_Num_chld_evr_brn_4,P_25_29_Num_chld_evr_brn_5,P_25_29_Num_chd_evr_brn_6_mr,P_25_29_Num_chld_evr_brn_ns,P_25_29_yrs_Total,P_30_34_Num_chld_evr_brn_Nne,P_30_34_Num_chld_evr_brn_1,P_30_34_Num_chld_evr_brn_2,P_30_34_Num_chld_evr_brn_3,P_30_34_Num_chld_evr_brn_4,P_30_34_Num_chld_evr_brn_5,P_30_34_Num_chd_evr_brn_6_mr,P_30_34_Num_chld_evr_brn_ns,P_30_34_yrs_Total,P_35_39_Num_chld_evr_brn_Nne,P_35_39_Num_chld_evr_brn_1,P_35_39_Num_chld_evr_brn_2,P_35_39_Num_chld_evr_brn_3,P_35_39_Num_chld_evr_brn_4,P_35_39_Num_chld_evr_brn_5,P_35_39_Num_chd_evr_brn_6_mr,P_35_39_Num_chld_evr_brn_ns,P_35_39_yrs_Total,P_40_44_Num_chld_evr_brn_Nne,P_40_44_Num_chld_evr_brn_1,P_40_44_Num_chld_evr_brn_2,P_40_44_Num_chld_evr_brn_3,P_40_44_Num_chld_evr_brn_4,P_40_44_Num_chld_evr_brn_5,P_40_44_Num_chd_evr_brn_6_mr,P_40_44_Num_chld_evr_brn_ns,P_40_44_yrs_Total,P_45_49_Num_chld_evr_brn_Nne,P_45_49_Num_chld_evr_brn_1,P_45_49_Num_chld_evr_brn_2,P_45_49_Num_chld_evr_brn_3,P_45_49_Num_chld_evr_brn_4,P_45_49_Num_chld_evr_brn_5,P_45_49_Num_chd_evr_brn_6_mr,P_45_49_Num_chld_evr_brn_ns,P_45_49_yrs_Total,P_50_54_Num_chld_evr_brn_Nne,P_50_54_Num_chld_evr_brn_1,P_50_54_Num_chld_evr_brn_2,P_50_54_Num_chld_evr_brn_3,P_50_54_Num_chld_evr_brn_4,P_50_54_Num_chld_evr_brn_5,P_50_54_Num_chd_evr_brn_6_mr,P_50_54_Num_chld_evr_brn_ns,P_50_54_yrs_Total,P_55_59_Num_chld_evr_brn_Nne,P_55_59_Num_chld_evr_brn_1,P_55_59_Num_chld_evr_brn_2,P_55_59_Num_chld_evr_brn_3,P_55_59_Num_chld_evr_brn_4,P_55_59_Num_chld_evr_brn_5,P_55_59_Num_chd_evr_brn_6_mr,P_55_59_Num_chld_evr_brn_ns,P_55_59_yrs_Total,P_60_64_Num_chld_evr_brn_Nne,P_60_64_Num_chld_evr_brn_1,P_60_64_Num_chld_evr_brn_2,P_60_64_Num_chld_evr_brn_3,P_60_64_Num_chld_evr_brn_4,P_60_64_Num_chld_evr_brn_5,P_60_64_Num_chd_evr_brn_6_mr,P_60_64_Num_chld_evr_brn_ns,P_60_64_yrs_Total,P_65_69_Num_chld_evr_brn_Nne,P_65_69_Num_chld_evr_brn_1,P_65_69_Num_chld_evr_brn_2,P_65_69_Num_chld_evr_brn_3,P_65_69_Num_chld_evr_brn_4,P_65_69_Num_chld_evr_brn_5,P_65_69_Num_chd_evr_brn_6_mr,P_65_69_Num_chld_evr_brn_ns,P_65_69_yrs_Total,P_70_74_Num_chld_evr_brn_Nne,P_70_74_Num_chld_evr_brn_1,P_70_74_Num_chld_evr_brn_2,P_70_74_Num_chld_evr_brn_3,P_70_74_Num_chld_evr_brn_4,P_70_74_Num_chld_evr_brn_5,P_70_74_Num_chd_evr_brn_6_mr,P_70_74_Num_chld_evr_brn_ns,P_70_74_yrs_Total,P_75_79_Num_chld_evr_brn_Nne,P_75_79_Num_chld_evr_brn_1,P_75_79_Num_chld_evr_brn_2,P_75_79_Num_chld_evr_brn_3,P_75_79_Num_chld_evr_brn_4,P_75_79_Num_chld_evr_brn_5,P_75_79_Num_chd_evr_brn_6_mr,P_75_79_Num_chld_evr_brn_ns,P_75_79_yrs_Total,P_80_84_Num_chld_evr_brn_Nne,P_80_84_Num_chld_evr_brn_1,P_80_84_Num_chld_evr_brn_2,P_80_84_Num_chld_evr_brn_3,P_80_84_Num_chld_evr_brn_4,P_80_84_Num_chld_evr_brn_5,P_80_84_Num_chd_evr_brn_6_mr,P_80_84_Num_chld_evr_brn_ns,P_80_84_yrs_Total,P_85_ov_Num_chld_evr_brn_Nne,P_85_ov_Num_chld_evr_brn_1,P_85_ov_Num_chld_evr_brn_2,P_85_ov_Num_chld_evr_brn_3,P_85_ov_Num_chld_evr_brn_4,P_85_ov_Num_chld_evr_brn_5,P_85_ov_Num_chd_evr_brn_6_mr,P_85_ov_Num_chld_evr_brn_ns,P_85ov_Total,Tot_Nmbr_child_ever_born_None,Tot_Nmbr_children_ever_born_1,Tot_Nmbr_children_ever_born_2,Tot_Nmbr_children_ever_born_3,Tot_Nmbr_children_ever_born_4,Tot_Nmbr_children_ever_born_5,Tot_Nmbr_chidrn_ever_brn_6_mr,Tot_Nmbr_childrn_ever_born_Ns,Total_Total
SSC70001,14,0,0,0,0,0,0,3,16,5,3,0,0,0,0,0,6,19,10,3,6,0,0,0,0,0,21,3,7,11,0,0,0,0,3,23,4,4,12,4,0,0,0,3,30,3,0,8,4,0,0,0,3,23,5,3,9,16,3,0,0,3,40,3,3,13,3,4,0,0,3,31,3,0,6,4,3,3,0,3,28,0,0,3,4,3,0,0,6,21,0,0,4,0,0,0,0,0,9,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,22,74,47,8,3,3,37,255
SSC70002,5,0,0,0,0,0,0,0,9,9,3,0,0,0,0,0,0,15,0,0,6,3,0,0,0,0,13,0,0,3,3,0,0,0,4,11,3,0,0,0,0,0,0,3,10,0,3,0,3,0,0,0,0,6,0,3,3,5,5,3,0,0,16,3,0,6,0,4,0,0,0,21,8,0,0,0,0,0,0,0,7,0,0,4,0,0,0,0,3,12,0,0,0,3,3,0,0,4,8,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,3,26,11,37,25,15,9,3,19,138
SSC70003,37,0,0,0,0,0,0,5,42,59,6,0,0,0,0,0,12,83,46,17,7,0,0,0,0,9,82,39,20,14,4,0,0,0,11,93,18,17,23,13,5,0,0,11,89,11,12,28,20,7,0,0,8,82,16,12,25,14,10,0,3,6,82,14,4,15,12,3,5,0,5,64,6,9,23,6,0,0,0,6,49,5,11,18,8,13,3,0,5,61,6,7,15,7,4,0,0,3,53,3,5,5,12,3,0,0,5,31,0,3,6,4,0,0,3,3,24,0,3,0,0,4,0,3,3,11,0,0,0,0,0,0,3,0,5,266,123,182,107,50,9,8,107,863
SSC70004,3,6,0,0,0,0,0,9,19,6,7,13,0,0,0,0,3,27,7,0,4,3,0,3,0,7,22,6,4,7,3,0,0,0,0,12,3,0,4,3,4,3,0,0,16,0,0,3,5,3,0,0,0,13,3,0,3,0,3,0,3,0,13,0,0,3,3,0,0,3,0,14,0,0,0,0,0,0,0,0,3,3,0,0,4,0,0,0,0,7,0,0,4,0,3,0,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,25,34,26,17,7,11,23,175
SSC70005,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,3,11,7,3,0,0,0,0,0,9,19,3,0,4,0,0,0,0,3,13,8,0,0,0,0,0,0,3,13,3,0,3,0,0,0,0,9,16,4,0,4,0,0,0,0,4,18,4,3,5,0,0,0,0,4,10,0,0,3,3,0,0,0,3,7,0,0,3,0,0,0,0,6,8,0,0,3,0,0,0,0,0,5,0,0,0,0,3,0,0,3,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,35,7,23,6,6,4,3,48,132
SSC70006,6,0,0,0,0,0,0,11,21,0,4,5,0,0,0,0,3,17,4,6,10,3,0,0,0,0,27,3,5,3,3,0,0,0,3,13,0,3,3,3,0,3,0,5,16,4,0,0,4,0,0,0,0,6,0,4,3,0,3,5,0,0,13,0,3,0,0,3,3,3,0,9,0,3,3,0,0,0,0,0,4,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,22,26,16,12,16,5,19,144
SSC70007,3,0,0,0,0,0,0,8,9,14,0,3,0,0,0,0,0,14,27,8,7,0,0,0,0,0,42,16,14,11,3,0,0,0,3,45,0,3,21,4,5,0,0,5,48,3,5,15,3,3,0,0,3,35,0,0,11,0,6,0,0,0,20,3,0,7,4,3,0,0,3,25,0,0,10,5,0,0,0,0,13,0,3,0,3,0,0,0,0,8,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,38,91,24,17,6,0,23,270
SSC70008,9,0,0,0,0,0,0,5,9,6,0,3,0,0,0,0,4,14,0,0,6,0,0,0,0,0,6,5,0,0,0,0,0,0,0,6,0,3,0,0,0,0,4,0,7,0,3,0,3,4,0,0,0,14,4,0,0,5,0,0,3,0,19,4,0,9,0,3,3,0,0,17,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,25,17,18,11,7,4,7,13,112
SSC70009,9,9,0,0,0,0,0,9,25,9,5,3,3,0,0,0,6,28,4,3,0,3,0,0,0,3,16,0,0,3,6,0,0,0,0,15,0,0,3,0,0,0,0,0,5,0,0,4,3,3,4,0,0,16,0,0,3,0,0,3,0,0,12,0,0,0,0,5,0,0,0,10,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,18,20,17,16,13,10,20,141
SSC70010,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,3,8,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,4,8,0,0,0,6,39
