SSC_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
SSC70001,73,143,0,6,7,41,3,9,56,222,68,277,3,7,6,17,11,37,15,61,84,340,0,0,0,7,0,0,9,19,11,21,0,0,0,0,8,18,8,18,19,39,3,7,185,529
SSC70002,27,52,0,0,0,4,0,5,17,72,21,82,0,0,6,15,3,14,8,29,28,106,0,7,0,0,0,9,14,46,17,59,0,0,0,0,5,14,5,14,16,71,0,3,72,227
SSC70003,183,366,3,11,22,90,18,70,136,520,173,697,13,38,14,46,43,135,73,225,248,916,3,15,13,33,3,17,31,86,53,153,3,6,10,12,31,70,38,95,91,243,12,29,530,1553
SSC70004,18,41,0,0,4,15,9,61,30,132,45,206,0,0,0,3,3,24,5,21,51,230,0,0,0,9,8,49,19,61,27,119,0,0,0,0,4,9,3,8,32,128,3,11,102,407
SSC70005,8,22,0,0,0,0,0,0,7,20,7,20,0,0,0,0,0,0,0,0,7,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,41
SSC70006,14,35,0,0,0,8,7,50,35,138,41,190,0,0,0,4,6,33,10,38,52,228,0,0,0,0,4,27,13,40,16,64,0,0,0,0,9,30,9,30,29,94,3,7,102,364
SSC70007,65,132,0,3,3,20,3,15,98,384,107,421,0,0,0,0,11,26,11,26,118,447,0,0,0,0,0,0,8,15,8,15,0,0,0,4,0,9,3,12,7,28,0,0,196,605
SSC70008,12,39,0,0,0,4,3,16,10,52,13,79,0,0,0,0,0,4,0,4,15,80,3,16,0,0,3,18,7,27,13,61,0,5,0,0,5,28,7,30,26,85,0,0,56,202
SSC70009,9,23,3,18,0,4,13,80,28,140,45,242,0,4,0,0,3,4,3,8,49,249,0,0,0,5,0,3,16,64,17,77,0,6,0,0,0,0,0,6,18,77,3,3,77,357
SSC70010,3,14,0,0,0,0,0,6,10,24,10,35,0,0,0,0,0,4,0,4,11,40,0,0,0,0,0,6,0,3,3,13,0,0,0,0,0,0,0,0,3,12,0,0,16,67
