SSC_CODE_2016,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
SSC70001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,3,0,3,0,0,3,0,3,7,0,0,0,6,9,5,7,0,14,9,3,4,0,14,4,8,0,0,11,4,5,0,0,8,7,12,0,3,16,6,8,0,0,20,7,11,0,0,20,3,3,0,0,11,11,12,0,0,24,5,13,0,0,16,3,0,0,0,8,73,84,19,3,185
SSC70002,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,5,0,0,3,0,7,4,0,3,0,7,8,0,3,0,6,0,0,0,0,3,0,3,4,0,8,4,0,0,0,5,4,3,0,0,4,0,3,0,0,3,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,8,0,0,0,0,0,27,28,16,0,72
SSC70003,3,0,0,0,9,0,0,3,0,0,0,0,3,0,6,0,3,3,0,9,0,0,0,3,4,3,0,3,0,9,20,10,11,0,36,12,7,15,0,27,14,7,11,0,28,13,16,3,0,35,7,14,6,0,28,4,16,0,4,30,24,29,13,0,67,20,26,0,0,47,13,17,0,0,34,14,15,4,0,30,17,33,0,0,57,17,35,14,0,65,0,3,6,0,12,183,248,91,12,530
SSC70004,0,0,0,0,0,0,3,0,3,4,0,6,11,0,17,0,0,4,0,4,4,8,3,0,16,0,7,0,3,9,3,3,0,0,10,3,3,3,0,8,0,4,3,0,8,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,5,0,15,0,0,0,0,3,18,51,32,3,102
SSC70005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,0,19
SSC70006,0,0,0,0,0,3,0,3,0,3,0,4,5,0,11,0,0,0,0,0,3,13,6,0,18,0,7,0,0,8,0,4,0,0,4,3,3,7,0,7,0,3,0,0,3,3,3,0,0,4,0,3,3,0,7,0,3,0,0,3,0,3,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,12,0,4,0,0,6,14,52,29,3,102
SSC70007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,4,9,14,0,0,24,6,11,3,0,23,10,17,0,0,30,7,9,0,0,17,28,38,0,0,62,3,19,0,0,22,0,4,0,0,4,65,118,7,0,196
SSC70008,0,0,0,0,0,7,0,3,0,12,0,3,8,0,8,0,0,0,0,0,0,6,5,0,10,4,0,0,0,4,0,3,3,0,11,0,3,3,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,12,15,26,0,56
SSC70009,0,0,0,0,0,0,0,0,0,0,3,5,8,0,12,0,0,3,0,3,9,17,0,0,24,0,3,0,0,3,0,3,3,0,4,0,0,3,0,3,0,6,0,0,6,0,3,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,6,0,0,0,0,0,9,49,18,3,77
SSC70010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,3,0,16
SSC70011,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,3,7,3,0,0,4,0,6,0,0,4,0,8,0,0,13,4,5,0,0,8,0,0,3,0,3,0,0,0,0,3,0,3,0,0,3,4,0,0,0,4,0,0,3,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,11,27,65,34,3,130,50,100,50,3,206
SSC70012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,6,0,16,3,14,6,0,19
SSC70013,0,0,0,0,0,0,0,0,0,3,0,3,0,0,5,0,0,0,0,0,9,3,3,0,24,0,3,8,0,11,3,3,0,0,10,3,6,3,0,14,3,12,0,0,13,3,4,0,0,9,0,5,0,0,5,0,0,3,0,9,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,5,35,50,27,4,117
SSC70014,4,0,0,0,4,0,0,0,0,0,0,0,0,0,7,0,0,4,0,8,3,0,10,0,9,5,3,15,0,18,8,3,5,0,16,8,9,9,0,24,9,5,9,0,23,14,10,13,0,33,11,7,8,0,27,6,23,10,0,38,33,44,16,0,92,15,47,8,3,71,7,33,3,0,53,14,36,4,0,49,15,52,3,3,73,16,37,13,0,68,3,0,4,0,3,178,306,119,9,611
SSC70015,0,0,0,0,3,0,0,0,0,0,0,0,4,0,4,0,0,0,0,3,0,0,3,0,5,4,3,6,0,14,7,0,3,0,11,3,7,4,0,15,12,8,11,0,29,8,4,10,0,28,12,14,11,0,35,14,23,7,3,46,38,59,16,0,116,35,53,3,0,93,18,34,0,0,54,5,30,0,0,45,27,59,0,0,92,27,41,11,0,79,0,3,0,0,6,218,340,94,6,665
SSC70016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70017,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,11,3,0,4,0,8,12,19,15,5,48
SSC70018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70019,0,0,0,0,0,0,0,0,0,3,0,0,3,0,4,0,0,0,0,0,8,0,4,0,12,0,0,0,0,5,3,0,3,0,3,0,3,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,10,0,3,0,0,7,14,18,15,5,51
SSC70020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,3,3,0,0,3,0,0,0,0,0,3,4,0,0,5,0,6,0,0,5,0,4,0,0,4,0,0,3,0,4,0,3,0,0,3,0,0,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,12,29,14,0,52
SSC70021,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,4,0,0,3,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,3,0,8,13,11,7,5,42
SSC70022,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,4,3,5,0,12,10,0,13,0,28,4,11,16,0,34,15,16,13,0,50,6,24,25,3,56,14,16,14,4,42,10,26,10,0,50,66,69,21,0,158,31,63,5,3,104,28,37,6,0,64,15,37,0,0,49,17,49,0,0,63,23,35,15,4,68,4,5,4,0,10,255,386,153,14,816
SSC70023,0,0,0,0,0,3,0,0,0,3,0,0,7,0,11,0,0,0,0,6,3,17,3,0,24,0,3,0,0,6,0,5,3,0,16,3,4,0,0,11,0,0,0,0,0,0,3,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,13,46,24,3,89
