SSC_CODE_2016,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
SSC70001,3,44,83,48,37,207,3,213
SSC70002,8,50,31,13,10,109,19,121
SSC70003,36,183,242,121,37,616,38,656
SSC70004,41,22,9,0,3,75,5,81
SSC70005,22,23,9,0,3,52,14,68
SSC70006,38,31,11,0,3,71,8,82
SSC70007,18,104,90,26,6,236,10,248
SSC70008,31,14,0,0,0,51,0,49
SSC70009,38,14,0,0,0,52,7,61
SSC70010,4,11,3,3,0,25,4,28
SSC70011,99,46,10,3,0,158,3,161
SSC70012,11,3,0,0,0,13,0,13
SSC70013,53,33,4,3,3,98,3,103
SSC70014,23,213,326,97,47,716,26,741
SSC70015,34,308,363,123,37,863,22,885
SSC70016,0,0,0,0,0,0,0,0
SSC70017,18,10,4,0,0,33,0,30
SSC70018,0,0,0,0,0,0,0,0
SSC70019,22,21,3,3,4,53,5,55
SSC70020,11,17,11,4,4,48,0,48
SSC70021,15,15,8,0,0,42,0,42
SSC70022,38,356,467,133,58,1052,45,1095
SSC70023,35,16,7,0,3,66,8,71
SSC70024,23,82,48,8,3,162,7,177
SSC70025,3,123,265,89,54,535,16,554
SSC70026,7,60,100,67,40,271,13,287
SSC70027,20,214,383,79,35,724,25,748
SSC70028,13,19,0,0,0,33,3,38
SSC70029,16,74,56,20,4,165,8,173
SSC70030,5,38,95,58,29,228,17,253
SSC70031,50,27,6,0,0,82,3,84
SSC70032,0,0,0,0,0,0,3,3
SSC70033,18,3,0,0,0,30,0,25
SSC70034,3,3,5,0,5,15,3,17
SSC70035,0,0,0,0,0,0,0,0
SSC70036,0,3,4,6,0,11,3,16
SSC70037,48,50,27,13,15,154,27,184
SSC70038,3,3,0,0,3,8,0,8
SSC70039,59,294,349,162,67,931,70,996
SSC70040,9,128,130,47,26,340,10,346
SSC70041,4,4,3,0,0,12,0,12
SSC70042,0,0,0,0,0,0,0,0
SSC70043,23,15,5,0,0,46,0,46
SSC70044,0,4,3,0,0,9,0,9
SSC70045,6,21,12,3,5,44,0,42
SSC70046,6,9,14,5,4,39,4,40
SSC70047,0,0,0,0,0,0,0,0
SSC70048,3,3,0,0,0,5,0,5
SSC70049,0,0,0,0,0,0,0,0
SSC70050,14,15,0,0,0,32,0,33
SSC70051,0,15,6,0,0,28,4,31
SSC70052,0,0,0,0,0,0,0,0
SSC70053,0,0,0,0,0,0,0,0
SSC70054,0,0,0,0,0,5,0,5
SSC70055,0,0,0,0,0,0,0,0
SSC70056,23,32,22,6,5,84,6,94
SSC70057,0,0,0,0,0,0,0,0
SSC70058,3,0,0,0,0,3,0,3
SSC70059,149,451,351,93,33,1078,61,1142
SSC70060,0,0,0,0,0,3,0,3
SSC70061,0,18,38,30,29,117,9,124
SSC70062,6,82,78,21,4,192,16,208
SSC70063,0,0,6,0,0,4,0,6
SSC70064,0,0,9,6,0,18,0,18
SSC70065,19,72,137,56,54,330,21,354
SSC70066,0,0,0,0,0,0,0,0
SSC70067,0,5,0,0,0,7,3,10
SSC70068,0,4,4,0,0,8,4,14
SSC70069,20,5,0,0,0,27,4,33
SSC70070,0,0,0,0,0,0,0,0
SSC70071,3,11,13,4,6,26,12,40
SSC70072,0,3,0,0,0,6,0,6
SSC70073,333,1138,635,94,30,2235,103,2332
SSC70074,4,49,81,46,30,218,14,233
SSC70075,0,0,0,0,0,0,0,0
SSC70076,14,11,5,4,3,44,7,47
SSC70077,0,5,3,0,0,14,0,12
SSC70078,9,168,217,80,33,504,6,512
SSC70079,3,6,21,3,7,45,5,46
SSC70080,35,285,361,125,55,859,45,905
SSC70081,0,31,42,12,7,90,4,98
SSC70082,0,17,17,4,0,46,3,48
SSC70083,0,13,17,5,0,29,7,34
SSC70084,9,290,567,157,67,1095,22,1113
SSC70085,0,0,0,0,0,0,0,0
SSC70086,71,48,5,0,0,126,0,126
SSC70087,0,0,0,0,0,3,0,3
SSC70088,61,400,354,111,57,978,42,1022
SSC70089,0,3,13,3,0,23,0,21
SSC70090,0,7,10,9,6,31,3,36
SSC70091,28,34,10,0,0,69,5,73
SSC70092,0,0,0,0,0,0,0,0
SSC70093,0,4,0,3,0,11,3,13
SSC70094,16,27,9,3,3,57,8,63
SSC70095,6,9,4,0,0,25,0,27
SSC70096,0,10,13,3,0,29,0,31
SSC70097,43,339,351,126,49,910,42,951
SSC70098,6,92,223,70,27,426,10,435
SSC70099,25,10,4,0,0,45,5,42
SSC70100,0,6,6,0,0,14,6,22
SSC70101,0,0,7,6,4,24,0,25
SSC70102,0,5,20,10,9,48,0,48
SSC70103,0,0,0,0,0,0,0,0
SSC70104,16,8,0,3,0,24,3,30
SSC70105,0,0,0,0,0,4,0,4
SSC70106,182,90,16,4,0,295,11,305
SSC70107,52,14,5,3,0,74,54,126
