SSC_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
SSC70001,..,27,27,79,4,80,29,0,29,41,0,41,21,0,21,4,0,4,175,36,213
SSC70002,..,43,43,27,5,41,13,0,21,18,0,13,5,0,5,4,0,4,74,51,121
SSC70003,..,112,112,173,21,202,125,6,135,117,4,124,57,0,60,34,3,30,508,152,656
SSC70004,..,15,15,7,3,13,9,0,9,3,0,3,10,0,10,37,0,37,61,17,81
SSC70005,..,46,46,8,0,8,3,3,3,3,0,3,0,0,0,0,0,0,14,51,68
SSC70006,..,5,5,11,0,8,8,0,14,4,0,9,14,0,14,31,0,31,67,14,82
SSC70007,..,51,51,71,5,73,33,0,33,60,0,60,22,0,22,8,0,8,193,60,248
SSC70008,..,8,8,6,0,6,7,0,7,5,0,5,7,0,7,15,0,15,39,8,49
SSC70009,..,12,12,6,0,10,0,0,0,0,0,0,3,0,6,36,0,36,48,8,61
SSC70010,..,10,10,6,0,6,3,0,3,3,0,3,0,0,0,3,0,3,13,7,28
SSC70011,..,7,7,20,0,20,17,0,17,20,0,20,26,0,26,60,0,60,150,7,161
SSC70012,..,0,0,0,0,0,5,0,5,3,0,3,0,0,0,7,0,7,13,0,13
SSC70013,..,11,11,25,0,25,20,0,20,13,0,13,8,0,8,27,0,27,96,9,103
SSC70014,..,120,120,199,20,213,148,3,155,149,0,149,64,0,64,35,0,35,591,143,741
SSC70015,..,197,197,238,24,265,146,7,154,150,8,155,77,0,76,38,0,38,650,239,885
SSC70016,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70017,..,0,0,10,0,10,0,0,0,0,0,0,3,0,3,15,0,15,31,0,30
SSC70018,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70019,..,18,18,16,0,16,10,0,10,4,0,4,0,0,0,9,0,9,41,18,55
SSC70020,..,14,14,5,0,5,4,0,4,6,0,6,4,0,4,13,0,13,31,14,48
SSC70021,..,7,7,16,0,16,3,0,3,5,0,5,0,0,0,12,0,12,37,7,42
SSC70022,..,246,246,304,52,356,198,7,202,191,3,192,77,0,77,28,0,28,798,303,1095
SSC70023,..,16,16,13,0,13,10,0,10,12,0,12,10,0,10,21,0,21,63,16,71
SSC70024,..,64,64,53,5,61,17,3,15,17,0,17,9,0,9,11,0,11,95,75,177
SSC70025,..,77,77,177,30,204,99,10,111,96,13,106,34,3,32,22,0,22,423,134,554
SSC70026,..,58,58,90,8,94,49,0,47,50,0,50,16,0,19,12,0,12,225,63,287
SSC70027,..,92,92,198,16,213,148,9,154,166,0,172,74,0,74,46,0,46,635,120,748
SSC70028,..,7,7,3,0,3,9,0,9,3,0,3,11,0,11,4,0,4,32,7,38
