SSC_CODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
SSC70001,186,544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,8,15,10,20,3,18,22,59,0,0,213,602,12,..,229,602
SSC70002,93,251,11,15,0,0,11,15,0,0,0,0,0,0,0,0,0,0,12,25,0,0,0,4,0,4,20,32,4,22,121,322,19,..,139,322
SSC70003,568,1699,15,30,4,10,17,41,65,165,0,0,0,0,0,0,65,165,0,0,0,0,0,0,3,10,4,17,6,10,656,1922,62,..,719,1922
SSC70004,80,462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,467,7,..,93,467
SSC70005,3,17,6,7,3,12,11,21,17,29,17,15,0,0,0,0,29,41,0,0,0,0,0,0,3,6,3,6,19,34,68,107,40,..,113,107
SSC70006,83,403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,82,408,14,..,98,408
SSC70007,210,629,14,32,0,0,14,32,14,16,11,19,0,0,0,0,22,33,0,0,0,0,0,0,0,0,0,0,0,0,248,693,92,..,343,693
SSC70008,48,217,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,49,226,6,..,59,226
SSC70009,55,366,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,7,19,0,0,7,19,0,0,61,389,3,..,64,389
SSC70010,25,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,4,6,0,0,28,99,9,..,34,99
SSC70011,138,752,22,89,0,0,22,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,838,27,..,188,838
SSC70012,13,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,95,21,..,38,95
