X,Y,MarkerID,Name,Alternate_Name,Type,Facilities_List,Recreation_Activity_List,Address,SUBURB,Link,Disability_Accessible,Playground,Playground_Accessible,Playground_Shaded,Wifi,BBQ,Picnic_Tables,Drinking_Fountains,Toilets_Daylight,Toilets_24hrs,Toilets_Restricted,Showers,Baby_Change,Bicycle_Walk_Paths,Bike_Racks,Exercise_Equipment,Sports_Field_Lighting,Soccer,AFL,Basketball,Tennis,Cricket,Cycling,Swimming,Skateboarding,Watercraft,Rugby,Gaelic,Softball,CENTROID_X,CENTROID_Y,OBJECTID,LAISKEY,Area_m,Park_Class,Ward,Notes
130.841790058741964,-12.38088136555028,PK1,Sunset Park, ,Park,"Accessible,Baby Change,BBQ,Bicycle/Walking Paths,Exercise Equipment,Picnic Tables,Playground,Playground - Shaded,Toilets - 24 Hours",,3 Aralia St Nightcliff,Nightcliff,http://www.darwin.nt.gov.au/,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,130.841741819595,-12.3808479564034,254,550     09371,13600,Regional,Chan, 
130.855736453840223,-12.375770206906978,PK2,Nightcliff Foreshore, ,Park,"Accessible,Baby Change,BBQ,Bicycle/Walking Paths,Drinking Fountains,Exercise Equipment,Picnic Tables,Playground,Playground - Shaded,Showers,Toilets - 24 Hours,Toilets - Daylight Hours",,315 Casuarina Dr Rapid Creek,Rapid Creek,http://www.darwin.nt.gov.au/,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,130.855900403713,-12.375708633975,255,550     09353,67900,Regional,Chan, 
130.848446885366627,-12.376842719756693,PK3,Nightcliff Pool,Nightcliff Café,Swimming Pool,"Accessible,Baby Change,BBQ,Bicycle/Bike Racks,Bicycle/Walking Paths,Drinking Fountains,Picnic Tables,Showers,Toilets - 24 Hours,Toilets - Daylight Hours,Wifi",Swimming,259 Casuarina Dr Nightcliff,Nightcliff,http://www.darwin.nt.gov.au/,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,130.848331070075,-12.3769866830413,256,550     08657,16700,Regional,Chan, 
130.84772334672175,-12.378760128402401,PK4,Bill Bell Park,Jacaranda Park,Park,"Accessible,Playground",,7 Jacaranda Ave Nightcliff,Nightcliff,http://www.darwin.nt.gov.au/,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,130.847697288994,-12.379006114028,257,550     01199,4800,Neighbourhood,Chan, 
130.874289516824859,-12.372666711050154,PK5,Cahill Park, ,Park,Accessible,,23 Croker St Nakara,Nakara,http://www.darwin.nt.gov.au/,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,130.874280909772,-12.37265446,258,550     05544,2800,Neighbourhood,Richardson, 
130.874567820935482,-12.37194464621594,PK6,Croker Park, ,Park,Accessible,,29 Buchanan Tce Nakara,Nakara,http://www.darwin.nt.gov.au/,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,130.874565319579,-12.3719612918394,259,550     05512,1220,Neighbourhood,Richardson, 
130.872634395697645,-12.36635231496807,PK7,Airlie Park, ,Park,"Accessible,Playground",,8 Airlie Cct Brinkin,Brinkin,http://www.darwin.nt.gov.au/,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,130.872600654717,-12.3663100075097,260,550     08998,9150,Neighbourhood,Richardson, 
130.873818687180517,-12.365836444987607,PK8,Ellengowan Park,Trower Park,Park,"Accessible,Bicycle/Walking Paths",,17 Airlie Cct Brinkin,Brinkin,http://www.darwin.nt.gov.au/,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,130.873697082069,-12.3658445080603,261,550     08963,2970,Neighbourhood,Richardson, 
130.874908035346635,-12.371255794734296,PK9,Buchanan Park, ,Park,Accessible,,7 Copeland Cres Nakara,Nakara,http://www.darwin.nt.gov.au/,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,130.874906565239,-12.3712659296484,262,550     05446,1430,Neighbourhood,Richardson, 
130.874526745004943,-12.364403224776781,PK10,Calvert Park, ,Park,"Accessible,Playground",,12 Undoolya St Tiwi,Tiwi,http://www.darwin.nt.gov.au/,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,130.874526462737,-12.3644030048062,263,550     07247,4290,Neighbourhood,Richardson, 
