SSC_CODE_2016,R1,R2,R3,R4,R5,R6
SSC70001,34,55,67,42,9,3
SSC70002,14,31,45,12,4,3
SSC70003,15,86,370,125,34,6
SSC70004,3,12,49,9,0,0
SSC70005,23,16,4,3,0,0
SSC70006,0,12,41,18,0,0
SSC70007,0,74,168,7,0,0
SSC70008,0,7,35,7,0,0
SSC70009,3,12,37,6,0,0
SSC70010,0,0,14,10,0,0
SSC70011,4,43,89,27,0,0
SSC70012,0,8,4,3,0,0
SSC70013,3,28,47,17,0,0
SSC70014,3,21,535,134,21,3
SSC70015,32,171,405,214,26,0
SSC70016,0,0,0,0,0,0
SSC70017,0,8,23,7,0,0
SSC70018,0,0,0,0,0,0
SSC70019,5,10,21,10,0,0
SSC70020,3,6,21,12,0,0
SSC70021,4,9,22,3,0,3
SSC70022,18,279,575,171,15,3
SSC70023,13,19,33,3,0,0
SSC70024,15,59,73,10,0,3
SSC70025,3,24,297,161,37,8
SSC70026,22,64,110,63,15,3
SSC70027,40,90,232,327,30,3
SSC70028,0,11,23,4,0,0
SSC70029,35,33,83,0,0,0
SSC70030,31,42,103,36,7,3
SSC70031,10,18,54,3,0,0
SSC70032,0,0,0,0,0,0
SSC70033,8,8,18,4,0,0
SSC70034,6,0,3,3,0,0
SSC70035,0,0,0,0,0,0
SSC70036,0,3,3,4,0,0
SSC70037,19,50,76,10,0,0
SSC70038,3,4,0,4,0,0
SSC70039,55,113,521,211,40,6
SSC70040,0,163,71,68,27,13
SSC70041,3,3,3,3,0,0
SSC70042,0,0,0,0,0,0
SSC70043,0,13,29,3,4,0
SSC70044,0,0,3,0,0,0
SSC70045,5,9,24,3,0,3
SSC70046,9,5,11,3,0,0
SSC70047,0,0,0,0,0,0
SSC70048,0,0,6,0,0,0
SSC70049,0,0,0,0,0,0
SSC70050,0,3,18,5,0,0
SSC70051,0,16,14,0,0,0
SSC70052,0,0,0,0,0,0
SSC70053,0,0,0,0,0,0
SSC70054,3,0,0,0,0,0
SSC70055,0,0,0,0,0,0
SSC70056,31,29,11,12,0,0
SSC70057,0,0,0,0,0,0
SSC70058,0,0,4,0,0,0
SSC70059,144,612,224,81,16,11
SSC70060,0,0,0,0,0,0
SSC70061,15,17,32,35,13,0
SSC70062,53,69,39,18,0,0
SSC70063,3,0,0,0,0,0
SSC70064,0,0,15,3,0,0
SSC70065,39,56,120,75,28,7
SSC70066,0,0,0,0,0,0
SSC70067,3,0,0,0,0,0
SSC70068,0,0,7,0,0,0
SSC70069,0,3,23,3,0,0
SSC70070,0,0,0,0,0,0
SSC70071,3,10,4,3,3,0
SSC70072,3,0,3,0,0,0
SSC70073,473,942,756,36,0,7
SSC70074,33,49,90,37,11,4
SSC70075,0,0,0,0,0,0
SSC70076,4,3,28,10,0,0
SSC70077,4,3,6,0,0,0
SSC70078,4,143,158,174,23,9
SSC70079,3,10,18,11,0,4
SSC70080,15,207,467,156,28,10
SSC70081,32,29,16,11,0,0
SSC70082,15,11,9,0,0,0
SSC70083,12,11,8,3,0,0
SSC70084,9,29,558,455,43,8
SSC70085,0,0,0,0,0,0
SSC70086,5,20,84,7,0,4
SSC70087,0,0,0,0,0,0
SSC70088,62,216,452,220,37,7
SSC70089,4,0,8,7,0,0
SSC70090,8,5,8,7,0,0
SSC70091,0,10,33,13,7,0
SSC70092,0,0,0,0,0,0
SSC70093,0,0,4,0,0,0
SSC70094,7,13,26,13,0,0
SSC70095,0,11,7,0,0,0
SSC70096,4,3,12,3,0,0
SSC70097,40,261,347,172,65,17
SSC70098,3,26,166,208,22,0
SSC70099,0,9,21,7,6,0
SSC70100,4,3,3,6,0,0
SSC70101,0,3,10,6,0,0
SSC70102,11,15,14,11,3,0
SSC70103,0,0,0,0,0,0
SSC70104,0,5,11,3,0,0
SSC70105,3,0,3,0,0,0
SSC70106,11,81,126,37,13,28
SSC70107,6,41,53,6,0,0
SSC70108,0,3,0,0,0,0
SSC70109,65,271,684,249,48,5
SSC70110,28,77,193,138,34,14
SSC70111,0,0,0,0,0,0
SSC70112,119,277,534,113,14,0
SSC70113,6,7,8,3,0,0
SSC70114,0,0,0,0,0,0
SSC70115,0,50,114,13,3,0
SSC70116,0,11,421,337,33,0
